Table: Table_1

Year ;No of regions ;Average price ;CV ;No of regions ;Average price ;CV ;No of regions ;Average price ;CV ;
1770 ;2 ;.02 ;- ;22 ;.13 ;.26 ;20 ;.27 ;.35 ;
1771 ;2 ;.02 ;- ;22 ;.13 ;.21 ;20 ;.27 ;.37 ;
1772 ;2 ;.02 ;- ;22 ;.13 ;.20 ;20 ;.29 ;.33 ;
1773 ;2 ;.02 ;- ;22 ;.13 ;.20 ;20 ;.27 ;.27 ;
1774 ;2 ;.02 ;- ;21 ;.13 ;.15 ;19 ;.28 ;.24 ;
1775 ;2 ;.02 ;- ;21 ;.15 ;.14 ;19 ;.31 ;.20 ;
1776 ;2 ;.02 ;- ;21 ;.15 ;.14 ;19 ;.31 ;.19 ;
1777 ;2 ;.02 ;- ;21 ;.15 ;.13 ;19 ;.33 ;.20 ;
1778 ;2 ;.02 ;- ;21 ;.16 ;.17 ;19 ;.36 ;.26 ;
1779 ;2 ;,02 ;- ;21 ;.16 ;.13 ;19 ;.37 ;.24 ;
1780 ;2 ;.02 ;- ;21 ;.16 ;.13 ;19 ;.38 ;.19 ;
1781 ;2 ;.02 ;- ;22 ;.15 ;.13 ;20 ;.37 ;.25 ;
1782 ;2 ;.02 ;- ;22 ;.16 ;.08 ;20 ;.37 ;.22 ;
1783 ;2 ;.02 ;- ;22 ;.16 ;.13 ;20 ;.37 ;.18 ;
1784 ;2 ;.02 ;- ;22 ;.16 ;.13 ;20 ;.37 ;.20 ;
1785 ;2 ;.02 ;- ;25 ;.15 ;.17 ;23 ;.35 ;.23 ;
1786 ;2 ;.02 ;- ;25 ;.15 ;.13 ;23 ;.37 ;.18 ;
1787 ;2 ;.02 ;- ;25 ;.15 ;.13 ;23 ;.36 ;.19 ;
1788 ;2 ;.02 ;- ;25 ;.15 ;.13 ;23 ;.37 ;.18 ;
1789 ;2 ;.02 ;- ;25 ;.15 ;.13 ;23 ;.37 ;.18 ;
1790 ;2 ;.02 ;- ;25 ;.15 ;.13 ;23 ;.37 ;.20 ;
1891 ;2 ;.02 ;- ;25 ;.16 ;.17 ;23 ;.39 ;.19 ;
1792 ;2 ;.02 ;- ;25 ;.17 ;.16 ;24 ;.39 ;.19 ;
1793 ;2 ;.02 ;- ;25 ;.17 ;.19 ;24 ;.41 ;.16 ;
1794 ;2 ;.02 ;- ;25 ;.19 ;.21 ;24 ;.43 ;.17 ;
1795 ;2 ;.02 ;- ;25 ;.20 ;.19 ;24 ;.47 ;.20 ;
1796 ;2 ;.02 ;- ;25 ;.21 ;.22 ;24 ;.48 ;.24 ;
1797 ;2 ;.02 ;- ;25 ;.23 ;.24 ;24 ;.52 ;.22 ;
1798 ;2 ;.02 ;- ;26 ;.24 ;.17 ;25 ;.55 ;.25 ;
1799 ;2 ;.02 ;- ;26 ;.26 ;.15 ;25 ;.59 ;.22 ;
1800 ;2 ;.02 ;- ;26 ;.27 ;.20 ;25 ;.60 ;.21 ;
1801 ;2 ;.02 ;- ;26 ;.28 ;.19 ;25 ;.63 ;.22 ;
1802 ;2 ;.02 ;- ;26 ;.27 ;.20 ;25 ;.63 ;.26 ;
1803 ;2 ;.02 ;- ;27 ;.25 ;.12 ;25 ;.64 ;.14 ;
1804 ;2 ;.02 ;- ;27 ;.27 ;.11 ;25 ;.66 ;.11 ;
1805 ;2 ;.02 ;- ;27 ;.28 ;.11 ;25 ;.69 ;.12 ;
1806 ;2 ;.02 ;- ;27 ;.30 ;.13 ;25 ;.74 ;.12 ;





