Table: Table_1

Year ;No of regions ;Average price ;CV ;No of regions ;Average price ;CV ;No of regions ;Average price ;CV ;
1845 ;2 ;.08 ;- ;30 ;.72 ;.22 ;28 ;1.93 ;.22 ;
1846 ;2 ;.08 ;- ;30 ;.72 ;.21 ;28 ;1.99 ;.25 ;
1847 ;2 ;.08 ;- ;30 ;.74 ;.24 ;28 ;2.04 ;.25 ;
1848 ;2 ;.08 ;- ;30 ;.75 ;.25 ;28 ;2.08 ;.24 ;
1849 ;2 ;.08 ;- ;30 ;.76 ;.22 ;28 ;2.11 ;.21 ;
1850 ;2 ;.08 ;- ;30 ;.76 ;.22 ;28 ;2.10 ;.21 ;
1851 ;2 ;.08 ;- ;30 ;.76 ;.22 ;28 ;2.11 ;.21 ;
1852 ;2 ;.08 ;- ;30 ;.77 ;.21 ;28 ;2.11 ;.21 ;
1853 ;2 ;.08 ;- ;30 ;.79 ;.20 ;28 ;2.21 ;.22 ;
1854 ;2 ;.08 ;- ;30 ;.84 ;.24 ;28 ;2.31 ;.22 ;
1855 ;2 ;.09 ;- ;29 ;1.02 ;.23 ;28 ;2.66 ;.21 ;
1856 ;2 ;.09 ;- ;29 ;1.10 ;.25 ;27 ;2.99 ;.24 ;
1857 ;2 ;.10 ;- ;29 ;1.18 ;.25 ;27 ;3.16 ;.22 ;
1858 ;2 ;.10 ;- ;29 ;1.04 ;.21 ;27 ;2.88 ;.19 ;
1859 ;2 ;.08 ;- ;29 ;1.02 ;.22 ;27 ;2.83 ;.18 ;
1860 ;2 ;.08 ;- ;29 ;1.07 ;.23 ;27 ;2.89 ;.19 ;
1861 ;2 ;.08 ;- ;29 ;1.10 ;.24 ;27 ;2.96 ;.18 ;
1862 ;2 ;.08 ;- ;29 ;1.09 ;.23 ;27 ;3.04 ;.18 ;
1863 ;2 ;.08 ;- ;29 ;1.14 ;.25 ;27 ;3.11 ;.17 ;
1864 ;2 ;.08 ;- ;29 ;1.13 ;.27 ;27 ;3.11 ;.17 ;
1865 ;2 ;.08 ;- ;29 ;1.11 ;.25 ;27 ;3.06 ;.17 ;
1866 ;2 ;.08 ;- ;29 ;1.04 ;.20 ;27 ;3.00 ;.17 ;
1867 ;2 ;.08 ;- ;29 ;.99 ;.21 ;27 ;2.85 ;.17 ;
1868 ;2 ;.08 ;- ;29 ;.95 ;.22 ;27 ;2.87 ;.18 ;
1869 ;2 ;.08 ;- ;29 ;.98 ;.24 ;27 ;2.82 ;.18 ;
1870 ;2 ;.08 ;- ;29 ;.98 ;.24 ;27 ;2.88 ;.19 ;
1871 ;2 ;.08 ;- ;29 ;1.04 ;.30 ;27 ;3.02 ;.20 ;
1872 ;2 ;.10 ;- ;29 ;1.28 ;.27 ;27 ;3.55 ;.23 ;
1873 ;2 ;.12 ;- ;29 ;1.56 ;.29 ;27 ;4.42 ;.27 ;
1874 ;2 ;.12 ;- ;29 ;1.64 ;.31 ;27 ;4.55 ;.23 ;
1875 ;2 ;.12 ;- ;29 ;1.60 ;.26 ;27 ;4.48 ;.22 ;
1876 ;2 ;.11 ;- ;29 ;1.60 ;.24 ;27 ;4.44 ;.20 ;
1877 ;2 ;.11 ;- ;29 ;1.56 ;.28 ;27 ;4.37 ;.21 ;
1878 ;2 ;.11 ;- ;29 ;1.36 ;.29 ;27 ;3.91 ;.19 ;
1879 ;2 ;.11 ;- ;29 ;1.24 ;.26 ;27 ;3.59 ;.21 ;
1880 ;2 ;.11 ;- ;29 ;1.23 ;.27 ;27 ;3.71 ;.21 ;
1881 ;2 ;.10 ;- ;29 ;1.28 ;.26 ;27 ;3.85 ;.24 ;





Table: Table_2

Year ;No of regions ;Average price ;CV ;No of regions ;Average price ;CV ;No of regions ;Average price ;CV ;
1807 ;2 ;.02 ;- ;27 ;.30 ;.10 ;25 ;.74 ;.12 ;
1808 ;2 ;.02 ;- ;27 ;.35 ;.11 ;25 ;.85 ;.16 ;
1809 ;2 ;.02 ;- ;27 ;.39 ;.21 ;25 ;.98 ;.22 ;
1810 ;2 ;.02 ;- ;27 ;.44 ;.23 ;25 ;1.16 ;.25 ;
1811 ;2 ;.02 ;- ;28 ;.52 ;.17 ;26 ;1.30 ;.22 ;
1812 ;2 ;.02 ;- ;28 ;.63 ;.29 ;26 ;1.55 ;.26 ;
1813 ;2 ;.04 ;- ;30 ;.70 ;.19 ;26 ;1.59 ;.26 ;
1814 ;2 ;.06 ;- ;30 ;.68 ;.19 ;26 ;1.63 ;.28 ;
1815 ;2 ;.08 ;- ;30 ;.68 ;.18 ;26 ;1.61 ;.25 ;
