Table: Table_1

;B ;D ;M ;B ;D ;M ;B ;D ;M ;
1850 ;;;;;;;31.9 ;19.8 ;15.2 ;
1851 ;;;;;;;31.7 ;20.7 ;14.7 ;
1852 ;;;;:.. ;;. . ;30.7 ;22.7 ;13.7 ;
1853 ;;;;... ;;. ;31.4 ;23.7 ;14.4 ;
1854 ;;;;;;;33.5 ;19.8 ;15.4 ;
1855 ;;;;;;;31.8 ;21.5 ;15.0 ;
1856 ;;;;;;;31.5 ;21.8 ;14.9 ;
1857 ;;;;;;;32.4 ;27.6 ;15.5 ;
1858 ;;;;35.2 ;28.0 ;14.6 ;34.8 ;21.7 ;16.2 ;
1859 ;;;;38.4 ;28.8 ;14.6 ;35.0 ;20.1 ;16.6 ;
1860 ;;;;36.7 ;27.4 ;16.2 ;34.8 ;17.7 ;15.6 ;
1861 ;;;;39.0 ;26.6 ;16.6 ;32.6 ;18.5 ;14.5 ;
1862 ;40.5 ;38.6 ;24.2 ;38.5 ;27.3 ;16.4 ;33.4 ;21.4 ;14.1 ;
1863 ;43.0 ;35.1 ;30.2 ;37.8 ;29.2 ;15.8 ;33.6 ;19.3 ;14.5 ;
1864 ;45.1 ;31.3 ;22.6 ;39.2 ;31.5 ;16.0 ;33.6 ;20.3 ;14.0 ;
1865 ;46.7 ;25.5 ;24.2 ;38.6 ;33.8 ;16.2 ;32.8 ;19.4 ;14.1 ;
1866 ;45.7 ;24.3 ;22.4 ;38.3 ;29.0 ;16.6 ;33.1 ;20.0 ;13.4 ;
1867 ;44.8 ;25.7 ;20.9 ;38.5 ;30.4 ;14.8 ;30.8 ;19.6 ;12.2 ;
1868 ;45.7 ;32.7 ;21.5 ;35.7 ;34.1 ;14.0 ;27.5 ;21.0 ;10.9 ;
1869 ;45.2 ;29.7 ;23.8 ;37.0 ;34.1 ;17.0 ;28.3 ;22.3 ;11.3 ;
1870 ;44.8 ;33.2 ;22.0 ;36.6 ;31.6 ;12.8 ;28.8 ;19.8 ;12.0 ;
1871 ;43.2 ;32.4 ;20.6 ;;;. ;30.4 ;17.2 ;13.0 ;
1872 ;39.1 ;32.1 ;26.6 ;... ;. ;... ;30.0 ;16.3 ;13.9 ;
1873 ;42.4 ;32.6 ;22.0 ;;;... ;30.8 ;17.2 ;14.6 ;
1874 ;41.7 ;36.4 ;22.9 ;... ;;. ;30.9 ;20.3 ;14.5 ;
1875 ;45.8 ;31.3 ;21.9 ;;;;31.2 ;20.3 ;14.1 ;
1876 ;41.6 ;48.3 ;15.3 ;;;;30.8 ;19.6 ;14.2 ;
1877 ;33.3 ;33.6 ;25.3 ;;;;31.1 ;18.7 ;13.7 ;
1878 ;38.1n ;33.422 ;19.922 ;36.1 ;30.5 ;14.2 ;29.8 ;18.1 ;12.9 ;
1879 ;39.4 ;31.3 ;28.7 ;35.8 ;30.5 ;13.2 ;30.5 ;16.9 ;12.6 ;
1880 ;40.7 ;31.5 ;23.5 ;35.5 ;30.1 ;12.4 ;29.4 ;18.1 ;12.6 ;
1881 ;45.7 ;24.7 ;23.4 ;37.1 ;30.2 ;12.7 ;29.1 ;17.7 ;12.4 ;
1882 ;44.4 ;23.1 ;24.2 ;36.2 ;31.4 ;12.1 ;29.4 ;17.4 ;12.7 ;
1883 ;47.0 ;22.8 ;23.6 ;35.6 ;32.7 ;12.4 ;28.9 ;17.3 ;12.9 ;
1884 ;47.6 ;25.0 ;21.4 ;36.7 ;30.6 ;13.2 ;30.0 ;17.5 ;13.1 ;
1885 ;46.6 ;26.9 ;17.6 ;36.3 ;38.0 ;12.7 ;29.4 ;17.8 ;13.3 ;
1886 ;42.0 ;29.6 ;23.6 ;36.7 ;29.2 ;12.7 ;29.8 ;16.6 ;12.8 ;
1887 ;46.3 ;24.9 ;22.2 ;36.1 ;32.8 ;11.0 ;29.7 ;16.1 ;12.5 ;
1888 ;45.7 ;24.4 ;21.8 ;36.4 ;30.1 ;11.2 ;28.8 ;16.0 ;11.8 ;
1889 ;44.1 ;25.5 ;20.4 ;36.4 ;30.4 ;15.6 ;27.7 ;16.0 ;12.0 ;
1890 ;40.3 ;25.3 ;19.9 ;34.4 ;32.1 ;15.8 ;28.0 ;17.1 ;12.0 ;
1891 ;45.0 ;26.5 ;21.1 ;35.3 ;31.8 ;17.5 ;28.3 ;16.8 ;11.7 ;
1892 ;42.4 ;33.5 ;19.0 ;35.8 ;30.6 ;16.9 ;27.0 ;17.9 ;11.4 ;
1893 ;42.5 ;29.7 ;21.1 ;35.6 ;29.7 ;15.6 ;27.4 ;16.8 ;11.3 ;
1894 ;42.5 ;28.1 ;21.9 ;34.8 ;30.3 ;15.6 ;27.1 ;16.4 ;11.5 ;
1895 ;44.0 ;26.9 ;17.8 ;35.0 ;29.0 ;15.4 ;27.5 ;15.2 ;11.7 ;
1896 ;41.2 ;27.0 ;17.7 ;35.9 ;29.6 ;14.5 ;27.2 ;15.6 ;11.9 ;
1897 ;42.6 ;26.5 ;17.7 ;34.1 ;28.4 ;14.0 ;26.7 ;15.4 ;12.1 ;
1898 ;35.1 ;22.9 ;18.3 ;33.3 ;28.2 ;13.6 ;27.1 ;15.1 ;12.3 ;
1899 ;39.3 ;24.3 ;19.9 ;34.2 ;28.8 ;16.9 ;26.4 ;17.7 ;12.5 ;





