Table: Table_1

;B ;D ;M ;B ;D ;M ;B ;D ;M ;B ;D ;M ;
1900 ;;;;29.7 ;16.8 ;15.3 ;32.6 ;21.9 ;13.8 ;21.3 ;21.9 ;15.5 ;
1901 ;;;;29.7 ;15.7 ;14.2 ;33.2 ;21.1 ;13.8 ;22.0 ;20.1 ;15.6 ;
1902 ;;;;29.2 ;14.6 ;14.2 ;32.4 ;19.0 ;13.0 ;21.6 ;19.5 ;15.1 ;
1903 ;;... ;;28.7 ;14.6 ;14.2 ;31.5 ;18.5 ;13.0 ;21.1 ;19.3 ;15.1 ;
1904 ;;... ;;28.9 ;14.1 ;14.4 ;33.0 ;18.4 ;13.6 ;20.9 ;19.4 ;15.2 ;
1905 ;... ;;;28.4 ;15.0 ;14.4 ;31.8 ;19.1 ;13.4 ;20.6 ;19.6 ;15.4 ;
1906 ;;;;28.5 ;13.5 ;14.8 ;32.8 ;18.2 ;14.4 ;20.5 ;19.9 ;15.6 ;
1907 ;;;;28.2 ;14.1 ;15.2 ;32.8 ;18.8 ;14.4 ;19.7 ;20.2 ;16.0 ;
1908 ;;;;28.6 ;14.6 ;15.0 ;32.2 ;19.3 ;14.0 ;20.1 ;18.9 ;16.0 ;
1909 ;;;;28.2 ;13.3 ;14.8 ;32.8 ;17.4 ;13.4 ;19.5 ;19.1 ;15.6 ;
1910 ;;;;27.5 ;12.9 ;14.6 ;31.7 ;17.4 ;12.8 ;19.6 ;17.8 ;15.6 ;
1911 ;;;;26.7 ;13.4 ;14.4 ;30.8 ;17.4 ;12.6 ;18.7 ;19.6 ;15.6 ;
1912 ;;;;26.6 ;13.0 ;14.6 ;30.8 ;17.2 ;12.4 ;18.9 ;17.5 ;15.8 ;
1913 ;;;;25.6 ;12.5 ;14.4 ;28.8 ;17.1 ;12.6 ;18.812 ;17.712 ;15.012 ;
1914 ;;;;25.6 ;12.5 ;13.8 ;28.7 ;16.6 ;12.0 ;18.130 ;18.530 ;9.830 ;
1915 ;;;;24.2 ;12.8 ;13.0 ;27.0 ;16.9 ;11.6 ;11.830 ;18.330 ;4.230 ;
1916 ;;;;24.4 ;13.4 ;14.4 ;25.7 ;17.6 ;12.4 ;9.530 ;17.330 ;6.230 ;
1917 ;;;;23.7 ;13.2 ;14.0 ;25.9 ;18.8 ;12.8 ;10.430 ;18.030 ;9.130 ;
1918 ;;;;24.1 ;13.0 ;15.2 ;25.4 ;30.4 ;9.6 ;12.130 ;22.330 ;10.430 ;
1919 ;22.4 ;18.3 ;27.4 ;22.6 ;13.0 ;16.4 ;20.5 ;20.2 ;12.0 ;13.0 ;19.0 ;28.6 ;
