Table: Table_1

;B ;D ;M ;B ;D ;M ;B ;D ;M ;B ;D ;M ;
1950 ;23.3 ;11.5 ;21.6 ;18.7 ;9.2 ;18.2 ;24.5 ;10.2 ;17.0 ;20.5 ;12.7 ;15.8 ;
1951 ;22.8 ;11.4 ;20.2 ;17.8 ;8.8 ;17.0 ;23.0 ;10.0 ;16.0 ;19.5 ;13.3 ;15.2 ;
1952 ;22.250 ;10.650 ;17.6 ;17.8 ;9.0 ;16.4 ;23.1 ;9.5 ;15.8 ;19.3 ;12.3 ;14.8 ;
1953 ;21.2 ;10.5 ;15.4 ;17.9 ;9.0 ;16.2 ;22.0 ;9.6 ;15.4 ;18.7 ;12.9 ;14.4 ;
1954 ;20.6 ;10.4 ;15.8 ;17.3 ;9.1 ;15.8 ;21.5 ;9.1 ;15.6 ;18.7 ;12.0 ;14.6 ;
1955 ;20.3 ;9.6 ;15.8 ;17.3 ;8.7 ;15.8 ;21.2 ;9.3 ;15.4 ;18.5 ;12.0 ;14.4 ;
1956 ;19.8 ;9.6 ;17.6 ;17.2 ;8.9 ;15.4 ;20.8 ;9.0 ;15.4 ;18.4 ;12.4 ;13.5 ;
1957 ;18.9 ;10.1 ;13.6 ;16.8 ;9.3 ;15.2 ;20.1 ;9.4 ;14.4 ;18.4 ;11.9 ;14.0 ;
1958 ;17.4 ;9.3 ;14.8 ;16.5 ;9.2 ;15.0 ;18.6 ;8.9 ;14.4 ;18.1 ;11.1 ;13.9 ;
1959 ;16.0 ;9.7 ;15.2 ;16.3 ;9.3 ;15.2 ;18.9 ;8.8 ;14.4 ;18.3 ;11.2 ;14.2 ;
1960 ;15.9 ;9.2 ;15.6 ;16.6 ;9.5 ;15.6 ;18.5 ;9.0 ;14.8 ;17.9 ;11.3 ;14.0 ;
1961 ;15.8 ;9.2 ;15.4 ;16.6 ;9.4 ;15.8 ;18.4 ;9.1 ;15.4 ;18.2 ;10.8 ;13.6 ;
1962 ;15.7 ;10.0 ;15.6 ;16.7 ;9.7 ;16.2 ;18.1 ;9.6 ;15.2 ;17.7 ;11.4 ;13.5 ;
1963 ;16.9 ;9.5 ;15.8 ;17.6 ;9.8 ;16.4 ;18.2 ;9.3 ;14.8 ;18.2 ;11.6 ;14.2 ;
1964 ;17.2 ;9.6 ;15.8 ;17.7 ;9.9 ;16.8 ;17.7 ;9.4 ;15.2 ;18.2 ;10.7 ;14.4 ;
1965 ;16.4 ;10.0 ;15.8 ;18.0 ;10.1 ;17.6 ;17.1 ;9.7 ;15.8 ;17.8 ;11.1 ;14.1 ;
1966 ;15.6 ;10.0 ;16.2 ;18.4 ;10.3 ;17.2 ;17.0 ;9.5 ;16.8 ;17.6 ;10.7 ;13.8 ;
1967 ;15.1 ;10.1 ;16.8 ;16.8 ;9.9 ;17.0 ;16.8 ;9.5 ;18.0 ;17.0 ;10.9 ;14.0 ;
1968 ;14.9 ;10.7 ;17.2 ;15.3 ;9.7 ;16.2 ;15.9 ;9.7 ;17.4 ;16.7 ;11.0 ;14.2 ;
1969 ;15.5 ;11.2 ;17.4 ;14.6 ;9.8 ;16.0 ;14.6 ;9.9 ;17.8 ;16.7 ;11.5 ;15.2 ;
1970 ;15.9 ;11.6 ;17.6 ;14.4 ;9.8 ;14.8 ;14.0 ;9.6 ;17.8 ;16.7 ;10.6 ;15.6 ;
1971 ;16.5 ;11.5 ;18.0 ;15.2 ;9.8 ;13.2 ;13.2 ;9.9 ;16.4 ;17.1 ;10.7 ;15.8 ;
1972 ;17.4 ;11.1 ;18.6 ;15.1 ;10.1 ;12.4 ;12.7 ;9.5 ;15.4 ;16.9 ;10.6 ;16.2 ;
1973 ;18.9 ;11.6 ;19.4 ;14.3 ;10.1 ;12.2 ;12.2 ;9.3 ;15.0 ;16.4 ;10.7 ;15.4 ;
1974 ;19.9 ;11.7 ;19.2 ;14.1 ;10.2 ;13.2 ;13.3 ;9.5 ;14.8 ;15.3 ;10.5 ;15.0 ;
1975 ;19.6 ;11.5 ;19.0 ;14.2 ;10.1 ;12.6 ;13.9 ;9.3 ;13.4 ;14.1 ;10.6 ;14.6 ;
1976 ;19.3 ;11.4 ;18.6 ;12.9 ;10.6 ;12.2 ;14.1 ;9.5 ;13.6 ;13.6 ;10.5 ;14.2 ;
1977 ;18.7 ;11.5 ;18.4 ;12.9 ;9.9 ;12.6 ;13.9 ;9.3 ;13.0 ;14.0 ;10.1 ;13.8 ;
1978 ;18.4 ;11.6 ;17.8 ;12.2 ;10.4 ;11.2 ;13.5 ;9.2 ;12.6 ;13.8 ;10.3 ;13.4 ;
1979 ;17.9 ;11.5 ;16.6 ;11.6 ;10.7 ;10.8 ;13.3 ;9.2 ;12.2 ;14.1 ;10.1 ;12.0 ;
1980 ;16.3 ;12.2 ;15.4 ;11.2 ;10.9 ;10.4 ;13.2 ;9.3 ;12.2 ;14.9 ;10.2 ;12.4 ;
1981 ;15.5 ;11.8 ;15.2 ;10.4 ;11.0 ;10.0 ;13.2 ;9.2 ;12.6 ;14.9 ;10.3 ;11.6 ;
1982 ;15.2 ;11.8 ;15.2 ;10.3 ;10.8 ;9.6 ;13.7 ;9.0 ;12.6 ;14.6 ;10.0 ;11.4 ;
1983 ;14.9 ;12.1 ;15.6 ;9.9 ;11.2 ;10.6 ;13.8 ;9.3 ;12.2 ;13.7 ;10.2 ;11.0 ;
1984 ;14.7 ;11.9 ;15.6 ;10.1 ;11.2 ;11.2 ;13.3 ;9.2 ;11.6 ;13.8 ;9.9 ;10.2 ;
1985 ;14.6 ;11.9 ;15.4 ;10.5 ;11.4 ;11.4 ;12.8 ;9.8 ;10.6 ;13.9 ;10.0 ;9.8 ;
1986 ;14.2 ;12.0 ;15.4 ;10.8 ;11.3 ;12.0 ;12.3 ;9.6 ;10.4 ;14.1 ;10.0 ;9.6 ;
1987 ;13.8 ;11.5 ;15.8 ;11.0 ;11.3 ;12.2 ;12.0 ;9.7 ;10.8 ;13.8 ;9.5 ;9.6 ;
1988 ;13.8 ;11.4 ;15.2 ;11.5 ;11.5 ;12.6 ;12.8 ;9.9 ;10.6 ;13.8 ;9.4 ;9.8 ;
1989 ;13.3 ;11.6 ;15.0 ;12.0 ;11.6 ;12.0 ;12.8 ;9.9 ;10.2 ;13.6 ;9.4 ;10.0 ;
1990 ;13.4 ;11.7 ;16.8 ;12.3 ;11.9 ;12.2 ;13.1 ;10.0 ;9.8 ;13.4 ;9.3 ;10.2 ;
1991 ;13.3 ;11.5 ;13.4 ;12.5 ;11.6 ;12.0 ;13.1 ;9.8 ;9.6 ;13.3 ;9.2 ;9.8 ;
1992 ;. ;11.754 ;14.4 ;13.1 ;11.8 ;12.4 ;13.3 ;9.8 ;9.4 ;13.0 ;9.1 ;9.4 ;
1993 ;;11.554 ;12.8 ;13.0 ;12.1 ;12.2 ;12.8 ;10.1 ;9.2 ;12.3 ;9.2 ;;





