Table: Table_1

;1. ;;40. ;41. ;49. ;43 ;|| 44. ;;45. ;46. ;47 ;48. ;49. ;so. ;5 2 ;53. ;54 ;55 ;56. ;57 ;62. ;65 ;66. ;67 ;68 ;69 ;70. ;71. ;72. ;;73. ;74. ;75. ;76. ;77. ;78. ;79 ;80. ;81 ;82. ;83. ;1. ;
2| s) ;Fasterna socken Skederids Rimbo Rö ;;230 141 110 231 ;1,600 990 775 1,600 ;135 76 107 76 ;810 480 640 460 ;28 9 19 10 ;;140 42 100 48 ;25 6 22 1 ;187 45 151 8 ;1,220 782 1,116 845 ;3,700 2,400 3,500 2,500 ;500 - 2,500 ;15 5 8 3 ;25 8 15 6 ;14 4 7 3 ;18 21 33 30 ;13 28 50 18 ;18,000 15,000 18,000 12,000 ;- - - - ;10 15 5 10 ;- - - - ;80 10 20 ;- - ;- - - ;2 - ;- - - ;50 80 20 70 ;;304 149 285 138 ;69 20 31 21 ;53 62 93 42 ;25 11 16 10 ;632 440 533 381 ;183 157 178 85 ;585 376 414 240 ;- - - ;165 99 146 79 ;140 50 100 20 ;1,550 1,090 810 550 ;9 s ;
;;Sjuhundra härad ;712 ;4,965 ;394 ;2,390 ;X 66 ;;330 ;54 ;391 ;3,963 ;12,100 ;3,000 ;31 ;54 ;28 ;102 ;109 ;63,000 ;- ;40 ;- ;110 ;- ;- ;2 ;- ;220 ;;826 ;141 ;250 ;62 ;1,986 ;598 ;1,615 ;- ;489 ;310 ;4,000 ;;
;Roslage-Bro ;socken ;84 ;630 ;224 ;1,385 ;32 ;;205 ;25 ;185 ;1,803 ;5,420 ;900 ;22 ;30 ;33 ;30 ;22 ;32,000 ;- ;;- ;20 ;- ;- ;5 ;1 ;40 ;;471 ;78 ;60 ;57 ;1,269 ;329 ;1,060 ;- ;169 ;56 ;2,500 ;;
;Vätö ;;19 ;145 ;157 ;940 ;20 ;;90 ;9 ;70 ;1,085 ;3,300 ;---- ;12 ;16 ;17 ;11 ;5 ;13,000 ;- ;4 ;- ;10 ;;- ;5 ;2 ;40 ;;272 ;41 ;20, ;48 ;916 ;262 ;843 ;- ;124 ;20 ;1,600 ;;
;Bro och ;Vatö skeppslag ;103 ;775 ;381 ;2,275 ;52 ;;295 ;34 ;255 ;2,888 ;8,720 ;900 ;34 ;46 ;50 ;41 ;27 ;45,000 ;- ;8 ;- ;30 ;- ;- ;10 ;3 ;80 ;;743 ;119 ;80 ;105 ;2,185 ;591 ;1,903 ;- ;293 ;76 ;4,100 ;;
7 ;Frötuna socken ;;67 ;490 ;190 ;1,150 ;19 ;I ;95 ;67 ;503 ;1,449 ;4,500 ;- ;7 ;13 ;6 ;31 ;32 ;19,000 ;- ;5 ;- ;15 ;;- ;- ;- ;40 ;;259 ;47 ;79 ;38 ;830 ;231 ;778 ;- ;129 ;30 ;1,400 ;7 ;
8) ;Länna ;;44 ;340 ;188 ;1.100 ;18 ;;90 ;58 ;420 ;1,973 ;6,020 ;;13 ;19 ;11 ;19 ;10 ;19,300 ;- ;20 ;50 ;20 ;;- ;- ;- ;100 ;;402 ;100 ;40 ;60 ;1,200 ;434 ;1,109 ;- ;150 ;93 ;1,500 ;;
10 ;Radmansö Blidö ;;21 - ;160 - ;101 62 ;610 370 ;10 17 ;;45 80 ;4 1 ;30 7 ;1,240 729 ;4,000 2,300 ;200 - ;8 --- ;12 - ;7 - ;10 5 ;11 2 ;5,750 2,400 ;- - ;5 10 ;- - ;10 - ;- ;- - ;- - ;- - ;20 30 ;;238 119 ;26 23 ;35 2 ;38 22 ;808 525 ;246 137 ;891 597 ;2 - ;91 65 ;29 14 ;800 600 ;;
;Frötuna och ;Länna skeppslag ;132 ;990 ;536 ;3,230 ;64 ;;310 ;130 ;960 ;5,391 ;16,820 ;200 ;28 ;44 ;24 ;65 ;55 ;46,450 ;- ;40 ;50 ;45 ;--- ;- ;- ;- ;190 ;;1,018 ;196 ;156 ;158 ;3,363 ;1,048 ;3,375 ;2 ;435 ;166 ;4,300 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11 ;Lofö soeken ;;89 ;605 ;74 ;445 ;3 ;;14 ;2 ;14 ;705 ;2,200 ;;--- ;- ;- ;35 ;16 ;12,500 ;- ;- ;- ;50 ;- ;- ;;- ;90 ;;85 ;1 ;72 ;11 ;306 ;36 ;51 ;- ;65 ;10 ;;700 (11 ;
is ;Ekerö ;;178 ;1,335 ;71 ;425 ;11 ;;56 ;46 ;350 ;1,845 ;4,155 ;1,570 ;- ;- ;- ;71 ;29 ;28,000 ;- ;--- ;- ;60 ;- ;- ;4 ;- ;80 ;;122 ;3 ;125 ;21 ;567 ;128 ;176 ;- ;161 ;26 ;1,800 ;18 ;
13 ;Munsö ;;113 ;850 ;54 ;320 ;;;30 ;20 ;150 ;1,425 ;4,200 ;500 ;- ;- ;- ;50 ;21 ;21,000 ;X = ;- ;- ;20 ;;- ;;- ;20 ;;103 ;8 ;94 ;13 ;314 ;136 ;144 ;- ;131 ;18 ;1,100 18 ;;
14 ;Adelsö ;;62 ;555 ;43 ;250 ;6 ;;31 ;;;1,102 ;3,410 ;;;- ;;15 ;5 ;8,000 ;- ;;;40 ;;;;;40 ;;79 ;11 ;84 ;17 ;275 ;66 ;218 ;- ;111 ;13 ;;600 114 ;
;;;104 ;780 ;157 ;940 ;4 ;;19 ;16 ;125 ;1,737 ;5,290 ;208 ;1 ;2 ;1 ;10 ;2 ;8,050 ;-- ;- ;- ;30 ;;- ;- ;;30 ;;118 ;10 ;88 ;14 ;307 ;96 ;147 ;- ;168 ;15 ;1,000 ;15 ;
j16 ;Farentuna ;;46 ;315 ;105 ;635 ;3 ;;15 ;20 ;145 ;919 ;2,800 ;180 ;2 ;2 ;3 ;5 ;1 ;5,000 ;- ;- ;- ;20 ;;- ;- ;- ;40 ;;58 ;7 ;50 ;14 ;189 ;57 ;66 ;- ;107 ;20 ;;300 16 ;
16 ;Hilleshög ;;;;;;;;;;;;;;;;;;;;;;;;;;;- ;;;;;;;;;;;;;;;
17| ;Sanga ;;26 ;195 ;323 ;1,940 ;10 ;;40 ;49 ;870 ;1,850 ;5,500 ;;- ;;- ;15 ;8 ;10,000 ;- ;- ;- ;30 ;;- ;;;40 ;;135 ;8 ;88 ;22 ;872 ;80 ;188 ;;150 ;12 ;1,050 ;;
18 ;Skâ ;;88 ;600 ;61 ;370 ;5 ;;25 ;24 ;166 ;1,292 ;3,950 ;- ;- ;- ;- ;23 ;6 ;12,500 ;- ;2 ;- ;20 ;;- ;- ;- ;20 ;;122 ;5 ;96 ;17 ;338 ;75 ;174 ;- ;115 ;25 ;850 ;;
;;Färentuna härad ;706 ;5,235 ;888 ;5,325 ;49 ;;230 ;177 ;1,320 ;10,375 ;31,505 ;2,512 ;3 ;4 ;4 ;224 ;83 ;105,050 ;- ;2 ;- ;270 ;- ;- ;4 ;- ;360 ;;817 ;53 ;697 ;129 ;2,668 ;674 ;1,164 ;- ;1,003 ;139 ;6,900 ;;
19 ;Spânga ;socken ;698 ;4,944 ;315 ;2,062 ;- ;;- ;138 ;1,060 ;2,079 ;6,804 ;1,600 ;- ;- ;- ;76 ;86 ;26,492 ;16 ;- ;- ;62 ;- ;- ;7 ;- ;60 ;;271 ;10 ;150 ;17 ;1,068 ;116 ;158 ;- ;332 ;11 ;1,350 ;19 ;
so ;Jerfälla ;;478 ;3,787 ;131 ;778 ;;;;130 ;1,050 ;1,030 ;3,213 ;1,650 ;- ;;- ;55 ;49 ;22,447 ;;- ;- ;30 ;;- ;4 ;1 ;;;169 ;2 ;86 ;18 ;671 ;179 ;237 ;- ;186 ;14 ;650 ;;
91 ;Eds ;;310 ;2,412 ;70 ;852 ;2 ;;9 ;60 ;372 ;895 ;8,508 ;1,000 ;- ;- ;-- ;43 ;40 ;13,594 ;- ;- ;- ;;;- ;2 ;;120 ;;100 ;'7 ;77 ;10 ;446 ;112 ;62 ;- ;123 ;12 ;;610 121 ;
29 ;Sollentuna ;;870 ;5,979 ;82 ;538 ;5 ;;26 ;129 ;907 ;1,111 ;4,103 ;- ;- ;- ;- ;57 ;57 ;19,515 ;- ;- ;- ;10 ;- ;- ;8 ;- ;140 ;;146 ;3 ;110 ;16 ;845 ;48 ;105 ;- ;307 ;21 ;;755 129 ;
23 ;Bromma ;;558 ;3,819 ;164 ;1,135 ;;;;54 ;417 ;621 ;2,035 ;- ;- ;- ;- ;39 ;37 ;14,581 ;- ;- ;;20 ;;- ;3 ;- ;130 ;;116 ;2 ;58 ;12 ;471 ;24 ;45 ;;414 ;21 ;;;
24 ;Sundbybergs ;köping ;5 ;38 ;7 ;30 ;0'5 ;;2 ;6 ;46 ;115 ;360 ;- ;- ;- ;- ;2 ;- ;1.150 ;- ;- ;- ;- ;- ;- ;;- ;40 ;;15 ;;6 ;;20 ;;;- ;10 ;10 ;;200 124 ;
;;Sollentuna härad ;2,919 ;20,979 ;760 ;4,895 ;7:5 ;;37 ;517 ;3,852 ;5,851 ;20,023 ;4,250 ;- ;- ;- ;272 ;269 ;97,779 ;X 10 ;- ;- ;122 ;- ;- ;24 ;I ;490 ;;817 ;24 ;487 ;73 ;3,521 ;479 ;607 ;- ;1,372 ;80 ;4,015 ;;
95 ;Öatra Ryds ;socken ;508 ;2,720 ;88 ;563 ;5 ;;20 ;116 ;599 ;1,391 ;5,216 ;580 ;- ;- ;-- ;78 ;32 ;25,260 ;- ;2 ;;;- ;- ;12 ;12 ;350 ;;250 ;39 ;60 ;40 ;754 ;187 ;478 ;- ;242 ;97 ;;;
se ;Täby ;;376 ;2,316 ;111 ;404 ;3 ;;10 ;108 ;676 ;1,581 ;4,574 ;520 ;-- ;;- ;83 ;34 ;28,975 ;- ;47 ;75 ;30 ;- ;- ;;;100 ;;238 ;6 ;111 ;25 ;779 ;182 ;803 ;- ;279 ;88 ;;1,245 (26 ;
97| ;Danderyds ;;115 ;836 ;47 ;263 ;2 ;;8 ;89 ;273 ;541 ;1,799 ;;- ;- ;- ;23 ;13 ;15,417 ;;;;;- ;- ;1 ;- ;500 ;;119 ;;48 ;6 ;433 ;14 ;221 ;- ;121 ;11 ;;600/27 ;
98 ;Lidingö ;;287 ;1,906 ;62 ;395 ;2 ;;12 ;66 ;480 ;713 ;2,929 ;216 ;- ;- ;- ;24 ;14 ;13,260 ;21 ;- ;- ;- ;- ;- ;;- ;100 ;;111 ;- ;34 ;6 ;358 ;13 ;3 ;;74 ;6 ;;870 198 ;
29 ;Solna ;, ;95 ;661 ;34 ;194 ;1 ;;4 ;31 ;205 ;740 ;2,499 ;2,990 ;- ;- ;- ;14 ;13 ;9,525 ;607 ;- ;- ;- ;- ;- ;1 ;- ;520 ;;218 ;2 ;22 ;2 ;380 ;;5) ;- ;556 ;8 ;;235 129 ;
;;Danderyds skeppalag ;1,381 ;8,439 ;342 ;1,819 ;13 ;;54 ;360 ;2,233 ;4,966 ;17,017 ;4,256 ;- ;- ;- ;222 ;106 ;92,437 ;628 ;49 ;75 ;30 ;- ;- ;14 ;12 ;1,570 ;;936 ;47 ;275 ;79 ;2,099 ;346 ;811 ;- ;1,272 ;160 ;4,380 ;;
so ;Öster&kers ;socken ;258 ;1,935 ;145 ;860 ;16 ;;75 ;9 ;70 ;1,483 ;4,550 ;740 ;5 ;7 ;6 ;49 ;38 ;35,000 ;- ;5 ;- ;5 ;- ;- ;5 ;- ;100 ;;322 ;41 ;131 ;46 ;1,001 ;280 ;604 ;- ;212 ;50 ;2,800 ;;
31 ;Roslaga-Knlla ;;25 ;190 ;68 ;400 ;;;18 ;19 ;150 ;894 ;1,200 ;- ;3 ;5 ;3 ;7 ;8 ;11,000 ;- ;;- ;;- ;- ;;;50 ;;108 ;24 ;32 ;10 ;265 ;77 ;154 ;- ;74 ;10 ;;;
39 ;Riala ;. ;44 ;330 ;115 ;700 ;16 ;;72 ;11 ;80 ;1,045 ;3,800 ;- ;;6 ;8 ;6 ;4 ;12,050 ;- ;10 ;- ;15 ;- ;- ;10 ;2 ;85 ;;222 ;24 ;26 ;20 ;597 ;125 ;549 ;;13:2 ;;1,900 82 ;;
as ;Ljusterö ;;12 ;90 ;84 ;500 ;8 ;;40 ;;;894 ;2,650 ;- ;3 ;5 ;4 ;6 ;10 ;17,800 ;- ;5 ;- ;5 ;- ;- ;;;10 ;;194 ;20 ;50 ;28 ;582 ;152 ;574 ;;111 ;20 ;1,500 lss ;;
;;Äkers skeppalag ;339 ;2,545 ;412 ;2.400 ;44 ;;205 ;39 ;300 ;3,816 ;11,700 ;740 ;17 ;23 ;21 ;68 ;55 ;75,350 ;- ;20 ;- ;25 ;- ;- ;15 ;2 ;245 ;;841 ;109 ;239 ;104 ;2,395 ;634 ;1,881 ;- ;529 ;8o ;7,200 ;;
84 ;Vermdö socken ;;256 ;1,627 ;308 ;1,122 ;5:5 ;;25 ;114 ;598 ;3,288 ;9,073 ;1,050 ;;- ;- ;123 ;82 ;48,743 ;- ;31 ;76 ;13 ;0:5 ;2 ;1 ;3 ;355 ;;498 ;20 ;224 ;66 ;1,502 ;416 ;1,041 ;;487 ;50 ;2,645 ;;
35 ;Ingarö ;;- - ;- ;56 25 ;150 120 ;0:5 1:5 ;;2 6 ;11 ;69 ;800 938 ;2,592 2,069 ;- ;- - ;- - ;-- - ;25 8 ;7 1 ;9,688 3,490 ;- - ;2 5 ;- - ;5 - ;;- - ;- - ;- - ;150 70 ;;106 71 ;4 2 ;56 12 ;11 8 ;445 319, ;90 62 ;279 180 ;- - ;142 69 ;44 - ;;635 185 600 88 ;
86 37 ;Djurö , Bo ;;28 ;148 ;26 ;130 ;O'S ;;1 ;43 ;293 ;506 ;1,909 ;670 ;- ;;- ;22 ;14 ;9,181 ;- ;10 ;;2 ;;- ;;;210 ;;70 ;;24 ;4 ;302 ;31 ;40 ;;80 ;;;815 187 ;
;Möja , ;;- ;- ;16 ;66 ;;;;;;761 ;2,297 ;- ;- ;- ;- ;1 ;;320 ;- ;2 ;- ;- ;;- ;- ;- ;;;47 ;3 ;;7 ;197 ;68 ;194 ;5 ;25 ;20 ;;190 88 ;
;;Vermdö skeppslag ;284 ;1,775 ;431 ;1,588 ;8 ;;34 ;108 ;960 ;6,293 ;17,870 ;1,720 ;- ;- ;- ;179 ;104 ;71,352 ;- ;50 ;76 ;20 ;0:5 ;2 ;I ;3 ;785 ;;792 ;29 ;316 ;96 ;2.765 ;662 ;1,734 ;5 ;803 ;114 ;4,885 ;;
89 ;Österhaninge ;socken ;144 ;1,080 ;133 ;800 ;;;- ;66 ;490 ;2,207 ;6,700 ;4,000 ;4 ;5 ;3 ;99 ;100 ;40,000 ;- ;5 ;- ;- ;- ;- ;2 ;- ;20 ;;407 ;19 ;209 ;19 ;1,481 ;360 ;664 ;- ;317 ;8 ;1,745 89 ;;
40 ;Ornö ;, ;20 ;145 ;24 ;135 ;- ;;- ;6 ;44 ;334 ;1,050 ;;- ;- ;- ;8 ;6 ;2,750 550 ;- ;-- ;- ;5 ;;- ;- ;- ;50 ;;31 11 ;- ;50 20 ;3 ;203 110 ;73 14 ;210 147 ;- ;73 35 ;- ;;270 40 125 41 ;
41 ;Nämdö ;" ;;;9 ;52 ;- ;;- ;;- ;362 ;1,100 ;- ;- ;- ;- ;1 ;1 ;;- ;- ;- ;;- ;- ;- ;;;;;;;;;;;;;;;;
49 ;Utö ;" ;44 ;330 ;14 ;85 ;- ;;- ;11 ;79 ;490 ;1,450 ;;- ;- ;- ;10 ;8 ;3,500 ;- ;;;- ;;- ;- ;;- ;;24 ;- ;56 ;B ;140 ;48 ;260 ;;82 ;;;200 49 ;
43 ;Tyreaö ;;171 ;1,280 ;95 ;590 ;- ;;- ;31 ;240 ;675 ;2,110 ;800 ;- ;- ;- ;33 ;30 ;12,150 ;- ;10 ;- ;5 ;;- ;;;- ;;110 ;3 ;53 ;6 ;414 ;107 ;52 ;4 ;107 ;8 ;;357 48 ;
44 ;Dalarö ;;12 ;80 ;11 ;65 ;- ;;- ;3 ;22 610 ;200 3,503 ;615 12,150 ;350 ;;- ;- ;4 106 ;4 120 ;1,400 40,150 ;- - ;- - ;- - ;- ;- ;- - ;- ;1 ;50 ;;18 346 ;1 42 ;16 212) ;24 ;88 1,224 ;16 427 ;34 412 ;- ;11 491 ;8 ;1,625 45 ;160 44 ;
45 ;Vesterhaninge ;;53 ;870 ;210 ;1,250 ;;;- ;84 ;;;;;;- ;- ;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;29 ;32 ;185 ;- ;;;18 ;140 ;720 ;2,200 ;;6 ;8 ;4 ;19 ;17 ;6,050 ;- ;-- ;;10 ;;- ;- ;- ;;;51 ;- ;74 ;12 ;347 ;125 ;475 ;- ;174 ;10 ;1,060 48 ;;
48 ;Muskö ;;4 178 ;1,310 ;164 ;960 ;- ;;-- - ;130 ;970 ;2,935 ;10,710 ;275 ;14 ;18 ;15 ;120 ;100 ;41,250 ;- ;25 ;20 ;5 ;-- ;- ;1 ;- ;100 ;;345 ;27 ;310 ;36 ;1,545 ;537 ;1,056 ;- ;462 ;;2,655 47 ;;
