Table: Table_1

;1. ;2. ;8. ;4. ;5. ;6. I ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23 ;24. ;25. ;26. ;27. ;28. ;29. || ;30. ;31. I ;32 1 ;33. ;84 ;35. ! ;36. ;37. ;38. ;39. ;1. ;
;Skederid Rimbo R6 Fasterna ;29-875 37:750 22-750 52:458 ;46 58 38 85 ;- -- - 2 ;34 35 27 19 ;5 3 3 ;5 2 2 1 ;-- - 1 ;2 16 44 ;- 2 4 16 ;- 1 2 ;38 73 33 55 ;5,115 7,804 4.744 9,773 ;7 13 10 9 ;1,394 1,971 981 1,979 ;67 126 167 313 ;2,667 4,932 2,795 5,435 ;207 290 145 290 ;400 548 270 594 ;35 29 29 41 ;40 42 26 60 ;8 17 9 16 ;1 1 3 ;16 23 11 28 ;502 741 349 721 ;- - - - ;185 280 145 226 ;96 117 58 130 ;771 939 460 1,043 ;452 550 295 525 ;3,392 4,122 2,215 3,939 ;- 21 - ;- 127 - ;- - - ;- - - - ;126 99 91 183 ;951 747 683 1,370 ;946 1,157 417 1,027 ;7,570 9,258 3,338 8,214 ;1 2 3 4 ;
;Sjuhundra härad ;142-383 ;227 ;2 ;115 ;11 ;10 ;1 ;63 ;22 ;3 ;199 ;27,436 ;89 ;6,328 ;673 ;15,829 ;982 ;1,812 ;134 ;168 ;50 ;5 ;78 ;2,313 ;- ;836 ;401 ;3,213 ;1,822 ;13,668 ;21 ;127 ;- ;- ;499 ;3,751 ;3,547 ;28,380 ;;
;Roslags-Br ;105-250 ;180 ;11 ;126 ;17 ;5 ;;18 ;3 ;- ;149 ;10,205 ;22 ;3,009 ;558 ;4,788 ;482 ;810 ;108 ;111 ;23 ;6 ;32 ;963 ;- ;474 ;266 ;1,865 ;946 ;6,435 ;- ;- ;- ;- ;293 ;2,055 ;2,133 ;14,927 ;5 ;
;6) Vätö ;58-295 ;227 ;33 ;178 ;8 ;;- ;7 ;1 ;- ;219 ;10,466 ;14 ;1,796 ;596 ;5,781 ;300 ;477 ;66 ;73 ;8 ;3 ;19 ;552 ;- ;298 ;145 ;1,015 ;608 ;4,135 ;- ;- ;- ;- ;190 ;1,332 ;1,218 ;8.527 ;6 ;
;Bro och Vato skeppslag ;163:545 ;407 ;44 ;304 ;25 ;5 ;- ;25 ;4 ;- ;368 ;20,671 ;36 ;4,80% ;1,154 ;10,564 ;782 ;1,287 ;174 ;184 ;31 ;9 ;51 ;1,515 ;- ;772 ;411 ;2,880 ;1,554 ;10,570 ;- ;- ;- ;- ;483 ;3,387 ;3,351 ;23,454 ;;
;Frötuna ;68:625 ;90 ;5 ;67 ;6 ;3 ;1 ;5 ;3 ;- ;87 ;10,765 ;14 ;1,942 ;481 ;6,120 ;303 ;521 ;70 ;62 ;4 ;1 ;14 ;682 ;- ;285 ;147 ;1,029 ;597 ;4,062 ;26 ;137 ;- ;- ;156 ;1.094 ;1,454 ;10.181 ;7 ;
;Radmansö ;51-875 ;219 ;55 ;145 ;6 ;;;;5 ;1 ;119 ;9,025 ;14 ;1,514 ;1,052 ;4,935 ;257 ;475 ;64 ;78 ;;2 ;10 ;400 ;- ;228 ;123 ;866 ;534 ;3,633 ;;;- ;- ;165 ;1,158 ;1,325 ;9,279 ;8 ;
;Länna ;79-625 ;147 ;4 ;106 ;23 ;2 ;- ;8 ;4 ;- ;116 ;12,846 ;20 ;2,773 ;341 ;7,720 ;447 ;754 ;73 ;96 ;3 ;1 ;23 ;966 ;- ;410 ;230 ;1,613 ;856 ;5,828 ;10 ;48 ;-- ;- ;308 ;2,159 ;2,027 ;14,189 ;9 ;
10 ;Blidö ;25:375 ;211 ;90 ;114 ;2 ;;;2 ;3 ;;43 ;5,233 ;10 ;732 ;396 ;3,175 ;131 ;232 ;80 ;59 ;- ;;8 ;168 ;- ;104 ;61 ;430 ;270 ;1,836 ;;- ;2 ;13 ;85 ;597 ;705 ;4,930 ;10 ;
