Table: Table_1

;1. ;40. ;41. ;42. ;43. ;44. ;45. Il ;46. ;47. ;48. ;49. ;50. ;52. ;53. ;54. ;55. ;56 ;57. ;62. ;65. ;66. ;67. ;70. ;71. ;72. ;73 ;74. ;75. ;76. ;77. ;78. ;79. ;80. ;81 I ;82. ;83. 11. ;
I 2 3 4 ;Skederid Rimbo Rö Fasterna ;325 556 401 762 ;2,605 4,337 3,130 5,945 ;84 54 65 80 ;590 379 460 573 ;7 3 13 ;35 18 21 68 ;20 33 15 24 ;143 231 107 171 ;988 1,088 652 1,483 ;4,942 3,811 2,285 5,193 ;4,805 10,217 5,400 9,610 ;2 2 5 ;4 6 12 ;3 2 9 ;46 71 35 64 ;42 47 25 51 ;11,087 16,303 7,681 15,865 ;- - -- - ;- 2 2 15 ;- -- --- - ;1 7 3 ;4 4 18 - ;2 - 5 - ;31 126 64 181 ;181 199 127 250 ;35 30 25 56 ;6 56 8 10 ;14 16 12 20 ;564 706 438 756 ;150 203 126 300 ;131 161 73 207 ;- - - - ;116 103 77 154 ;15 34 3 4 ;583 1,300 2 388 3 1,138 ;
;Sjuhundra härad ;2,044 ;16,017 ;283 ;2,002 ;X 27 ;142 ;X 92 ;X 652 ;4,211 ;16,231 ;30,032 ;X 9 ;X 22 ;14 ;216 ;165 ;50,936 ;- ;19 ;- ;15 ;26 ;7 ;402 ;757 ;146 ;so ;62 ;2,464 ;779 ;572 ;- ;450 ;56 ;3,409 ;
5 ;Roslags-Bro ;409 ;2.865 ;289 ;1,968 ;36 ;180 ;42 ;287 ;2,765 ;11,063 ;11,503 ;13 ;24 ;18 ;80 ;60 ;17,389 ;-- ;1 ;- ;2 ;13 ;- ;87 ;463 ;110 ;10 ;53 ;1,483 ;392 ;615 ;- ;394 ;57 ;2,127 ;
6 ;Vätö ;272 ;1,908 ;183 ;1,247 ;X 24 ;125 ;22 ;152 ;1,803 ;7,215 ;4,009 ;6 ;15 ;11 ;42 ;19 ;9,936 ;- ;2 ;- ;- ;3 ;- ;48 ;240 ;56 ;;28 ;923 ;241 ;507 ;- ;282 ;33 ;1,690 6 ;
;Bro och Vätö skeppslag ;681 ;4,773 ;472 ;3,215 ;X 60 ;303 ;X 64 ;439 ;4,568 ;18,278 ;15,512 ;19 ;39 ;X 29 ;122 ;X 79 ;27.275 ;- ;3 ;- ;2 ;16 ;- ;130 ;703 ;166 ;10 ;SJ ;2,406 ;633 ;1,122 ;- ;676 ;X 90 ;3,817 ;
7 ;Frötuna ;203 ;1,463 ;152 ;1,067 ;7 ;37 ;70 ;487 ;1,465 ;5,130 ;2,003 ;2 ;5 ;3 ;59 ;30 ;13,642 ;- ;;- ;- ;25 ;- ;49 ;308 ;50 ;28 ;23 ;1,014 ;296 ;318 ;- ;270 ;48 ;1,670 ;
8 ;Radmansö ;219 ;1,579 ;167 ;1,172 ;7 ;35 ;36 ;255 ;1,909 ;6,687 ;;3 ;6 ;8 ;38 ;24 ;8,000 ;- ;;- ;- ;;4 ;58 ;249 ;42 ;4 ;15 ;1,058 ;284 ;386 ;- ;314 ;20 ;1,520 8 ;
9 ;Länna ;353 ;2,545 ;211 ;1,473 ;5 ;30 ;30 ;211 ;2,414 ;8,449 ;1,500 ;2 ;4 ;2 ;95 ;81 ;19,325 ;- ;;- ;3 ;17 ;1 ;78 ;424 ;84 ;7 ;27 ;1,354 ;401 ;591 ;- ;381 ;56 ;2,470 9 ;
10 ;Blidö ;24 ;170 ;84 ;598 ;5 ;23 ;11 ;77 ;1,485 ;5,199 ;;;- ;- ;13 ;7 ;3.857 ;- ;2 ;- ;4 ;- ;- ;53 ;113 ;8 ;2 ;4 ;541 ;148 ;161 ;- ;207 ;- ;870 10 ;
