Table: Table_1

;1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27 ;28. ;29. ;30. ;31. ;32. ;33. ;34 ;35 ;36. ;37 ;38. ;39 ;
1 ;Botkyrka ;43:040 ;26 ;1 ;4 ;1 ;5 ;;1 ;10 ;4 ;58 ;8,124 ;37 ;2,196 ;85 ;4,951 ;301 ;532 ;30 ;44 ;67 ;- ;45 ;886 ;- ;291 ;326 ;9,773 ;439 ;3.162 ;- ;- ;-- ;- ;17 ;140 ;1,829 ;10,632 ;
2| ;Brännkyrka ;28:417 ;77 ;12 ;26 ;5 ;2 ;11 ;7 ;8 ;6 ;31 ;7,473 ;153 ;2,203 ;20 ;4,707 ;294 ;506 ;20 ;63 ;41 ;- ;53 ;927 ;9 ;290 ;272 ;2,314 ;438 ;3,158 ;-- ;- ;--- ;- ;48 ;380 ;1.132 ;9,056 ;
3 ;Grödinge ;56-375 ;74 ;1 ;28 ;11 ;1 ;;12 ;18 ;3 ;33 ;11,052 ;33 ;2.884 ;95 ;6.978 ;400 ;677 ;34 ;52 ;51 ;- ;50 ;1,225 ;- ;395 ;438 ;3,723 ;622 ;4,478 ;- ;- ;- ;- ;78 ;628 ;2,205 ;17,643 ;
4) ;Huddiuge ;40667 ;28 ;;3 ;9 ;6 ;1 ;1 ;5 ;3 ;93 ;13,727 ;37 ;2.636 ;52 ;9,674 ;357 ;666 ;38 ;41 ;54 ;- ;29 ;1,092 ;- ;359 ;368 ;3,129 ;534 ;3,849 ;- ;- ;-- ;-- ;47 ;379 ;1,878 ;15,028 ;
5 ;Nacka ;13 790 ;6S ;40 ;5 ;2 ;1 ;10 ;7 ;1 ;2 ;21 ;6,030 ;37 ;756 ;79 ;3,952 ;94 ;184 ;15 ;34 ;13 ;- ;21 ;302 ;- ;93 ;61 ;521 ;167 ;1,202 ;- ;--- ;- ;- ;25 ;203 ;435 ;3,483 ;
6) ;Salem ;33:375 ;67 ;50 ;6 ;2 ;2 ;- ;- ;4 ;3 ;38 ;6,037 ;18 ;1,507 ;5 ;4,235 ;215 ;342 ;17 ;29 ;48 ;- ;35 ;618 ;- ;203 ;251 ;2,135 ;263 ;1,890 ;--- ;- ;- ;-- ;60 ;480 ;875 ;7,000 ;
;Svartlösa härad ;215-664 ;340 ;104 ;72 ;30 ;17 ;22 ;28 ;46 ;21 ;263 ;52,443 ;315 ;12,182 ;336 ;84,497 ;1,661 ;2,907 ;154 ;263 ;274 ;- ;233 ;5,050 ;9 ;1,631 ;1,716 ;14,595 ;2,463 ;17,739 ;- ;- ;- ;- ;275 ;2,210 ;7,854 ;62,842 ;
7 ;Ostertälje ;14:625 ;18 ;- ;10 ;3 ;3 ;- ;1 ;1 ;- ;23 ;2,405 ;9 ;705 ;18 ;1,513 ;99 ;184 ;13 ;21 ;11 ;- ;10 ;267 ;- ;100 ;54 ;463 ;191 ;1.434 ;-- ;- ;- ;- ;21 ;171 ;618 ;4,638 ;
8 ;Västertälje ;10:625 ;9 ;;1 ;3 ;2 ;- ;;3 ;- ;25 ;2,165 ;13 ;660 ;9 ;1,204 ;91 ;203 ;21 ;19 ;7 ;- ;9 ;232 ;- ;78 ;33 ;285 ;196 ;1,470 ;- ;- ;- ;- ;35 ;283 ;656 ;4,921 ;
9 ;Tveta ;21:126 ;16 ;1 ;1 ;1 ;5 ;-- ;5 ;3 ;-- ;36 ;4,019 ;17 ;1,169 ;35 ;1,980 ;176 ;314 ;22 ;28 ;12 ;- ;11 ;443 ;- ;163 ;62 ;524 ;374 ;2,800 ;--- ;;- ;--- ;37 ;290 ;1,026 ;7,695 ;
10 ;Ofverjärna ;24-625 ;40 ;4 ;10 ;3 ;4 ;- ;14 ;4 ;1 ;81 ;5,925 ;18 ;1,533 ;37 ;3,327 ;244 ;415 ;50 ;49 ;28 ;-- ;10 ;511 ;- ;226 ;182 ;1.549 ;434 ;3,258 ;- ;- ;- ;- ;119 ;953 ;1.025 ;7,680 ;
