Table: Table_1

;;40. ;41. ;42. ;43. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;52 / ;53. ;54. ;55. ;56. ;57. ;62. ;65. ;66. ;67. ;70. ;71. ;72. ;73. ;74. ;75. ;76. ;77. ;78. ;79. ;80. ;81. ;82. ;83. 1. ;
;1 Botkyrka ;574 ;4,247 ;87 ;612 ;2 ;10 ;75 ;527 ;1,045 ;4,702 ;46,902 ;- ;- ;- ;77 ;92 ;21,269 ;- ;2 ;- ;18 ;6 ;1 ;210 ;237 ;23 ;138 ;31 ;1,116 ;177 ;116 ;- ;328 ;24 ;1,760 ;
;2, Brännkyrka ;524 ;3,879 ;56 ;394 ;3 ;17 ;40 ;283 ;1,493 ;6,719 ;28,703 ;- ;- ;- ;85 ;40 ;22,248 ;180 ;2 ;- ;7 ;8 ;01 ;255 ;365 ;11 ;87 ;23 ;1,889 ;41 ;68 ;;675 ;12 ;1,830 ;
;3 Grödinge ;467 ;3,455 ;92 ;647 ;5 ;28 ;95 ;667 ;1,248 ;5,639 ;35,700 ;- ;- ;- ;119 ;94 ;29,403 ;- ;4 ;- ;37 ;7 ;4 ;200 ;208 ;40 ;283 ;43 ;1,501 ;287 ;157 ;9 ;390 ;16 ;2,310 ;
;4 Huddinge ;440 ;3,256 ;102 ;719 ;4 ;20 ;104 ;728 ;1,074 ;4,838 ;37,795 ;- ;- ;--- ;91 ;50 ;26,213 ;- ;3 ;- ;9 ;5 ;7 ;177 ;288 ;20 ;110 ;31 ;1,320 ;175 ;67 ;;331 ;36 ;1,955 ;
;5 Nacka 6 Sulem ;152 294 ;1.124 2,178 ;44 50 ;308 355 ;3 2 ;15 13 ;30 110 ;213 770 ;704 682 ;3,171 3,069 ;9,101 33,603 ;- - ;- - ;- - ;24 53 ;13 34 ;7,249 14,835 ;- --- ;2 1 ;-- - ;2 3 ;3 - ;- - ;250 100 ;139 136 ;4 16 ;34 90 ;9 16 ;429 749 ;20 198 ;- 76 ;1 - ;500 182 ;34 13 ;1,035 945 ;
;Svartlösa härad ;2,451 ;18,189 ;431 ;3,035 ;19 ;103 ;454 ;3,188 ;6,246 ;28,138 ;191,804 ;- ;- ;- ;449 ;323 ;121,217 ;X 180 ;14 ;- ;76 ;29 ;12° ;1,192 ;1,373 ;114 ;742 ;153 ;6,504 ;898 ;484 ;10 ;2,406 ;135 ;9,835 ;
;71 Östertülje ;14 ;107 ;39 ;294 ;- ;- ;4 ;28 ;459 ;1,838 ;7,703 ;- ;- ;-- ;30 ;10 ;6,408 ;- ;- ;- ;2 ;- ;- ;30 ;52 ;7 ;67 ;8 ;280 ;91 ;11 ;-- ;96 ;12 ;650 ;
;8| Västertälje ;50 ;375 ;61 ;450 ;- ;- ;9 ;65 ;423 ;1.698 ;4,900 ;- ;- ;- ;27 ;51 ;5,568 ;- ;1 ;- ;19 ;10 ;3 ;28 ;96 ;7 ;55 ;11 ;369 ;68 ;15 ;- ;79 ;16 ;595 ;
;9 Tveta ;42 ;317 ;63 ;473 ;;;10 ;70 ;625 ;2,503 ;8,405 ;- ;- ;- ;53 ;55 ;10,635 ;- ;2 ;- ;9 ;12 ;6 ;41 ;131 ;15 ;56 ;19 ;635 ;161 ;107 ;- ;146 ;34 ;1,087 ;
