Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;
Seminghundra härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skeptuna ;46,88 ;70 ;30 ;50,011 ;20 ;2,753 ;627 ;941 ;2 ;46 ;17 ;2 ;15 ;46 ;15 ;2 ;670 ;592 ;44 ;73 ;22 ;7 ;59 ;493 ;- ;794 ;101 ;- ;432 ;- ;163 ;403 ;32 ;36 ;
Lunda ;21,50 ;28 ;46 ;4,266 ;13 ;1,548 ;270 ;2,435 ;;18 ;9 ;1 ;25 ;39 ;9 ;1 ;268 ;321 ;37 ;45 ;- ;-- ;- ;392 ;- ;490 ;58 ;- ;205 ;- ;69 ;252 ;- ;22 ;
Widbo ;24 ;32 ;58 ;2,950 ;- ;853 ;457 ;1,635 ;- ;27 ;3 ;1 ;- ;30 ;2 ;1 ;297 ;210 ;13 ;36 ;- ;- ;- ;- ;- ;297 ;34 ;- ;189 ;- ;60 ;118 ;7 ;13 ;
Skânella ;32,75 ;27 ;20 ;4,499 ;5 ;1,792 ;330 ;2,269 ;- ;8 ;16 ;2 ;- ;12 ;13 ;2 ;346 ;335 ;33 ;49 ;3 ;1 ;78 ;576 ;- ;372 ;63 ;- ;220 ;- ;88 ;257 ;48 ;28 ;
Markim ;20,13 ;27 ;40 ;4,556 ;2 ;1,096 ;767 ;2,690 ;- ;27 ;8 ;- ;- ;12 ;2 ;- ;276 ;333 ;21 ;23 ;5 ;1 ;- ;682 ;- ;522 ;47 ;- ;186 ;- ;79 ;188 ;27 ;14 ;
Orkesta ;18,25 ;21 ;13 ;3,516 ;5 ;911 ;468 ;2,132 ;- ;13 ;3 ;1 ;- ;6 ;1 ;- ;240 ;203 ;23 ;19 ;5 ;- ;14 ;144 ;- ;263 ;45 ;- ;138 ;- ;59 ;145 ;- ;15 ;
Frösunda ;32,18 ;54 ;29 ;4,705 ;- ;1,303 ;617 ;2,786 ;- ;34 ;18 ;- ;- ;33 ;21 ;- ;422 ;407 ;30 ;32 ;- ;- ;- ;- ;- ;411 ;49 ;- ;269 ;- ;142 ;180 ;39 ;25 ;
Summa ;195,14 ;259 ;236 ;74,503 ;45 ;10,256 ;3,536 ;14,888 ;2 ;173 ;74 ;7 ;40 ;178 ;63 ;6 ;2,514 ;2,401 ;201 ;277 ;35 ;9 ;151 ;2,287 ;- ;3,149 ;397 ;- ;1,639 ;- ;660 ;1,538 ;153 ;153 ;
Erlinghundra härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alsike ;28,95 ;24 ;56 ;6,331 ;19 ;1,490 ;546 ;3,580 ;1 ;14 ;3 ;3 ;29 ;41 ;9 ;1 ;383 ;285 ;36 ;72 ;7 ;- ;- ;138 ;- ;570 ;69 ;- ;242 ;- ;124 ;102 ;65 ;23 ;
Knifsta ;40,88 ;31 ;61 ;7,324 ;47 ;1,802 ;634 ;4,711 ;- ;7 ;8 ;3 ;22 ;37 ;8 ;- ;577 ;309 ;51 ;62 ;26 ;- ;1 ;146 ;- ;676 ;75 ;- ;315 ;- ;121 ;156 ;49 ;34 ;
Odensala ;51,88 ;100 ;63 ;9,390 ;17 ;3,043 ;1,067 ;5,263 ;2 ;81 ;20 ;- ;60 ;78 ;20 ;- ;655 ;502 ;65 ;78 ;27 ;- ;14 ;644 ;- ;1,058 ;123 ;- ;451 ;- ;212 ;224 ;64 ;86 ;
Husseby ;31,63 ;56 ;55 ;6,763 ;21 ;1,592 ;1,308 ;3,841 ;1 ;20 ;23 ;7 ;53 ;7 ;18 ;- ;413 ;350 ;59 ;57 ;16 ;- ;32 ;78 ;- ;586 ;90 ;- ;299 ;- ;238 ;123 ;36 ;30 ;
Norrsunda ;37,50 ;29 ;27 ;4,889 ;12 ;1,505 ;390 ;2,982 ;- ;5 ;- ;- ;6 ;31 ;3 ;1 ;350 ;340 ;50 ;45 ;- ;- ;- ;- ;320 ;400 ;59 ;- ;208 ;- ;108 ;197 ;47 ;21 ;
Wassunda ;40,18 ;59 ;19 ;6,980 ;15 ;1,787 ;1,552 ;2,662 ;- ;50 ;9 ;- ;- ;50 ;9 ;- ;557 ;310 ;70 ;30 ;3 ;- ;- ;200 ;- ;617 ;58 ;- ;360 ;- ;132 ;190 ;16 ;92 ;
Haga ;20,50 ;23 ;13 ;3,494 ;9 ;1,055 ;514 ;1,917 ;- ;13 ;7 ;1 ;7 ;18 ;8 ;- ;301 ;185 ;17 ;24 ;1 ;- ;12 ;118 ;- ;395 ;50 ;- ;218 ;- ;77 ;95 ;9 ;13 ;
S:t Olof ;22,38 ;9 ;45 ;2,639 ;- ;742 ;541 ;1,356 ;- ;- ;- ;3 ;- ;4 ;3 ;2 ;245 ;129 ;19 ;24 ;- ;- ;- ;80 ;- ;245 ;27 ;- ;157 ;- ;57 ;73 ;17 ;14 ;
S:t Per ;12.68 ;11 ;5 ;1,608 ;- ;523 ;320 ;765 ;- ;6 ;5 ;- ;- ;6 ;5 ;- ;200 ;92 ;16 ;15 ;- ;- ;- ;- ;- ;200 ;35 ;- ;115 ;- ;41 ;64 ;- ;12 ;
Summa ;285,78 ;342 ;344 ;49,418 ;140 ;13,539 ;6,872 ;27,077 ;4 ;196 ;75 ;17 ;177 ;272 ;83 ;4 ;3,681 ;2,502 ;383 ;407 ;80 ;- ;59 ;1,404 ;320 ;4,747 ;586 ;- ;2365 ;- ;1,105 ;1,224 ;303 ;215 ;
FrösAkers härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Böratil ;100,46 ;254 ;162 ;41,417 ;6 ;3,277 ;8,405 ;29,729 ;10 ;245 ;4 ;- ;157 ;255 ;4 ;- ;835 ;784 ;101 ;222 ;8 ;47 ;- ;142 ;- ;1,138 ;84 ;- ;634 ;- ;556 ;62 ;16 ;84 ;
