Table: Table_1

1. ;36. ;37. ;39. ;;40. ;41. ;42. ;43. ;44 ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;55 ;56. ;57 ;58. ;59 ;60 ;61. ;62. ;63. ;64. ;66. ;67. ;68. ;69 ;70. ;71. ;72. ;73. ;74. ;75. ;
Seminghundra härad. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skeptuna ;9 ;47 ;590 ;;5 ;- ;- ;- ;838 ;- ;2,853 ;- ;992 ;2,255 ;336 ;184 ;10 ;37 ;2,682 ;500 ;10 ;- ;1. ;3,880 ;19,472 ;- ;- ;- ;242 ;27 ;74 ;6 ;470 ;12 ;273 ;- ;292 ;- ;
Lunda ;- ;16 ;300 ;;- ;- ;- ;- ;347 ;- ;1,229 ;- ;345 ;5,512 ;- ;86 ;- ;96 ;1,348 ;- ;- ;- ;- ;- ;9,268 ;- ;- ;- ;133 ;4 ;62 ;9 ;318 ;30 ;206 ;- ;76 ;- ;
Widbo ;- ;- ;190 ;;- ;- ;- ;- ;194 ;- ;1,103 ;- ;450 ;507 ;24 ;61 ;- ;- ;882 ;- ;- ;- ;- ;- ;7,312 ;- ;- ;- ;100 ;- ;30 ;8 ;288 ;20 ;71 ;- ;37 ;- ;
Skânella ;1 ;15 ;272 ;;1 ;- ;1 ;- ;415 ;- ;1,869 ;- ;485 ;1,745 ;350 ;150 ;7 ;73 ;1,435 ;24 ;- ;2 ;5. 30 ;688 ;16,904 ;- ;- ;- ;149 ;12 ;66 ;13 ;348 ;9 ;122 ;- ;126 ;- ;
Markim ;2 ;- ;180 ;;1 ;- ;5 ;- ;245 ;- ;1,223 ;- ;495 ;850 ;153 ;77 ;5 ;- ;1,156 ;177 ;- ;1 ;- ;- ;8,088 ;- ;-- ;- ;130 ;16 ;28 ;13 ;232 ;1 ;155 ;- ;123 ;- ;
Orkesta ;- ;- ;140 ;;- ;- ;8 ;- ;445 ;- ;1,178 ;- ;452 ;1,006 ;- ;99 ;- ;- ;723 ;272 ;- ;- ;- ;4,000 ;28,224 ;- ;- ;- ;86 ;16 ;40 ;9 ;208 ;6 ;112 ;- ;89 ;- ;
Frösunda ;- ;- ;221 ;;- ;- ;- ;- ;317 ;- ;1,908 ;- ;1,030 ;1,054 ;160 ;100 ;- ;- ;1,178 ;- ;- ;-- ;- ;- ;12,624 ;- ;- ;-- ;148 ;- ;44 ;5 ;384 ;;204 ;- ;108 ;- ;
Summa ;12 ;78 ;1,893 ;;7 ;- ;14 ;- ;2,801 ;- ;11,363 ;- ;4,249 ;12,929 ;1,023 ;757 ;22 ;206 ;9,404 ;973 ;10 ;3 ;6. 30 ;8,568 ;101,892 ;- ;- ;- ;988 ;75 ;344 ;63 ;2,248 ;78 ;1,143 ;- ;851 ;-- ;
Erlinghundra härad. ;;;;;;;;;;;;;;;;;;;;;983 ;;;;;;;;;;;;;;;;;;
Alsike ;- ;15 ;415 ;;- ;- ;- ;- ;604 ;- ;2,004 ;- ;797 ;524 ;408 ;125 ;- ;90 ;2,529 ;614 ;195 ;- ;- ;- ;11,832 ;- ;- ;- ;133 ;8 ;56 ;17 ;295 ;48 ;303 ;- ;139 ;- ;
Knifsta ;4 ;6 ;297 ;;- ;- ;- ;- ;460 ;- ;2,042 ;- ;585 ;739 ;316 ;223 ;28 ;36 ;1,260 ;119 ;80 ;- ;- ;2,376 ;19,816 ;- ;- ;- ;155 ;10 ;80 ;13 ;366 ;66 ;372 ;- ;158 ;- ;
Odensala ;8 ;15 ;460 ;;- ;- ;45 ;- ;972 ;- ;3,301 ;- ;1,689 ;1,436 ;538 ;235 ;29 ;69 ;2,850 ;1,553 ;- ;- ;- ;- ;10,836 ;- ;- ;- ;246 ;23 ;60 ;31 ;468 ;89 ;464 ;- ;206 ;- ;
Husseby ;6 ;72 ;242 ;;1 ;- ;- ;- ;657 ;- ;2,188 ;- ;1,608 ;651 ;260 ;230 ;42 ;475 ;1,323 ;307 ;1,223 ;- ;- ;- ;15,520 ;- ;- ;- ;176 ;19 ;79 ;17 ;406 ;87 ;378 ;- ;136 ;- ;
Norrsunda ;- ;28 ;227 ;;- ;- ;- ;- ;462 ;- ;1,472 ;- ;585 ;1,022 ;204 ;114 ;1 ;165 ;1,577 ;- ;- ;- ;66 ;640 ;8,856 ;- ;- ;- ;132 ;15 ;64 ;11 ;314 ;32 ;236 ;2 ;134 ;- ;
Wassunda ;3 ;10 ;200 ;;- ;- ;- ;- ;360 ;- ;2,240 ;- ;796 ;1,120 ;130 ;128 ;8 ;50 ;1,100 ;70 ;- ;- ;40 ;- ;18,400 ;- ;- ;- ;176 ;28 ;52 ;22 ;350 ;86 ;220 ;- ;130 ;- ;
Haga ;- ;2 ;162 ;;- ;- ;- ;- ;328 ;- ;1,734 ;- ;471 ;681 ;116 ;92 ;- ;- ;1,034 ;150 ;- ;- ;- ;- ;5,550 ;- ;- ;- ;88 ;5 ;40 ;10 ;214 ;44 ;176 ;- ;80 ;- ;
