Table: Table_1

;1. ;38. ;39. ;40. ;41. ;42 ;48. ;44. ;45. ;46 ;47. ;48. ;49. ;50. ;52. ;58. ;54. ;55. ;56 ;57. ;62 ;65. ;66 ;67 ;68 ;69. ;70 ;71. ;72 ;78 ;74 ;75 ;76. ;77 ;78 I ;79 ;80 ;81 ;82 ;83 ;;
;Lagga socken. ;1,050 ;7,350 ;529 ;3,970 ;59 ;350 ;13 ;60 ;1 ;7 ;1,069 ;3.210 ;;3 ;6 ;3 ;19 ;5 ;14,800 ;- ;10 ;- ;40 ;;;1 ;1 ;100 ;205 ;23 ;73 ;;;100 ;;;;;;;
;Ostuna ;698 ;4,890 ;241 ;1,800 ;81 ;480 ;5 ;25 ;39 ;290 ;792 ;2,380 ;350 ;1 ;2 ;2 ;17 ;10 ;14,500 ;- ;5 ;;;- -- ;- ;- ;- ;40 ;154 ;26 ;101 ;18 18 ;566 527 ;96 ;335 218 ;;171 172 ;85 75 ;1,200 900 ;;
;Husby-Länghundre ;1,228 ;8,605 ;387 ;2,905 ;93 ;550 ;16 ;80 ;7 ;50 ;927 ;2,800 ;;;9 ;6 ;11 ;;16,000 ;- ;;- ;;;;;;50 ;201 ;22 ;85 ;18 ;644 ;119 ;342 ;;184 ;90 ;1.200 ;3 ;
;Gottrora ;1,073 ;7,500 ;205 ;1.540 ;83 ;490 ;8 ;30 ;79 ;565 ;859 ;2,580 ;- ;;4 ;5 ;20 ;.11 ;15,500 ;- ;15 ;- ;50 ;- ;- ;- ;- ;20 ;174 ;27 ;68 ;15 ;459 ;88 ;313 ;;112 ;;1,200 ;;
;Närtuna , Karsta ;916 1,023 ;6,410 7,150 ;423 329 ;3,175 2,470 ;96 84 ;600 495 ;15 12 ;70 60 ;5 10 ;40 75 ;1,000 718 ;3,010 2,155 ;- -- ;3 ;8 9 ;4 3 ;12 12 ;5 ;20,000 15,000 ;- ;;- ;;- - ;- ;1 ;1 ;100 90 ;233 183 ;43 28 ;53 35 ;16 15 ;624 481 ;72 38 ;387 977 ;-- ;161 119 ;40 20 ;1,200 1,000 ;5 6 ;
;Laughundra härad ;5,988 ;41,905 ;2,114 ;13,860 ;496 ;2,965 ;69 ;325 ;141 ;1,027 ;5,365 ;16,135 ;350 ;20 ;38 ;23 ;" ;39 ;95,800 ;- ;30 ;- ;90 ;- ;- ;2 ;2 ;400 ;1,150 ;169 ;415 ;100 ;3,301 ;513 ;1,897 ;- ;919 ;310 ;6,700 ;;
;Alsike sockeu. ;399 ;2,800 ;227 ;1,700 ;45 ;280 ;1 ;5 ;16 ;120 ;542 ;1,630 ;1,420 ;;;;40 ;36 ;14,800 ;- ;;- ;- ;- ;- ;;- ;100 ;132 ;12 ;66 ;14 ;350 ;68 ;237 ;1 ;109 ;20 ;800 ;7 ;
;Knifsta ;480 ;3,360 ;142 ;1,065 ;63 ;300 ;9 ;42 ;20 ;150 ;603 ;1,800 ;400 ;;;- ;40 ;38 ;13,000 ;;5 ;--- ;50 ;- ;- ;2 ;- ;50 ;122 ;22 ;96 ;21 ;335 ;72 ;187 ;;124 ;;900 ;;
;Odensala ;853 ;5,960 ;446 ;3,345 ;110 ;650 ;11 ;50 ;32 ;240 ;1,109 ;3,330 ;150 ;0,5 ;1 ;0.5 ;50 ;45 ;25,000 ;- ;;;;;;;;;237 ;41 ;84 ;18 ;649 ;84 ;323 ;;181 ;10 ;1,500 ;9 ;
;Husby-Erlinghundps , ;710 ;5,700 ;394 ;3,000 ;62 ;370 ;7 ;32 ;;;862 ;2,700 ;200 ;1:5 ;3 ;1:5 ;45 ;35 ;17,000 ;- ;6 ;-- - ;19 ;- ;-- ;;- ;- ;163 ;25 ;73 ;14 ;494 ;139 ;218 ;;169 ;;850 ;10 ;
;Norrsunda ;750 ;5,250 ;261 ;1,950 ;66 ;400 ;1 ;20 ;10 ;75 ;702 ;2.200 ;;;;;30 ;26 ;14,000 ;- ;;- ;40 ;- ;- ;1 ;- ;150 ;121 ;17 ;81 ;11 ;413 ;56 ;167 ;;133 ;15 ;800 ;11 ;
;Vassunda " ;704 ;4,950 ;180 ;1,350 ;72 ;425 ;1 ;5 ;26 ;185 ;512 ;1.500 ;800 ;1 ;2 ;1 ;45 ;35 ;19,150 ;- ;;- ;;--- ;;- ;- ;;167 ;21 ;71 ;21 ;410 ;84 ;172 ;;97 ;;1,000 ;12 ;
;Haga ;398 ;2,790 ;45 ;850 ;35 ;210 ;2 ;11 ;5 ;40 ;400 ;1,250 ;;;;;30 ;20 ;11,000 ;;8 ;- ;10 ;- ;-- ;;- ;;73 ;3 ;46 ;9 ;232 ;55 ;85 ;;60 ;30 ;700 ;13 ;
;S:t Olofs ;452 ;3,150 ;82 ;610 ;45 ;280 ;1 ;5 ;7 ;50 ;558 ;1,670 ;200 ;1 ;2 ;1 ;25 ;15 ;9,000 ;;- ;;;;- ;;- ;100 ;87 ;;48 ;11 ;263 ;67 ;121 ;;79 ;;750 ;;
;S:t Pers , ;350 ;2,855 ;56 ;365 ;26 ;160 ;1 ;4 ;4 ;30 ;320 ;1,000 ;;;;;20 ;20 ;4,550 ;--- ;5 ;- ;20 ;- ;--- ;5 ;-- ;;33 ;4 ;32 ;3 ;121 ;44 ;69 ;;31 ;10 ;450 ;15 ;
;Erlinghundra härad ;5,096 ;36,815 ;1,833 ;13,735 ;524 ;3,075 ;37 ;174 ;120 ;890 ;3,008 ;17,080 ;3,170 ;4 ;8 ;4 ;325 ;270 ;127,500 ;- ;24 ;- ;139 ;- ;- ;8 ;- ;400 ;1,135 ;152 ;597 ;122 ;3,267 ;669 ;1,579 ;I ;983 ;85 ;7,750 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16 ;Skepptuna socken ;964 ;6,700 ;575 ;4,315 ;109 ;650 ;22 ;115 ;19 ;150 ;985 ;2,930 ;;;1 ;2 ;60 ;50 ;25,000 ;- ;- ;- ;15 ;- ;- ;;- ;80 ;211 ;28 ;88 ;16 ;557 ;43 ;230 ;;184 ;30 ;1,500 ;16 ;
17 ;Lunda ;799 ;5,600 ;280 ;2.100 ;44 ;260 ;4 ;19 ;9 ;70 ;754 ;2,200 ;30 ;2 ;4 ;3 ;40 ;40 ;17,000 ;- ;;;;;- ;1 ;- ;;146 ;30 ;84 ;15 ;474 ;43 ;218 ;1 ;150 ;45 ;900 ;17 ;
18 ;Vidbo ;682 ;4,960 ;285 ;2,140 ;66 ;390 ;7 ;35 ;;;621 ;1,960 ;;3 ;5 ;;45 ;45 ;14,000 ;;5 ;;40 ;- ;;- ;- ;10 ;111 ;21 ;62 ;10 ;415 ;53 ;203 ;;120 ;15 ;850 ;18 ;
19 ;Skânela ;993 ;6,900 ;378 ;2,835 ;54 ;320 ;5 ;24 ;13 ;90 ;965 ;3,000 ;;;;3 ;45 ;40 ;18,000 ;;;;;- ;- ;;- ;50 ;131 ;15 ;84 ;17 ;507 ;45 ;118 ;- ;131 ;5 ;900 ;19 ;
20 ;Markims ;545 ;3,745 ;256 ;1,950 ;38 ;230 ;5 ;26 ;- ;- ;342 ;1.050 ;100 ;2 ;4 ;;40 ;35 ;13,000 ;- ;5 ;;20 ;;;;- ;;93 ;14 ;52 ;13 ;328 ;16. ;101 ;;100 ;15 ;800 ;20 ;
21 ;Orkesta > ;488 ;3.450 ;226 ;1,700 ;29 ;180 ;3 ;15 ;;;372 ;1,110 ;700 ;;1 ;;40 ;45 ;11,000 ;- ;;;10 ;-- ;;2 ;- ;70 ;88 ;16 ;66 ;12 ;324 ;11 ;114 ;- ;62 ;;700 ;21 ;
22 ;Frösunda ;770 ;4,900 ;433 ;3,250 ;89 ;540 ;14 ;70 ;3 ;25 ;912 ;2,800 ;70 ;2 ;3 ;2 ;50 ;45 ;19,000 ;;10 ;;23 ;;- ;3 ;;;176 ;30 ;58 ;12 ;563 ;26 ;302 ;;178 ;10 ;950 ;22 ;
;Seminghundra härad ;5,241 ;36,255 ;2,433 ;18,290 ;429 ;2,570 ;60 ;304 ;44 ;335 ;4,951 ;15,050 ;900 ;13 ;22 ;15 ;320 ;300 ;117,000 ;- ;20 ;- ;108 ;- ;- ;6 ;----- ;210 ;950 ;154 ;494 ;93 ;3,168 ;237 ;1,286 ;1 ;925 ;120 ;6,600 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23 ;Fresta socken ;551 ;3,860 ;263 ;2,000 ;59 ;360 ;2 ;10 ;- ;-- ;810 ;2,600 ;;;- ;;40 ;40 ;13,000 ;- ;-- ;- ;40 ;--- ;- ;2 ;- ;120 ;77 ;5 ;56 ;12 ;279 ;25 ;109 ;- ;74 ;12 ;650 ;28 ;
84 ;Hammarby ;693 ;4,840 ;241 ;1,840 ;43 ;250 ;1 ;5 ;;;960 ;3,000 ;200 ;;;;45 ;40 ;16,000 ;;10 ;- ;10 ;- ;-- ;- ;- - ;50 ;91 ;9 ;68 ;10 ;357 ;37 ;85 ;;103 ;28 ;850 ;84 ;
35| ;Vallentuna ;1,633 ;11,450 ;462 ;3,450 ;103 ;620 ;10 ;50 ;17 ;145 ;1.382 ;4,200 ;80 ;1 ;2 ;1 ;80 ;95 ;31,000 ;- ;;;10 ;-- ;- - ;8 ;- ;50 ;235 ;24 ;104 ;24 ;719 ;92 ;266 ;- ;220 ;30 ;1,800 ;85 ;
126 ;Vada ;351 ;1,855 ;173 ;1,300 ;28 ;175 ;;;;;318 ;960 ;;;;;30 ;25 ;8,900 ;- ;;;;- ;- ;;- ;50 ;56 ;8 ;29 ;8 ;211 ;17 ;56 ;;53 ;;700 ;186 ;
;Angarns ;518 ;3,640 ;76 ;495 ;39 ;240 ;2 ;10 ;5 ;35 ;306 ;950 ;100 ;;;;25 ;20 ;9,700 ;;15 ;;I 50 ;;- ;;;150 ;53 ;8 ;48 ;13 ;176 ;49 ;69 ;;40 ;20 ;700 ;87 ;
38 ;Osseby-Garns ;1,780 ;12,455 ;593 ;4,445 ;114 ;670 ;12 ;59 ;15 ;117 ;1,394 ;4.195 ;400 ;3 ;9 ;2 ;61 ;49 ;30,250 ;;17 ;;63 ;- ;- ;2 ;- ;100 ;265 ;21 ;113 ;23 ;795 ;168 ;283 ;--- ;156 ;64 ;2,100 ;28 ;
;Vallentuna härad ;5,526 ;38,100 ;1,808 ;13,530 ;386 ;2,315 ;27 ;134 ;37 ;297 ;5,170 ;15,905 ;780 ;4 ;11 ;3 ;281 ;269 ;108,850 ;- ;47 ;- ;173 ;- ;======= ;10 ;-- ;520 ;777 ;75 ;418 ;90 ;2,537 ;388 ;808 ;-- ;646 ;154 ;6,800 ;;
39 ;Böratils socken ;1,670 ;11,690 ;26 ;180 ;11 ;65 ;16 ;80 ;18 ;135 ;2.147 ;7,000 ;;22 ;40 ;20 ;22 ;12 ;21,000 ;- ;11 ;- ;| 15 ;-- ;-- ;;- ;102 ;851 ;168 ;18 ;95 ;1,853 ;589 ;2.236 ;-- ;542 ;15 ;1,800 ;29 ;
so ;Edebo ;1,389 ;9,830 ;265 ;1,860 ;190 ;910 ;17 ;80 ;48 ;350 ;918 235 ;2.710 700 ;3,100 ;11 ;17 ;13 ;53 ;53 3 ;27,000 ;- ;6 5 ;| ;30 10 ;;;1 2 ;- - ;43 ;365 100 ;61 11 ;87 23 ;24 16 ;968 441 ;332 199 ;798 88 ;- - ;282 112 ;29 3 ;1,500 600 ;lao ;
;Forsmarks " ;172 313 ;1,180 2,185 ;8 17 ;63 120 ;5 58 ;30 350 ;1 7 ;4 35 ;3 ;22 ;328 ;1.000 ;;4 ;9 ;;5 4 ;2 ;3,150 4,400 ;- ;4 ;;5 ;- ;;;- ;55 ;156 ;23 ;8 ;24 ;457 ;144 ;654 ;- ;138 ;2 ;900 ;31 32 ;
;Gräsö ;;;;;;;;;;;;;;;;4 ;;;;- ;;;;;- ;;;;;;;;;;;;;;;;
;Hargs ;594 ;4,110 ;5 ;35 ;75 ;450 ;11 ;56 ;6 ;45 ;1.027 ;3,100 ;9,000 ;9 ;11 ;;21 ;14 ;10,000 ;;7 ;;10 ;- ;- ;;1 ;;435 ;124 ;41 ;40 ;800 ;423 ;1,109 ;--- ;270 ;5 ;1.100 ;38 ;
;Hökhufvuds " ;823 ;5,745 ;116 ;815 ;122 ;750 ;9 ;44 ;5 ;38 ;927 ;2,800 ;900 ;;13 ;;19 ;12 ;7,000 ;- ;G ;50 ;20 ;- ;--- ;2 ;1 ;50 ;374 ;103 ;58 ;37 ;667 ;266 ;635 ;;166 ;12 ;1,200 ;;
85 ;Valö ;864 ;6,020 ;45 ;315 ;72 ;430 ;12 ;60 ;;;917 ;2,750 ;;12 ;18 ;11 ;8 ;4 ;7,250 ;- ;5 ;160 ;10 ;======= ;- ;1 ;1 ;40 ;442 ;111 ;7 ;69 ;919 ;376 ;1,198 ;;268 ;7 ;1,500 ;85 ;
