Table: Table_1

;;40 ;11. ;42 ;43 ;44 ;45 ;46. ;47. ;48 ;49 Il ;50. ;52. ;53. ;54 I ;55. ;56 ;67. ;62. ;65 ;66. ;67. ;70. ;71. ;72. ;78. ;74. ;75. ;76. ;77. ;78. ;79. ;80. ;81. ;82. ;88. ;1 ;
;Skederid Rimbo Rö Fasterna ;197 806 147 563 ;1,575 6,450 1,174 4,507 ;88 108 67 198 ;660 810 503 1.485 ;8 15 6 20 ;36 68 26 90 ;86 109 49 160 ;690 875 389 1,278 ;1.150 1,387 784 1,715 ;8.056 9,700 5,487 12,005 ;1,200 1,190 ;2 4 2 5 ;5 11 5 13 ;3 6 3 7 ;37 50 30 49 ;40 50 35 60 ;9.755 14.375 7.729 14,216 ;- - - - ;2 2 5 5 ;- - - - ;2 5 2 5 ;- 25 30 30 ;4 2 4 ;30 100 60 70 ;171 235 145 309 ;28 40 19 52 ;42 81 20 26 ;12 24 13 26 ;545 774 451 931 ;159 234 140 318 ;345 453 245 451 ;- - - - ;196 500 91 170 ;35 40 28 88 ;815 1,280 610 1,430 ;8 ;
;Sjuhundra härad ;1,713 ;13,706 ;461 ;3,458 ;49 ;220 ;404 ;3,232 ;5,036 ;35,248 ;2,390 ;13 ;34 ;19 ;166 ;185 ;46,075 ;- ;14 ;- ;14 ;85 ;10 ;260 ;860 ;139 ;169 ;75 ;2,701 ;851 ;1,494 ;- ;957 ;191 ;4,185 ;;
;Roslags-Br ;307 ;2.456 ;257 ;1,953 ;19 ;87 ;53 ;387 ;2,307 ;15,225 ;810 ;17 ;42 ;20 ;68 ;70 ;21,038 ;- ;5 ;30 ;3 ;2 ;- ;100 ;497 ;74 ;42 ;55 ;1,511 ;405 ;933 ;- ;285 ;79 ;1,795 ;5 ;
;Vätö ;179 ;1,432 ;163 ;1,238 ;16 ;74 ;37 ;270 ;1,581 ;10,436 ;- ;7 ;18 ;9 ;33 ;30 ;11,400 ;- ;;- ;- ;1 ;- ;100 ;317 ;48 ;6 ;48 ;1,034 ;274 ;793 ;- ;175 ;28 ;1,465 ;;
;Bro och Vätö skeppslug ;486 ;3,888 ;420 ;8,191 - ;35 ;161 ;90 ;657 ;3,888 ;25,661 ;810 ;24 ;60 ;29 ;101 ;100 ;32,438 ;- ;6 ;30 ;3 ;3 ;- ;200 ;814 ;122 ;48 ;103 ;2,545 ;679 ;1,726 ;- ;400 ;107 ;8,280 ;;
;Frötuna ;124 ;940 ;158 ;1.195 ;12 ;49 ;48 ;385 ;1,541 ;9.249 ;---- ;4 ;10 ;7 ;36 ;35 ;11,320 ;- ;2 ;- ;2 ;1 ;- ;70 ;322 ;43 ;60 ;37 ;1,082 ;335 ;662 ;- ;173 ;43 ;1,220 ;7 ;
;Radmansö ;163 ;1,239 ;151 ;1,179 ;15 ;59 ;45 ;359 ;1,823 ;10,940 ;- ;4 ;11 ;6 ;20 ;20 ;6,524 ;- ;;- ;1 ;7 ;1 ;50 ;256 ;36 ;16 ;41 ;909 ;266 ;856 ;- ;152 ;28 ;1,165 ;;
;Länna ;287 ;2,180 ;190 ;1,484 ;13 ;51 ;77 ;616 ;2,137 ;12,825 ;425 ;8 ;21 ;14 ;41 ;45 ;14,845 ;- ;2 ;- ;4 ;2 ;;100 ;399 ;88 ;32 ;55 ;1,351 ;425 ;1,028 ;- ;210 ;100 ;1,580 ;9 ;
10 ;Blido ;35 ;268 ;72 ;562 ;13 ;52 ;14 ;113 ;1.084 ;6,500 ;- ;- ;- ;- ;6 ;5 ;1,723 ;- ;- ;- ;;- ;- ;100 ;126 ;17 ;- ;22 ;538 ;141 ;551 ;;93 ;4 ;520 ;10 ;
