Table: Table_1

;2. ;3. ;4. ;5. ;6. ;7. ;II 8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25 ;26. ;27 ;28. ;29. ;80. ;81. ;32. ;33. ;34 ;35 ;36, ;37 I ;38. ;39. ;1. ;
Botkyrka ;48.040 ;28 ;- ;5 ;1 ;5 ;4 ;1 ;8 ;4 ;62 ;8,205 ;41 ;2,197 ;205 ;4,917 ;318 ;542 ;65 ;48 ;4 ;-- ;26 ;889 ;;305 ;262 ;2,437 ;509 ;4,676 ;- ;- ;;;- 30 ;158 ;1,460 ;13,401 ;1 ;
Brännkyrka ;28-417 ;134 ;57 ;26 ;4 ;4 ;12 ;14 ;13 ;4 ;33 ;7,597 ;144 ;2,172 ;87 ;4,516 ;252 ;563 ;54 ;74 ;1 ;- ;66 ;899 ;17 ;246 ;130 ;1,596 ;453 ;5,247 ;- ;;5 ;38 ;73 ;521 ;1,817 ;13,625 ;;
3 Grödinge ;56-375 ;78 ;;31 ;10 ;1 ;2 ;12 ;16 ;6 ;77 ;11,069 ;32 ;2.915 ;297 ;7,023 ;420 ;784 ;79 ;78 ;6 ;- ;26 ;1,092 ;- ;430 ;252 ;2,278 ;855 ;7,791 ;22 ;67 ;;;39 ;278 ;2,746 ;19,484 ;;
Huddinge ;40 667 ;28 ;;4 ;9 ;8 ;1 ;2 ;2 ;2 ;94 ;13,329 ;38 ;2,690 ;99 ;9,225 ;866 ;725 ;76 ;52 ;- ;;47 ;1,062 ;- ;362 ;271 ;2,715 ;617 ;5,542 ;;;;- ;34 ;198 ;2,580 ;15,618 ;;
Nacka ;13:790 ;47 ;20 ;12 ;1 ;;2 ;4 ;6 ;2 ;21 ;6,030 ;72 ;757 ;255 ;3,856 ;75 ;199 ;27 ;24 ;-- ;- ;23 ;315 ;5 ;89 ;38 ;890 ;146 ;1,303 ;16 ;83 ;;;20 ;165 ;674 ;4,442 ;;
Salem ;33:875 ;49 ;31 ;5 ;3 ;1 ;- ;1 ;4 ;4 ;31 ;6,192 ;29 ;1,407 ;139 ;4,294 ;193 ;359 ;61 ;35 ;2 ;- ;22 ;521 ;- ;214 ;195 ;1,920 ;276 ;2,340 ;;- ;3 ;18 ;16 ;111 ;1,050 ;6,947 ;;
Svartlösa härnd ;215-664 ;364 ;108 ;83 ;28 ;19 ;21 ;34 ;49 ;22 ;818 ;52,352 ;856 ;12,138 ;1,082 ;33,831 ;1,624 ;8,172 ;362 ;311 ;13 ;- ;210 ;4,778 ;22 ;1,646 ;1,148 ;11,836 ;2,856 ;26,899 ;38 ;150 ;8 ;51 ;212 ;1,481 ;10,277 ;78,517 ;;
Östertelge ;14:625 ;18 ;- ;10 ;8 ;2 ;- ;1 ;1 ;1 ;23 ;2,405 ;8 ;704 ;18 ;1,513 ;99 ;186 ;13 ;20 ;- ;- ;14 ;269 ;--- ;103 ;53 ;513 ;186 ;1,757 ;;;- ;- ;18 ;75 ;645 ;4,270 ;;
Vestertelge ;10:625 ;9 ;- ;1 ;4 ;2 ;- ;;2 ;;25 ;2,155 ;13 ;660 ;9 ;1,204 ;91 ;204 ;20 ;19 ;- ;- ;10 ;235 ;--- ;81 ;33 ;234 ;161 ;1,519 ;6 ;35 ;- ;- ;33 ;242 ;591 ;4,069 ;;
