Table: Table_1

;I 40 ;41. ;;42. ;43. ;44. ;45. ;;46. ;47. ;48. ;49. ;50. ;52. ;53. ;54. ;55. ;56. ;57. ;1 62. ;65. ;66. ;67 ;70. ;71. ;it 72. ;73. ;74. ;76. ;76. ;77. ;78. ;79. ;80. ;81. ;82 ;83. ;11. ;
Botkyrka ;548 ;4,510 ;;140 ;876 ;1 ;3 ;;73 ;551 ;1,213 ;7,781 ;1,071 ;- ;- ;- ;92 ;52 ;21,018 ;- ;- ;-- ;12 ;6 ;5 ;545 ;199 ;21 ;176 ;27 ;1.060 ;274 ;121 ;;253 ;59 ;1.700 ;1 ;
Brünnkyrka ;113 ;841 ;;114 ;847 ;5 ;28 ;;42 ;310 ;1,805 ;10.417 ;603 ;- ;---- ;- ;82 ;40 ;20,504 ;377 ;- ;-- ;9 ;;;270 ;371 ;12 ;154 ;21 ;1,328 ;30 ;55 ;1 ;490 ;20 ;2,005 ;2 ;
Grödinge ;197 ;1,507 ;;141 ;983 ;6 ;23 ;;118 ;959 ;1,912 ;12,006 ;2,159 ;- ;- ;- ;120 ;107 ;24,234 ;;5 ;- ;16 ;15 ;15 ;135 ;196 ;37 ;301 ;39 ;1,247 ;257 ;316 ;7 ;376 ;94 ;2,185 ;3 ;
Huddinge ;171 ;1,250 ;;137 ;891 ;3 ;13 ;;116 ;866 ;1.243 ;7,472 ;- ;- ;- ;- ;100 ;58 ;20,303 ;- ;-- ;- ;2 ;1 ;1 ;40 ;287 ;3 ;175 ;25 ;1,162 ;86 ;71 ;2 ;289 ;46 ;1,530 ;4 ;
Nacka ;6 ;50 ;;70 ;478 ;2 ;7 ;;13 ;112 ;590 ;3,682 ;;- ;- ;- ;27 ;9 ;6.103 ;94 ;- ;- ;;1 ;1 ;115 ;157 ;6 ;42 ;13 ;389 ;31 ;- ;4 ;599 ;16 ;760 ;5 ;
Salem ;236 ;1,474 ;;89 ;563 ;2 ;10 ;;123 ;1,070 ;971 ;5,048 ;775 ;- ;- ;- ;62 ;37 ;9,881 ;- ;- ;- ;- ;7 ;6 ;50 ;95 ;11 ;137 ;20 ;663 ;130 ;111 ;;161 ;22 ;915 ;6 ;
Svartlösa härad ;1,271 ;9,632 ;;691 ;4,688 ;19 ;84 ;;485 ;3,868 ;7,734 ;46,406 ;4,608 ;- ;- ;- ;483 ;803 ;102,043 ;471 ;b ;- ;39 ;30 ;28 ;1,155 ;1,305 ;90 ;985 ;145 ;5,849 ;808 ;674 ;14 ;2,168 ;257 ;9,095 ;;
Östertelge ;18 ;104 ;;34 ;198 ;1 ;4 ;;8 ;53 ;514 ;2,329 ;- ;- ;- ;- ;27 ;17 ;5,875 ;- ;--- ;- ;;3 ;1 ;20 ;50 ;5 ;74 ;8 ;273 ;86 ;9 ;;87 ;10 ;560 ;7 ;
Vestertelge ;120 ;1,034 ;;54 ;446 ;1 ;4 ;;12 ;93 ;457 ;2,364 ;- ;- ;- ;;28 ;16 ;5,426 ;-- ;- ;;2 ;;;20 ;87 ;4 ;32 ;10 ;314 ;81 ;11 ;4 ;80 ;22 ;580 ;8 ;
