Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11 ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;
Âse härad a) ;169,09 ;595 ;270 ;36,944 ;232 ;21,761 ;1,183 ;9,081 ;20 ;320 ;113 ;9 ;88 ;171 ;49 ;4 ;2,532 ;7,812 ;572 ;513 ;146 ;64 ;4,331 ;3,383 ;31 ;2.817 ;3,368 ;95 ;9,683 ;- ;2,844 ;48,189 ;4,722 ;
Wiste härad b) ;156,25 ;800 ;452 ;28,118 ;282 ;18,896 ;986 ;5,656 ;30 ;526 ;175 ;10 ;45 ;108 ;7 ;4 ;1,788 ;7,043 ;457 ;396 ;60 ;881 ;1,767 ;4,456 ;- ;2,103 ;2,441 ;185 ;8,850 ;- ;2,385 ;68,964 ;3,808 ;
Kâllands härad c) ;331,87 ;1,161 ;1,029 ;68,951,59 ;417,62 ;37,794 ;2,276,50 ;25,055,9 ;103 ;687 ;115 ;23 ;170 ;105 ;45 ;7 ;3,970 ;11,467 ;1,797 ;697 ;156 ;48 ;2,080 ;6,413 ;6 ;4,3811 ;9.286 ;- ;21,702 ;28 ;9,600 ;105,569 ;5,536 ;
Barne härad d) ;167,01 ;1,128 ;465 ;44,492,87 ;416,18 ;25,292,50 ;3,944 ;6,582 ;111 ;803 ;134 ;11 ;42 ;305 ;57 ;10 ;2,282 ;9,838 ;1,004 ;659 ;27 ;109 ;2,553 ;4,197 ;- ;3,314 ;1,604 ;62 ;10,801 ;63 ;3,470 ;79,815 ;5,599 ;
Kinnefjerdings härad e) ;138,37 ;441 ;425 ;30,470 ;217 ;17,725 ;1,428 ;10,215 ;52 ;171 ;120 ;12 ;74 ;62 ;23 ;1 ;2,309 ;5,245 ;643 ;551 ;239 ;91 ;3,903 ;4,871 ;8 ;2,293 ;2,327 ;31 ;11.207 ;- ;2,441 ;52,532 ;3,611 ;
Kinne härad f) ;209,25 ;738 ;687 ;36,099 ;212,50 ;20,556,50 ;1,905 ;24,272 ;74 ;206 ;212 ;20 ;58 ;283 ;29 ;2 ;3.017 ;6,004 ;528 ;809 ;280 ;661 ;1,344 ;5,313 ;12 ;2,7661 ;3,276 ;73 ;13,270 ;63 ;3,085 ;43,072 ;3.105 ;
Skänings härad g) ;325,84 ;1,289 ;813 ;63,809 ;745 ;43,868 ;3,839 ;12,554 ;1732 ;654 ;447 ;325 ;128 ;329 ;214 ;166 ;5,094 ;15,285 ;1,815 ;908 ;2231 ;631 ;6.164 ;8,807 ;20 ;5,467 ;4,809 ;6 ;17,081 ;- ;2,680 ;101,293 ;6.167 ;
Laske härad A) ;156,84 ;677 ;312 ;25,886,61 ;73,61 ;14,455,45 ;1,742,72 ;3,599,87 ;79 ;426 ;166 ;4 ;4 ;16 ;6 ;- ;896 ;5,655 ;85 ;525 ;36 ;11 ;982 ;1.940 ;62 ;965 ;685 ;- ;4,702 ;32 ;1,190 ;60,337 ;1,891 ;
Wilske härad i) ;199,81 ;608 ;250 ;22,540 ;31 ;4,110 ;6,330 ;2,441 ;46 ;276 ;16 ;1 ;32 ;103 ;4 ;1 ;824 ;2.917 ;38 ;609 ;2 ;5 ;10 ;146 ;- ;394 ;38 ;25 ;5,365 ;- ;4,133 ;30,996 ;888 ;
Gudhems härad k) ;363 ;1,025 ;508 ;54,183,28 ;396,18 ;21,186,99 ;12,347,87 ;16,587,00 ;87 ;532 ;115 ;12 ;60 ;280 ;49 ;7 ;3,085 ;6.566 ;2951 ;1,0871 ;200 ;1403 ;2,4091 ;3,444) ;15 ;3,068 ;276 ;19 ;17,367 ;125 ;6,435 ;54,860 ;4,484 ;
Walle härad 1) ;170,16 ;367 ;451 ;25,370 ;243 ;7,390 ;5,243 ;12,494 ;116 ;187 ;40 ;11 ;106 ;207 ;31 ;4 ;1,425 ;2,072 ;278 ;755 ;91 ;10 ;955 ;2,560 ;336 ;1,395 ;462 ;- ;9,121 ;- ;3,746 ;18,365 ;1,989 ;
K&kinds härad m) ;260,70 ;986 ;745 ;52,808 ;302.25 ;17,787 ;6.916 ;24,619 ;80 ;335 ;58 ;13 ;20 ;125 ;35 ;3 ;3,748 ;5,516 ;215 ;2,514) ;91 ;591 ;336 ;3,021 ;- ;3,931, ;2,215 ;- ;24,360 ;225 ;704 ;57,227 ;138 ;
Wartofta härad n) ;816,91 ;2,589 ;1,849 ;163,891 ;403,86 ;57,789,56 ;37,397,82 ;53,840 ;373 ;1,504 ;176 ;19 ;378 ;487 ;77 ;9 ;7,508 ;18,329 ;539 ;3,426 ;246 ;202 ;4,777 ;7,042 ;24 ;6,542 ;695 ;98 ;46,761 ;709 ;8,865 ;186,291 ;6,915 ;
Frökinds härad o) ;61,18 ;159 ;70 ;541,91 ;24,87 ;1,512 ;2,304 ;138,44 ;25 ;96 ;2 ;- ;22 ;31 ;1 ;- ;127 ;906 ;4 ;91 ;7 ;6 ;- ;24 ;8 ;234 ;- ;- ;999 ;- ;1,068 ;10,418 ;23 ;
Wadabo härad p) ;1,003,19 ;3,896 ;2,718 ;188,208 ;855 ;84,178 ;21,106 ;90,297 ;1.168 ;1,895 ;383 ;34 ;386 ;985 ;174 ;55 ;14,476 ;25,652 ;1,907 ;2,914 ;273 ;408 ;5,599 ;23,323 ;152 ;13.492 ;15,038, ;94,8 ;64,666 ;170 ;3,050 ;205,835 ;2,565 ;
Städerna q) ;15,25 ;38 ;4 ;5,749 ;13 ;3,228 ;50 ;1,406 ;65 ;74 ;12 ;2 ;13 ;13 ;1 ;- ;225 ;700 ;53 ;260 ;107 ;- ;329 ;527 ;- ;225 ;- ;19 ;1,705 ;50 ;630 ;7,047 ;- ;
Summa för hela länet ;4,543,17 ;16,497 ;11,048 ;848,062,2 ;4.864,4 ;396,529, ;108,998, ;298,838.8 ;2,602 ;8,692 ;2,284 ;506 ;1.626 ;3.610 ;802 ;273 ;53.306 ;130,507 ;10.2304 ;16.715 ;2.184, ;1,372,A ;37,539 ;79,467¹ ;674 ;53,389, ;46,520.s ;707,s ;267,640 ;1.465 ;56.326 ;1,130,810 ;50,941 ;





