Table: Table_1

1. ;36. ;37: ;38. ;39 ;40. ;41. ;44 ;45 ;46. ;47 ;48 ;49. ;50 ;51. ;52. ;53. ;54 ;55. ;56. ;57. ;58. ;59. ;60. ;61. ;62. ;66. ;67 ;68. ;69 ;70 ;71 ;72 ;73. ;74. ;75. ;
Odensiker ;12 ;50 ;- ;1,260 ;- ;-- ;756 ;- ;5,040 ;- ;378 ;1,341 ;- ;315 ;63 ;201 ;- ;7,560 ;- ;- ;- ;- ;- ;- ;- ;50 ;3 ;124 ;3 ;208 ;90 ;276 ;- ;40 ;- ;
Ransberg ;- ;;- ;6,875 ;- ;- ;340 ;- ;13,175 ;504 ;- ;35,280 ;- ;378 ;- ;- ;- ;47,250 ;- ;- ;- ;;- ;- ;- ;93 ;9 ;265 ;8 ;470 ;350 ;1,200 ;- ;200 ;- ;
Svenneby ;- ;;- ;756 ;- ;- ;3,171 ;- ;4,851 ;- ;- ;20,160 ;- ;235 ;- ;- ;- ;5,292 ;- ;- ;- ;- ;- ;11,170 ;- ;25 ;5 ;100 ;5 ;150 ;130 ;100 ;- ;50 ;- ;
Säter ;-- ;;- ;2,640 ;15 ;- ;322 ;- ;12,936 ;- ;1,323 ;13,725 ;- ;1,137 ;- ;- ;- ;21,120 ;;- ;60 ;- ;- ;- ;- ;52 ;8 ;142 ;7 ;268 ;200 ;250 ;- ;70 ;- ;
Torsö ;- ;X 80 ;- ;7,000 ;- ;- ;2,130 ;- - ;11,200 ;- ;5,700 ;13,000 ;- ;1,050 ;- ;600 ;- ;27,500 ;14,500 ;- ;- ;- ;4,800 ;16,000 ;- ;37 ;4 ;256 ;8 ;372 ;140 ;520 ;- ;300 ;- ;
Tidavad ;X 39 ;78 ;- ;X 390 ;- ;- ;785 ;- ;1,730 ;- ;- ;6,615 ;- ;600 ;195 ;X 390 ;- ;1,950 ;- ;- ;- ;- ;- ;- ;- ;37 ;9 ;98 ;5 ;196 ;49 ;196 ;- ;13 ;- ;
Tived ;- ;;- ;5,040 ;78 ;- ;25 ;19 ;2,992 ;100 ;945 ;6,930 ;- ;151 ;- ;- ;- ;28,359 ;1,260 ;- ;-- ;50 ;- ;- ;- ;76 ;4 ;105 ;9 ;392 ;187 ;775 ;- ;107 ;- ;
Trästena ;- ;12. ;- ;945 ;6 ;- ;2,268 ;- ;3,807 ;- ;- ;26,460 ;- ;304 ;- ;X 63 ;- ;6,615 ;Interest ;- ;49 ;- ;X 40 ;-- ;- ;58 ;4 ;256 ;8 ;372 ;140 ;520 ;- ;300 ;- ;
Timmersdala ;- ;31 ;- ;504 ;31 ;- ;567 ;- ;2,016 ;- ;113 ;3,780 ;X 598 ;252 ;- ;163 ;- ;4,032 ;- ;- ;126 ;- ;- ;- ;- ;20 ;4 ;36 ;2 ;108 ;36 ;144 ;- ;18 ;- ;
Ullervad ;- ;19 ;- ;2,205 ;14 ;- ;2,983 ;- ;9,922 ;- ;75 ;26,865 ;- ;1,134 ;- ;132 ;- ;24,255 ;- ;- ;- ;8 ;- ;29,600 ;- ;X 63 ;6 ;198 ;7 ;350 ;190 ;320 ;- ;80 ;- ;
Utby ;3 ;16 ;- ;711 ;15 ;- ;1,548 ;- ;5,304 ;- ;- ;17,106 ;- ;988 ;- ;75 ;- ;3,571 ;- ;- ;- ;X 58,00 ;X 964 ;5,583 ;- ;X 28 ;1 ;108 ;4 ;225 ;78 ;135 ;- ;34 ;- ;
Undenäs ;X 600 ;;- ;1,800 ;800 ;- ;1,500 ;- ;20,000 ;750 ;- ;47,950 ;- ;900 ;- ;- ;- ;10,800 ;- ;- ;- ;X 800 ;- ;- ;- ;155 ;15 ;650 ;20 ;1,410 ;550 ;2,200 ;25 ;500 ;- ;
Wäring ;12 ;94 ;- ;1,260 ;- ;- ;2,835 ;- ;3,780 ;- ;- ;7,560 ;- ;1,008 ;50 ;472 ;;8,820 ;- ;- ;- ;- ;-- ;170 ;- ;X 72 ;7 ;192 ;4 ;288 ;100 ;300 ;- ;100 ;- ;
Wad ;- ;;- ;756 ;- ;- ;3,528 ;- ;7,056 ;- ;- ;18,673 ;- ;604 ;- ;- ;- ;4.536 ;- ;- ;- ;- ;- ;10.600 ;- ;X 40 ;5 ;115 ;5 ;165 ;125 ;180 ;- ;80 ;- ;
Summa ;828 ;1,421 ;- ;115,115 ;3289 ;- ;98,061 ;3.139 ;408,728 ;4225 ;23,727 ;1,193 933 ;8,690 ;39,236 ;1,294 ;8.014 ;- ;770,591 ;74.602 ;- ;4357 ;1.519.80 ;20 690 ;410.140 ;- ;2,461 ;293 ;8306 ;282 ;16.520 ;7.300 ;19,399 ;32 ;5.469 ;- ;
Summa landsbygden ;1,606 ;24,435 ;5 ;598,865 ;7,714 ;20 ;268,515 ;6,508 ;1,541,706 ;12,043 ;284,041 ;5,315,983 ;232,294 ;171,078 ;5,767 ;116.574 ;X 28 ;3,653,802 ;612,129 ;7,945 ;13,240 ;4,795.0 ;66,950 ;1,167,512 ;1,240 ;19,182 ;3270 ;25 689 ;1,453 ;67,590 ;31,365 ;62.219 ;61 ;24553 ;938 ;
Staderna. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mariestad ;- ;20 ;- ;450 ;- ;- ;1,200 ;- ;2,600 ;- ;- ;8,000 ;- ;90 ;- ;- ;- ;3,000 ;150 ;- ;- ;- ;240 ;9,000 ;- ;36 ;2 ;X 38 ;3 ;110 ;4 ;X 36 ;- ;44 ;- ;
Lidköping ;- ;;- ;900 ;- ;- ;- ;- ;7,200 ;- ;- ;8,640 ;- ;- ;- ;- ;- ;9,000 ;- ;- ;- ;- ;- ;- ;- ;80 ;- ;;3 ;260 ;10 ;;- ;25 ;- ;
Skara ;6 ;140 ;- ;3,150 ;- ;- ;2,287 ;- ;6,974 ;- ;2,047 ;11,793 ;2,370 ;682 ;54 ;841 ;- ;31,500 ;4,200 ;- ;- ;18 ;1,200 ;14,800 ;- ;70 ;10 ;X 50 ;5 ;206 ;24 ;54 ;- ;94 ;- ;
Sköfde ;- ;;- ;2,331 ;- ;- ;378 ;24 ;3,000 ;- ;- ;5,040 ;- ;X 882 ;- ;- ;- ;16,817 ;- ;- ;- ;- ;- ;- ;- ;33 ;7 ;X 50 ;4 ;250 ;35 ;100 ;- ;70 ;- ;
Falköping ;- ;- ;- ;- ;- ;- ;- ;- ;;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;70 ;- ;40 ;2 ;150 ;25 ;100 ;- ;100 ;- ;
