Table: Table_1

1. ;2. ;3. ;4. ;5. ;G. ;7. ;8. ;9. ;10. ;11. ;12 ! ;13 ;14. ;15. ;16. ;17. ;18 ;19 ;20. ;21. ;22 ;23 ;24. ;25 ;26. ;27 ;28 ;29 ;30 I ;31 ;32 ;33. ;34 ;35 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flo ;33,78 ;62 ;75 ;7,000 ;50 ;4,500 ;488 ;1,962 ;- ;15 ;20 ;1 ;- ;13 ;8 ;- ;560 ;1,600 ;50 ;100 ;50 ;10 ;500 ;1,000 ;16 ;560 ;700 ;50 ;1,900 ;- ;450 ;11,800 ;800 ;350 ;
Friel ;11.06 ;59 ;33 ;3,512 ;6 ;2,432 ;30 ;806 ;2 ;56 ;;1 ;- ;- ;2 ;- ;304 ;872 ;- ;40 ;- ;- ;400 ;512 ;- ;304 ;;- ;1,520 ;- ;180 ;6,793 ;320 ;125 ;
Hâle ;12,50 ;97 ;5 ;2,193 ;24 ;1,553 ;34 ;45 ;1 ;54 ;17 ;- ;- ;3 ;- ;- ;132 ;588 ;95 ;24 ;- ;3 ;317 ;260 ;- ;132 ;150 ;- ;612 ;- ;300 ;5,844 ;600 ;275 ;
Karaby ;9 ;;4 ;1,950 ;3 ;1,930 ;16 ;- ;2 ;41 ;7 ;- ;- ;5 ;1 ;- ;100 ;1,000 ;50 ;14 ;- ;3 ;400 ;297 ;- ;100 ;60 ;- ;540 ;- ;120 ;2,160 ;- ;244 ;
Nas ;24,13 ;74 ;62 ;9,470 ;22 ;2,000 ;200 ;5,000 ;5 ;34 ;X 5 ;1 ;X 47 ;42 ;1 ;- ;260 ;475 ;40 ;60 ;15 ;10 ;285 ;570 ;- ;285 ;225 ;- ;1,075 ;- ;155 ;3,600 ;- ;240 ;
Sal ;10,13 ;36 ;2 ;1,733 ;30 ;1,703 ;- ;;;;- ;- ;- ;- ;- ;- ;130 ;600 ;60 ;40 ;- ;10 ;260 ;300 ;- ;303 ;90 ;- ;690 ;- ;180 ;3,000 ;240 ;240 ;
Sarestad ;18,50 ;102 ;19 ;3,295 ;21 ;2,197 ;12 ;20 ;6 ;71 ;X 25 ;- ;3 ;12 ;2 ;X 1 ;215 ;380 ;67 ;85 ;X 8 ;9 ;608 ;613 ;- ;215 ;220 ;--- ;863 ;- ;107 ;3,465 ;138 ;321 ;
Tun ;22,38 ;36 ;54 ;4,415 ;30 ;2,980 ;330 ;1,075 ;- ;9 ;- ;2 ;11 ;40 ;9 ;- ;460 ;780 ;75 ;70 ;50 ;15 ;500 ;570 ;- ;460 ;756 ;- ;1,575 ;- ;567 ;3,465 ;945 ;189 ;
Täng ;9,75 ;52 ;16 ;2,112 ;6 ;1,786 ;26 ;202 ;- ;- ;- ;- ;- ;- ;==== ;- ;217 ;834 ;- ;34 ;- ;- ;434 ;- ;- ;217 ;1,842 ;- ;- ;- ;50 ;3,700 ;1,200 ;324 ;
As ;17.88 ;55 ;;2,500 ;15 ;2.460 ;25 ;- ;4 ;24 ;24 ;3 ;3 ;25 ;23 ;4 ;200 ;635 ;35 ;25 ;- ;4 ;700 ;680 ;16 ;200 ;180 ;-- ;820 ;- ;150 ;7,700 ;200 ;160 ;
Summa, Ase härad ;169,11 ;573 ;272 ;38,180 ;207 ;23,491 ;1,161 ;9,110 ;20 ;304 ;X 98 ;8 ;X 64 ;140 ;46 ;X 5 ;2,578 ;7,764 ;472 ;492 ;123 ;64 ;4,404 ;4,802 ;32 ;2.776 ;4,223 ;X 50 ;9,595 ;- ;2,259 ;50,527 ;4,443 ;2,468 ;
Bjärby ;8,25 ;39 ;6 ;2,118 ;16 ;1,480 ;90 ;336 ;2 ;26 ;11 ;- ;- ;- ;- ;- ;122 ;486 ;26 ;20 ;- ;2 ;155 ;230 ;- ;154 ;96 ;- ;490 ;- ;98 ;3,950 ;168 ;160 ;
Bäreberg ;12,95 ;87 ;54 ;2,600 ;15 ;1,000 ;120 ;800 ;2 ;X 80 ;4 ;- ;- ;- ;1 ;- ;100 ;400 ;40 ;50 ;;10 ;100 ;200 ;- ;100 ;20 ;- ;380 ;- ;- ;8,200 ;;160 ;
Flakeberg ;15,25 ;83 ;26 ;2,958 ;26 ;2,223 ;74 ;188 ;2 ;59 ;20 ;;- ;- ;1 ;1 ;237 ;934 ;58 ;39 ;;10 ;244 ;463 ;- ;237 ;300 ;- ;1,043 ;- ;315 ;7,909 ;599 ;278 ;
Hyringa ;16,44 ;52 ;56 ;3,869 ;10 ;2,536 ;10 ;813 ;2 ;26 ;21 ;2 ;- ;- ;1 ;- ;180 ;1,168 ;136 ;70 ;X 17 ;17 ;227 ;436 ;- ;285 ;300 ;- ;600 ;- ;408 ;9,657 ;189 ;200 ;
Levene, del ;7,88 ;30 ;25 ;2,111 ;25 ;1,400 ;50 ;300 ;;26 ;1 ;1 ;- ;- ;2 ;- ;125 ;540 ;20 ;25 ;X 7 ;6 ;100 ;250 ;- ;327 ;189) ;- ;690 ;- ;189 ;4,725 ;170 ;126 ;
Lengjum ;7,13 ;26 ;17 ;1,674 ;10 ;1.874 ;10 ;- ;3 ;18 ;4 ;1 ;- ;- ;- ;- ;150 ;450 ;75 ;25 ;;7 ;217 ;300 ;- ;150 ;200 ;- ;300 ;- ;200 ;3,000 ;200 ;250 ;
Malma ;14,38 ;86 ;41 ;- ;8 ;2,400 ;18 ;2,000 ;4 ;73 ;5 ;1 ;- ;2 ;- ;1 ;160 ;1,240 ;20 ;45 ;- ;20 ;395 ;320 ;- ;226 ;75 ;15 ;930 ;10 ;145 ;7,400 ;250 ;126 ;
Sparlösa ;22,13 ;112 ;75 ;6,000 ;55 ;3,555 ;140 ;780 ;;84 ;17 ;1 ;- ;X 9 ;1 ;- ;300 ;1,860 ;160 ;80 ;15 ;12 ;210 ;730 ;-- ;698 ;450 ;- ;1,350 ;- ;540 ;11,118 ;300 ;420 ;
Tengened ;15.88 ;84 ;26 ;3,695 ;60 ;3,100 ;155 ;380 ;5 ;57 ;20 ;;- ;- ;1 ;1 ;344 ;1.176 ;100 ;80 ;- ;20 ;844 ;688 ;- ;344 ;220 ;112 ;1,500 ;- ;240 ;8,514 ;600 ;- ;
Summa, Wiste härad a) ;119,59 ;599 ;326 ;24,525 ;225 ;19,068 ;667 ;5,597 ;X 20 ;449 ;103 ;6 ;- ;11 ;7 ;3 ;1,718 ;7,754 ;635 ;434 ;X 39 ;104 ;1,992 ;3,617 ;-- ;2,521 ;1,850 ;127 ;7,293 ;10 ;2,135 ;59,473 ;2,476 ;1,720 ;
Gösalunda ;22,63 ;47 ;63 ;3,291 ;40 ;2,040 ;60 ;561 ;4 ;X 25 ;19 ;1 ;44 ;5 ;9 ;;270 ;988 ;166 ;66 ;- ;8 ;60 ;300 ;- ;222 ;300 ;- ;800 ;- ;600 ;7,900 ;300 ;680 ;
Hjerpas, Höra och Wedum ;28,05 ;79 ;78 ;8,295 ;70 ;4,723 ;320 ;1,808 ;3 ;X 36 ;X 10 ;4 ;6 ;X 89 ;8 ;1 ;526 ;1,827 ;253 ;70 ;X 45 ;8 ;538 ;1,000 ;- ;526 ;552 ;- ;1,552 ;X 25 ;200 ;13,500 ;325 ;438 ;
