Table: Table_1

1 ;36. ;37. ;38. ;;39. ;40 ;41. ;;42. ;43 ;44. ;45. ;46. ;47 ;48. ;49. ;50 ;51 ;52. ;53 ;54 ;55. ;56. ;57. ;58. ;59. ;60 ;61. ;62 ;66. ;67 ;68 ;69 ;70 ;71 ;72 ;73. ;74. ;75 ;
Flo ;- ;190 ;;- ;3,000 ;70 ;1 ;;===== ;- ;4,500 ;200 ;11,400 ;- ;1,800 ;56,300 ;4,000 ;1,300 ;- ;950 ;- ;18,000 ;- ;- ;140 ;- ;;- ;6 ;170 ;30 ;68 ;10 ;400 ;130 ;350 ;- ;200 ;- ;
Friel ;- ;140 ;;- ;1,290 ;;;;;- ;- ;;4,560 ;- ;540 ;20,379 ;960 ;250 ;;420 ;- ;3,870 ;;- ;;;4,400 ;;;55 ;6 ;20 ;2 ;120 ;88 ;300 ;- ;60 ;- ;
Ilâle ;X 10 ;X 425 ;;- ;660 ;X 40 ;- ;;;- ;600 ;- ;2,754 ;-- ;950 ;16,032 ;2,400 ;687 ;35 ;1,600 ;- ;1,975 ;- ;- ;85 ;16 ;-- ;7,250 ;;102 ;15 ;13 ;5 ;164 ;81 ;265 ;- ;50 ;X 42 ;
Karaby ;- ;72 ;;- ;600 ;15 ;- ;;- ;;180 ;-- ;2,505 ;- ;360 ;6,480 ;- ;1,220 ;;288 ;- ;2,600 ;- ;- ;15 ;5 ;- ;7,240 ;;8 ;12 ;6 ;7 ;105 ;72 ;120 ;- ;36 ;- ;
Nas ;- ;;;- ;2,268; ;30 ;- ;;- ;;1,125 ;- ;6,450 ;-- ;620 ;18,000 ;- ;720 ;- ;- ;- ;11,340 ;3.000 ;- ;;20 ;- ;- ;- ;174 ;10 ;40 ;15 ;480 ;200 ;500 ;- ;150 ;- ;
Sal ;- ;180 ;;- ;360 ;15 ;- ;;- ;- ;540 ;- ;4,830 ;- ;900 ;15,000 ;1,200 ;1,200 ;- ;1,080 ;- ;3,240 ;-- ;- ;60 ;- ;-- ;- ;- ;80 ;4 ;4 ;4 ;120 ;40 ;200 ;- ;120 ;- ;
Särestad ;- ;220 ;;1 ;1,071 ;56 ;- ;;- ;- ;660 ;- ;3,450 ;- ;428 ;11,000 ;450 ;963 ;;800 ;- ;3,500) ;;;25 ;- ;;- ;;135 ;35 ;20 ;4 ;216 ;150 ;401 ;- ;135 ;;
Tun ;- ;441 ;;;2,772 ;;- ;;;;5,985 ;- ;10,610 ;- ;4,410 ;12,600 ;5,670 ;945 ;- ;3,465 ;- ;16,380 ;44,100 ;- ;;;-- ;- ;- ;138 ;15 ;60 ;11 ;342 ;116 ;820) ;- ;138 ;- ;
Täng ;- ;90 ;;- ;612 ;;;;- ;;5,526 ;- ;- ;- ;200 ;11,100 ;4,800 ;648 ;- ;360 ;- ;1,224 ;- ;;- ;- ;;;;78 ;10 ;8 ;1 ;112 ;45 ;177 ;- ;31 ;;
As ;X 5 ;150 ;;- ;550 ;;- ;;- ;- ;150 ;- ;1,500 ;- ;400 ;12.000 ;430 ;100 ;10 ;250 ;--- ;500 ;- ;;;10 ;;6,000 ;;75 ;15 ;50 ;10 ;150 ;75 ;360 ;;50 ;;
