Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;;12 ;13. ;14 ;15 ;16. ;I 17 ;18. ;19 ;20 ;21. ;22. ;23 ;24 ;25. ;26 ;27. ;28 ;29. ;30. ;31. ;32. ;33, ;34. ;35. ;
Eling ;10,06 ;47 ;17 ;2,308 ;15 ;690 ;400 ;190 ;;;- ;- ;- ;3 ;42 ;- ;1 ;92 ;475 ;3 ;35 ;;5 ;20 ;41 ;- ;32 ;19 ;- ;535 ;12 ;63 ;4,315 ;775 ;15 ;
Essunga ;22,69 ;169 ;128 ;10,465 ;16 ;2,430 ;140 ;460 ;32 ;118 ;;43 ;3 ;26 ;60 ;14 ;2 ;250 ;1,455 ;14 ;155 ;16 ;9 ;105 ;225 ;- ;260 ;25 ;5 ;900 ;25 ;75 ;10,900 ;260 ;50 ;
Foglum ;11 ;77 ;18 ;3,405 ;27 ;1,005 ;693 ;252 ;3 ;;71 ;- ;;- ;2 ;2 ;- ;95 ;600 ;8 ;150 ;5 ;18 ;;34 ;- ;95 ;60 ;6 ;390 ;- ;207 ;5,265 ;135 ;20 ;
Hellum ;7,50 ;21 ;31 ;2,204 ;35 ;1,869 ;180 ;120 ;1 ;;23 ;2 ;3 ;;14 ;3 ;4 ;160 ;616 ;90 ;21 ;2 ;5 ;340 ;305 ;- ;330 ;170 ;;710 ;- ;460 ;4,300 ;470 ;200 ;
Kjedum ;13.56 ;131 ;48 ;5,346 ;40 ;2,460 ;350 ;2,496 ;9 ;103 ;;13 ;2 ;9 ;109 ;15 ;2 ;240 ;864 ;70 ;73 ;;11 ;295 ;591 ;- ;306 ;140 ;- ;1,160 ;X 20 ;160 ;8,025 ;200 ;132 ;
Lekasa ;11,10 ;46 ;37 ;2,546 ;25 ;1,027 ;230 ;150 ;1 ;;39 ;3 ;1 ;;2 ;;;112 ;745 ;26 ;32 ;10 ;7 ;11 ;95 ;- ;104 ;60 ;- ;485 ;- ;240 ;4,380 ;450 ;42 ;
Levene, del ;7 ;17 ;18 ;900 ;3 ;700 ;20 ;20 ;;;12 ;3 ;1 ;- ;1 ;- ;- ;56 ;300 ;7 ;28 ;;;;189 ;-- ;120 ;38 ;- ;308 ;- ;50 ;2,700 ;44 ;- ;
Long, (ej hela) ;16 ;49 ;25 ;3,251 ;7 ;2,960 ;200 ;- ;5 ;;24 ;17 ;;1 ;2 ;3 ;2 ;100 ;1,250 ;150 ;100 ;2 ;2 ;520 ;586 ;- ;250 ;100 ;;400 ;- ;400 ;9,100 ;500 ;400 ;
Naum ;13,19 ;87 ;75 ;5,651 ;32 ;2,150 ;650 ;350 ;29 ;100 ;;6 ;1 ;- ;- ;4 ;- ;275 ;950 ;16 ;85 ;2 ;27 ;116 ;364 ;- ;315 ;31 ;X 24 ;1,286 ;34 ;136 ;8,565 ;334 ;70 ;
Ryda och Halfas ;25,38 ;115 ;95 ;5,150 ;100 ;3,600 ;60 ;1,390 ;;;- ;- ;2 ;- ;- ;- ;- ;350 ;1,228 ;270 ;40 ;15 ;15 ;300 ;700 ;- ;G82 ;260 ;X 40 ;1,445 ;50 ;300 ;10,200 ;300 ;400 ;
Sandbäck eller Kyrk&s ;4 ;16 ;19 ;2,450 ;2 ;386 ;150 ;600 ;10 ;;14 ;2 ;- ;- ;9 ;-- ;- ;66 ;186 ;- ;24 ;;4 ;;GO ;- ;50 ;2 ;2 ;333 ;18 ;19 ;1,750 ;20 ;;
Skarstad ;18,38 ;150 ;20 ;3,763 ;76 ;3,595 ;79 ;13 ;8 ;104 ;;22 ;;1 ;14 ;1 ;- ;263 ;1,257 ;279 ;78 ;1 ;2 ;760 ;692 ;- ;263 ;258 ;- ;1,398 ;- ;699 ;9,885 ;945 ;416 ;
Wara ;10,75 ;66 ;9 ;2,400 ;8 ;2,329 ;50 ;13 ;1 ;;43 ;19 ;;;1 ;2 ;-- ;219 ;1,000 ;100 ;30 ;2 ;5 ;123 ;350 ;- ;400 ;200 ;- ;800 ;- ;127 ;7,780 ;700 ;100 ;
Asaka ;14,57 ;110 ;34 ;3,568 ;24 ;1,284 ;686 ;240 ;7 ;;92 ;1 ;- ;5 ;5 ;- ;- ;84 ;700 ;10 ;50 ;;20 ;- ;150 ;- ;270 ;25 ;- ;600 ;- ;125 ;5,000 ;620 ;75 ;
Onum ;11.25 ;80 ;110 ;4.115 ;22 ;3,270 ;113 ;508 ;9 ;;70 ;1 ;1 ;X 30 ;15 ;34 ;1 ;204 ;1,197 ;84 ;80 ;5 ;5 ;;315 ;- ;232 ;189 ;X 94 ;630 ;315 ;126 ;6,000 ;315 ;90 ;
Summa, Barne härad ;196,83 ;1.174 ;681 ;57,522 ;432 ;29,755 ;4,031 ;6,802 ;115 ;813 ;;132 ;14 ;75 ;276 ;78 ;12 ;2,566 ;12,823 ;1,127 ;981 ;X 60 ;135 ;2,590 ;4.697 ;- ;3,709 ;1,577 ;171 ;11,380 ;474 ;3.187 ;98,165 ;6.068 ;2.010 ;
Broby ;7,50 ;19 ;1 ;905 ;2 ;885 ;45 ;3 ;;;- ;- ;;- ;;- ;- ;123 ;339 ;5 ;8 ;1 ;1 ;50 ;285 ;- ;123 ;110 ;- ;520 ;- ;42 ;3,350 ;;30 ;
Hangelõsa ;16,50 ;52 ;53 ;5,116 ;;2,804 ;392 ;1,920 ;- ;;42 ;12 ;4 ;- ;- ;3 ;- ;400 ;860 ;- ;100 ;40 ;16 ;284 ;700 ;- ;400 ;157 ;- ;1.732 ;- ;315 ;6,300 ;315 ;189 ;
Husaby ;23.75 ;32 ;31 ;4.888 ;20 ;1,800 ;100 ;300 ;2 ;;22 ;16 ;1 ;- ;X 3 ;1 ;- ;257 ;384 ;30 ;50 ;50 ;4 ;257 ;514 ;- ;257 ;264 ;30 ;907 ;- ;480 ;1,920 ;329 ;120 ;
Hofby ;12,38 ;46 ;37 ;2,840 ;24 ;2,651 ;35 ;130 ;5 ;;10 ;12 ;3 ;2 ;8 ;3 ;3 ;300 ;900 ;50 ;42 ;25 ;8 ;330 ;700 ;6 ;290 ;315 ;31 ;630 ;- ;315 ;8.190 ;157 ;126 ;
Härened ;30 ;73 ;60 ;3,969 ;37 ;3,563 ;19 ;350 ;4 ;;39 ;28 ;2 ;- ;- ;- ;;445 ;1,297 ;39 ;30 ;20 ;;242 ;1,045 ;- ;445 ;481 ;- ;1,165 ;- ;211 ;15,102 ;;197 ;
Källby ;14,13 ;51 ;36 ;1,920 ;5 ;1,250 ;100 ;575 ;3 ;;35 ;10 ;-- ;- ;1 ;2 ;- ;150 ;432 ;20 ;40 ;4 ;4 ;50 ;400 ;- ;150 ;126 ;10 ;560 ;- ;190 ;3,200 ;60 ;180 ;
Lindärfva ;6,50 ;;29 ;2,446 ;33 ;1,470 ;146 ;797 ;;;3 ;5 ;2 ;- ;- ;1 ;1 ;164 ;440 ;50 ;30 ;30 ;4 ;194 ;290 ;- ;164 ;211 ;- ;576 ;- ;189 ;2,520 ;960 ;126 ;
Skeby ;7,63 ;31 ;24 ;1,700 ;7 ;830 ;85 ;116 ;10 ;;18 ;7 ;- ;2 ;1 ;2 ;;94 ;308 ;18 ;28 ;6 ;1 ;18 ;240 ;1 ;126 ;15 ;X 10 ;410 ;20 ;50 ;2,690 ;80 ;75 ;
Skjelfvum ;11.25 ;28 ;18 ;2,000 ;14 ;1,000 ;40 ;800 ;2 ;;15 ;8 ;;;14 ;10 ;- ;115 ;300 ;16 ;40 ;5 ;3 ;100 ;315 ;- ;135 ;126 ;- ;432 ;- ;150 ;2,550 ;- ;56 ;
Skofteby ;4 ;1 ;12 ;900 ;3 ;500 ;100 ;297 ;- ;;;- ;1 ;1 ;11 ;- ;- ;88 ;124 ;5 ;8 ;12 ;;100 ;195 ;- ;62 ;48 ;- ;310 ;- ;63 ;190 ;;24 ;
Säfvared ;18,25 ;82 ;41 ;4,947 ;40 ;2,388 ;50 ;2,469 ;14 ;;24 ;16 ;1 ;;3 ;2 ;- ;341 ;682 ;100 ;100 ;30 ;30 ;82 ;682 ;- ;341 ;370 ;- ;630 ;- ;120 ;6,700 ;;500 ;
Ofva ;7,75 ;4 ;30 ;2,585 ;12 ;1,035 ;460 ;1,078 ;;;1 ;! ;1 ;4 ;26 ;1 ;- ;115 ;300 ;38 ;50 ;30 ;7 ;100 ;200 ;- ;115 ;132 ;- ;476 ;- ;70 ;2,540 ;- ;49 ;
