Table: Table_1

1. ;36. ;37 ;38. ;;39. ;40 ;41. ;;42 ;43 44 ;45 ;46 ;47 ;48. ;49 ;50. ;51. ;52. ;53. ;54. ;55. ;56. ;57 ;58. ;59 ;60 ;61 ;62. ;6G. ;67 ;GS ;69. ;70 ;71. ;72 ;TO ;74. ;75. ;
Eling ;- ;6 ;;- ;1,461 ;47 ;- ;;- ;- 94 ;;3,087 ;63 ;390 ;17,230 ;3.061 ;63 ;- ;50 ;- ;8,757 ;- ;- ;63 ;- ;- ;- ;- ;74 ;7 ;81 ;5 ;170 ;| 73 ;200 ;- ;70 ;- ;
Essunga ;X 5 ;40 ;;;5,700 ;75 ;;;- ;- 150 ;20 ;4,500 ;100 ;375 ;43,600 ;1,800 ;250 ;25 ;240 ;- ;34,200 ;;;300 ;;- ;- ;;175 ;20 ;26 ;5 ;525 ;160 ;455 ;- ;155 ;;
Foglum ;- ;;;;4,800 ;70 ;- ;;;- 70 ;;600 ;;1.108 ;17,000 ;450 ;120 ;- ;;- ;18,000 ;- ;- ;300 ;X 28 ;- ;- ;- ;70 ;10 ;26 ;5 ;185 ;130 ;130 ;- ;GO ;;
Hellum ;- ;300 ;;;625 ;25 ;;;- ;- 510 ;;2,840 ;;1,610 ;12,900 ;1,540 ;500 ;- ;1,050 ;- ;1,250 ;X 500 ;- ;50 ;X 12 ;2,100 ;3,100 ;;72 ;4 ;18 ;5 ;225 ;55 ;135 ;- ;35 ;;
Kjedum ;- ;128 ;;;2,208 ;92 ;;;- ;- 420 ;;2,320 ;GO ;480 ;32,100 ;800 ;264 ;-- ;384 ;- ;8,832 ;;- ;184 ;- ;- ;;- ;125 ;27 ;32 ;6 ;400 ;141 ;375 ;- ;100 ;;
Lekasa ;- ;10 ;;;1,850 ;X 42 ;;;- ;- 200 ;;1,900 ;- ;900 ;15,330 ;1,575 ;126 ;- ;30 ;- ;11,100 ;4,800 ;- ;- ;15,40 ;- ;2,500 ;;70 ;10 ;20 ;3 ;260 ;183 ;264 ;- ;55 ;30 ;
Levene, del ;- ;-- ;;- ;840 ;;;;- ;- 190 ;;1,540 ;- ;200 ;7,100 ;;132 ;- ;- ;;2,520 ;- ;- ;;- ;- ;900 ;;47 ;3 ;8 ;3 ;75 ;28 ;56 ;- ;60 ;;
Long, (ej hela) ;- ;500 ;;- ;2,500 ;- ;- ;;;- 400 ;;1,600 ;- ;1,400 ;40,000 ;2,000 ;1,200 ;- ;2,000 ;- ;7,500 ;- ;- ;2 ;- ;X 700 ;11,000 ;- ;140 ;30 ;20 ;8 ;290 ;120 ;210 ;- ;90 ;- ;
Naum ;X 2 ;- ;;- ;3,400 ;X 135 ;;;- ;- 186 ;120 ;6,430 ;136 ;680 ;25,695 ;1,336 ;280 ;10 ;- ;- ;11,900 ;- ;- ;X 405 ;;- ;- ;;101 ;31 ;12 ;5 ;352 ;157 ;342 ;;103 ;- ;
