Table: Table_1

1. ;36. ;37 ;38. ;39. ;40 ;41. ;42. ;43 44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52 ;53. ;54 ;55. ;56. ;57. ;58. ;59. ;60. ;61. ;62. ;66 ;67. ;68. ;69. ;70. ;71. ;72 ;73 ;:74. ;75 ;
Utby ;2 ;46 ;- ;650 ;;- ;- ;- 900 ;52 ;2,840 ;;X 30 ;8,400 ;- ;1.100 ;6 ;240 ;- ;1,950 ;219 ;- ;X 16 ;4 ;800 ;6,068 ;- ;29 ;2 ;111 ;;246 ;48 ;110 ;- ;21 ;- ;
Undenäs ;200 ;;;2,000 ;- ;- ;- ;- 450 ;;12,150 ;X 465 ;;42,000 ;- ;900 ;- ;- ;- ;8,000 ;- ;- ;- ;- ;- ;- ;- ;155 ;10 ;580 ;20 ;1,240 ;400 ;2,000 ;20 ;400 ;- ;
Waring ;;31 ;;1,260 ;;- ;- ;- 1,701 ;37 ;3,402 ;;;9,576 ;- ;315 ;- ;63 ;-- ;5,040 ;- ;- ;;- ;- ;14,400 ;- ;55 ;5 ;192 ;4 ;288 ;100 ;300 ;- ;100 ;- ;
Wad ;;;;756 ;;- ;- ;- 3.528 ;;6.174 ;;;21,785 ;- ;605 ;- ;;;4.536 ;- ;- ;;- ;- ;- ;- ;35 ;5 ;120 ;5 ;160 ;125 ;160 ;-- ;80 ;- ;
Summa, Wadabo härad a) ;440 ;1,472 ;;105.291 ;2,717 ;- ;--- ;59,093 ;598 ;236,731 ;1.282 ;16.143 ;962,694 ;5.139 ;30.289 ;535 ;7.019 ;- ;445.021 ;37.169 ;- ;6.125 ;736,84 ;20,554 ;537,004 ;- ;2,446 ;233 ;8.395 ;305 ;17.188 ;7.295 ;18 199 ;30 ;5,169 ;- ;
Summä landsbygder ;1,252 ;28,764 ;6 ;575,877 ;7.071 ;1 ;20 ;30 180.521 ;4,233 ;1,111,595 ;9,297 ;255,434 ;4,756,265 ;199,600 ;122,162 ;7,136 ;114.122 ;12 ;2,588,27 ;479,637 ;19.067 ;16.288 ;2,418,61 ;71,343 ;177,202 ;6 ;19.262 ;3,243 ;25,613 ;1.502 ;69.855 ;30.351 ;79,811 ;58 ;23.723 ;842 ;
Städerna: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mariestad ;- ;X 16 ;- ;400 ;- ;- ;- ;- 660 ;;1,800 ;- ;144 ;8,000 ;- ;80 ;- ;- ;- ;1,600 ;240 ;- ;- ;- ;240 ;8,000 ;- ;32 ;1 ;34 ;3 ;106 ;4 ;36 ;- ;40 ;- ;
Lidköping ;- ;- ;- ;900 ;- ;- ;- ;-- - ;;7,200 ;- ;;8,640 ;- ;- ;- ;;- ;9,000 ;- ;- ;- ;- ;- ;900 ;- ;80 ;- ;;s ;260 ;10 ;;- ;25 ;- ;
Skara ;5 ;140 ;- ;3,170 ;5 ;- ;- ;- 1,715 ;;5,287 ;;2,047 ;10,657 ;2,370 ;341 ;30 ;281 ;- ;12,680 ;4,000 ;- ;17. ;50 ;1.200 ;11,300 ;- ;66 ;6 ;44 ;6 ;185 ;18 ;50 ;- ;47 ;- ;
Sköfde ;;;- ;2,350 ;81 ;- ;- ;- 375 ;;2,750 ;;;4,850 ;- ;830 ;- ;- ;- ;16,400 ;- ;- ;- ;- ;- ;1.300 ;- ;30 ;6 ;48 ;4 ;250 ;85 ;100 ;- ;70 ;- ;
Falköping ;;441 ;- ;3.150 ;;- ;- ;- - ;;2,362 ;;X 3.150 ;15,120 ;- ;- ;- ;- ;- ;18.900 ;- ;- ;- - ;- ;- ;- ;- ;70 ;- ;50 ;;150 ;25 ;100 ;- ;100 ;- ;
Hjo ;;- ;- ;4.000 ;- ;- ;- ;- - ;X 100 ;3,700 ;200 ;;10.500 ;- ;X 110 ;- - ;;- ;20,000 ;- ;7.000 ;;- ;1,500 ;3.500 ;;63 ;2 ;42 ;2 ;170 ;40 ;30 ;- ;170 ;- ;
Summa för Städerna ;5 ;597 ;- ;13.970 ;13 ;- ;- ;--- 2,750 ;100 ;23.099 ;200 ;5,341 ;57,767 ;2,370 ;1.361 ;X 30 ;281 ;- ;78,580 ;4.240 ;7.000 ;17 ;50 ;2.940 ;25000 ;;341 ;15 ;218 ;20 ;1.121 ;182 ;316 ;- ;452 ;- ;
Summa für bela lânet ;1,257 ;29,361 ;6 ;569,847 ;7,084 ;1 ;20 ;30 183.271 ;4.333 ;1,134,694 ;;9,497,260,775 ;4,814,032 ;201,970 ;123,523 ;7,166 ;114,403 ;12 ;2,666,851 ;483,877 ;26,067 ;16,305 ;2,468,61 ;74,283 ;1,202,202 ;6 ;19.603 ;3.258 ;25,831 ;;1,522 71,006 ;30,533 ;80,127 ;58 ;24,175 ;842 ;





