Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;I 7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;39. ;33. ;31. ;35. ;
Torsö ;31,4 ;97 ;175 ;8,539 ;47 ;1,520 ;559 ;6,413 ;43 ;43 ;3 ;2 ;4 ;2 ;2 ;;103 ;612 ;-- ;46 ;;- ;;206 ;12 ;103 ;150 ;- ;1,400 ;- ;320 ;4,225 ;- ;160 ;
Tidavad ;12,25 ;48 ;21 ;1,910 ;9 ;177 ;612 ;612 ;6 ;39 ;1 ;;;;1 ;;103 ;206 ;10 ;30 100 ;16 ;20 ;206 ;317 ;13 ;103 104 ;176 ;3 ;409 375 ;18 ;20 ;1,638 850 ;- ;180 ;
Tived ;13,89 ;185 ;34 ;2,142 ;2 ;868 ;1,277 ;- ;192 ;46 ;;;128 ;;;;100 ;202 ;;;10 ;;;;- ;;;;;;;;- ;30 ;
;;;36 ;;12 ;1,660 ;;;;15 ;2 ;;;18 ;;;220 ;586 ;10 ;50 ;- ;3 ;100 ;501 ;- ;200 ;272 ;- ;830 ;- ;- ;5,260 ;;72 ;
Trästena ;15,88 ;25 ;7 ;;;;10 ;;;;;;;;;;78 ;120 ;15 ;45 ;7 ;5 ;100 ;218 ;- ;78 ;113 ;- ;378 ;- ;25 ;693 ;113 ;50 ;
Timmersdala ;9,50 ;48 ;;862 ;14 ;F480 ;150 ;216 ;12 ;34 ;;;;;;;;;36 ;70 ;-- ;3 ;285 ;7-19 ;- ;374 ;345 ;;1,420 ;- ;19 ;4,442 ;;142 ;
Ullervad ;24,88 ;77 ;42 ;6,076 ;43 ;2,460 ;G92 ;1,600 ;;42 ;;;;;;;374 ;5G9 ;;;;;;;;;;;;;;;;;
Utby ;17,27 ;88 ;26 ;3,181 ;13 ;1,531 ;384 ;90 ;;29 ;;;;;;;288 ;461 ;60 ;31 ;2 ;1 ;114 ;281 ;- ;287 ;300 ;14 ;723 ;6 ;;2,008 ;- ;230 ;
Undenäs ;43,88 ;305 ;203 ;;;5,200 ;2,275 ;;;178 ;9 ;;;102 ;;;950 ;1,360 ;50 ;305 ;- ;120 ;100 ;1,510 ;- ;805 ;225 ;;3,800 ;165 ;50 ;13,240 ;200 ;125 ;
