Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7 ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20 ;21. ;22, ;23. ;24. ;25 ;26. ;27. ;28. ;29. ;30 ;31. ;32, ;33 ;34. ;35 ;
Härja ;13,34 ;107 ;25 ;3,000 ;4 ;880 ;10 ;1,780 ;;100 ;6 ;- ;17 ;;3 ;- ;200 ;450 ;;125 ;;6 ;;50 ;;200 ;;- ;1,200 ;70 ;;2,500 ;40 ;;
Hömb ;8,75 ;25 ;;3,000 ;11 ;900 ;670 ;650 ;;;;;;;;;;;;;;;;188 ;;158 ;;;663 ;;;2,100 ;;;
Karleby ;30,13 ;102 ;16 ;3,00 ;10 ;1,686 ;290 ;10 ;;;;;;;;;;;;;;;;;;;;X ;1,100 ;;;7,640 ;;130 ;
Kjelfvene ;9,50 ;;;1.415 ;3 ;431 ;190 ;;;;;;;;;;;;;;;;;;;;;;422 ;;;2,391 ;;;
Kongslena ;29,75 ;;11 ;4,083 ;;2,600 ;433 ;400 ;;;;;;;;;;;;;;;;;;;;;2.835 ;;;10,804 ;;;
Korsberga ;20,63 ;46 ;;8,331 ;;2,300 ;1,700 ;3,080 ;;;;;;;;;;;;102 ;;;;;;500 ;157 ;X ;2,357 ;;;5,619 ;;;
Kylingared, del ;;;10 ;400 ;;146 ;;;;;;;;;;;;;;;;;;;;;;;;;;913 ;;;
Kymbo ;13,75 ;31 ;20 ;3,00 ;2 ;550 ;900 ;650 ;;;;;;;;;;310 ;;;;;;;;;;;;;;2,520 ;;;
Luttra ;20,38 ;;;3,000 ;;910 ;40 ;;;;;;;;;;;;;;;;;;;;;;;;;3,510 ;;;
Mularp ;12,88 ;22 ;;3,600 ;17 ;973 ;103 ;260 ;;;;;;;;;;;100 ;;;;;;;;;;;;;3,100 ;140 ;195 ;
Nykyrks ;10,38 ;;;4,000 ;15 ;500 ;1,122 ;1,071 ;;;;;;;;;;;;130 ;;;;;;;;;480 ;45 ;;639 ;395 ;;
Näs ;11.25 ;27 ;;1,696 ;;1,042 ;525 ;125 ;;;;;;;;;;256 ;15 ;68 ;;;;345 ;;;;;;;;2,979 ;138 ;;
Ottrava ;8,04 ;;;1,411 ;5 ;500 ;300 ;360 ;;;;;;;;;;216 ;2 ;;;;;;;1c:0 ;;;472 ;;;2,709 ;;10 ;
Sandhem ;42,68 ;119 ;190 ;17,430 ;30 ;2,150 ;4,500 ;10,750 ;;;;;;;;;;580 ;;344 ;;;;;;40. ;3,000 ;;3,000 ;;;3,450 ;1,400 ;;
Skörstorp ;10,38 ;27 ;;2,200 ;;1,718 ;100 ;;;;;;;;;;;1,070 ;10 ;150 ;;;;;;;;;819 ;;;4,095 ;189 ;25 ;
Slöta med Faleqvarna ;45,88 ;135 ;;4,500 ;15 ;2,950 ;1,435 ;100 ;;;;;;;;;;1,800 ;;450 ;;;;;;;;10 ;1,400 ;;1.350 ;11,000 ;500 ;150 ;
Suntack Tiarp ;9.63 11,75 ;19 ;;2,100 1,500 ;4 ;596 1,000 ;200 300 ;1,302 195 ;;;;;;;;;;200 280 ;30 ;35 ;;;;;;103 ;;;715 450 ;;;1,835 8,600 ;;200 ;
Tidaholm ;9,88 ;17 ;;4,500 ;14 ;1,230 ;450 ;;;;;;;;;;;360 ;10 ;;;;;;;;180 ;;672 ;;60 ;2,625 ;30 ;62 ;
Utvängstorp ;7.44 ;;;;;;;;;;;;;;;;;160 ;;90 ;;;;;;;;;210 ;48 ;;1,780 ;100 ;;
Velinge ;19,72 ;89 ;;9,396 ;14 ;1,275 ;1,485 ;2,340 ;;;;;;;;;;470 ;;121 ;;;;;;;;;1,663 ;;;5,159 ;;;
Vistorg ;11,50 ;29 ;;5,508 ;15 ;600 ;900 ;1,200 ;;;;;;;;;;275 ;2 ;;;;;100 ;;;;;400 ;24 ;60 ;2,640 ;270 ;12 ;
Vättack ;9,50 ;18 ;;1,800 ;;398 ;400 ;750 ;;;;;;;;;100 ;100 ;;;;;;50 ;;;;;472 ;;;1.260 ;63 ;;
Yllestad ;21,56 ;53 ;;6,400 ;no ;810 ;800 ;740 ;29 ;;;;;;;;200 ;330 ;;100 ;;;80 ;;;100 ;12 ;;900 841 ;;125 ;4.200 5.216 ;;;
Asaka Asled ;23,50 30,13 ;;;2,100 ;82 ;1.218 ;390 ;318 ;7 ;;;;;;;;103 ;725 ;10 ;90 ;27 ;;120 ;;;140 ;6 ;G ;G30 ;;625 ;5,400 ;120 ;;
Vartofla härad) ;740,66 ;2,543 ;1,838 ;211,040 ;597 ;57,080 ;38,668 ;67,488 ;229 ;1,285 ;246 ;24 ;4C0 ;703 ;136 ;11 ;9,383 ;21,590 ;576 ;4,862 ;353 ;213 ;4,639 ;8,460 ;11 ;8,553 ;3,918 ;114 ;44,961 ;800 ;7,397 ;164,579 ;6,401 ;1,630 ;
Brismened ;19,50 ;51 ;;- ;6 ;- ;- ;45 ;;;;;;;;;;;;;;;;;- ;;- ;;220 ;;157 ;1,102 ;;;
Börstig ;13.04 ;;;2,100 ;5 ;1,000 ;;;;;;;;;;;50 ;430 ;10 ;100 ;10 ;10 ;;240 ;;100 ;;19 ;315 ;19 ;94 ;2,200 ;126 ;;
Grolanda ;19  ;85 ;;;;300 ;;;;;;;;;;;40 ;135 ;8 ;80 ;4 ;;;;;20 ;- ;;650 ;100 ;250 ;2,600 ;180 ;;
Kinneved ;30,75 ;80 ;4:3 ;9,000 ;6 ;1,1:5 ;1,575 ;10 ;18 ;;;;;;;1 ;116 ;700 ;4 ;70 ;5 ;4 ;1,500 ;40 ;10 ;180 ;;- ;6G5 ;;800 ;7,650 ;;10 ;
Smula ;7,63 ;22 ;;900 ;;137 ;3:34 ;381 ;;;;;;;;;;;;;;;;;- ;;- ;;100 ;- ;70 ;600 ;;;
Y&rkumla ;18,25 ;;;;;305 ;580 ;10 ;- ;;;;;;;- ;30 ;206 ;2 ;85 ;2 ;2 ;;4 ;;40 ;;;283 ;;189 ;2,016 ;;;
Asarp ;4.50 ;13 ;;978 ;3 ;GO ;75 ;12 ;;6 ;;;;8 ;2 ;- ;;;- ;;;;- ;;- ;;- ;- ;23 ;3 ;16 ;210 ;15 ;;
