Table: Table_1

1. ;34. ;35. ;36. ;;37. ;38. ;39. ;40. ;41. ;44. ;45. ;46. ;47. ;48, ;49. ;50. ;51. ;52. ;53. ;54. ;55 ;66. ;67. ;68. ;69 ;70. ;71. ;72. ;73. ;74, ;75 ;
Härene med Skofteby ;140 ;156 ;;;207 ;- ;585 ;;- ;1,700 ;;6,270 ;- ;2,060 ;27,459 ;420 ;156 ;;414 ;;3,510 ;167 ;23 ;40 ;10 ;385 ;208 ;242 ;;106 ;;
Källby ;50 ;125 ;5 ;;80 ;- ;1,250 ;20 ;- ;756 ;30 ;3,800 ;- ;1,200 ;6.400 ;100 ;375 ;15 ;240 ;;4,800 ;90 ;25 ;25 ;;190 ;85 ;250 ;;50 ;;
Lindärfva' ;55 ;;;;;;1,250 ;;;720 ;50 ;2,800 ;- ;260 ;4.500 ;165 ;320 ;- ;150 ;;4,800 ;50 ;9 ;20 ;;200 ;35 ;;;;;
Skeby ;;;;;;;480 ;;- ;200 ;16 ;3,570 ;- ;240 ;12,200 ;;216 ;;150 ;- ;2.880 ;48 ;12 ;14 ;3 ;130 ;60 ;120 ;;;;
Skelfvum ;50 ;;;;;;528 ;25 ;;1,200 ;50 ;2,800 ;- ;500 ;12,000 ;200 ;180 ;;75 ;- ;4.224 ;5 ;10 ;54 ;;150 ;50 ;120 ;;;;
Säfvare ;300 ;;;;;;384 ;60 ;;3.040 ;;5.248 ;;420 ;19,200 ;900 ;2.000 ;;;- ;2,204 ;130 ;16 ;35 ;;320 ;60 ;250 ;;;;
Ofva* ;;154 ;;;;;1,800 ;;- ;1,260 ;;3.200 ;- ;760 ;6.432 ;;616 ;120 ;- ;- ;8,000 ;70 ;6 ;90 ;3 ;114 ;70 ;100 ;- ;;;
Summa Kinnefjerdings härad ;1,310 ;1,828 ;42 ;;1,729 ;5 ;20,119 ;171 ;- ;14,518 ;241 ;53,035 ;- ;11,510 ;161,421 ;4,195 ;4,828 ;158 ;5,627 ;10 ;104,066 ;1,151 ;157 ;472 ;60 ;3,043 ;1,078 ;2,452 ;1 ;786 ;;
Forshem ;200 ;200 ;- ;;;- ;3,450 ;;- ;2,628 ;;12,600 ;- ;3,480 ;41,200 ;800 ;1,000 ;- ;380 ;- ;20,700 ;190 ;20 ;26 ;30 ;750 ;334 ;660 ;- ;250 ;;
Fullösa ;60 ;180 ;;;;;946 ;24 ;- ;780 ;60 ;3,860 ;;1,150 ;12,800 ;240 ;900 ;;300 ;;5,676 ;60 ;12 ;60 ;;225 ;70 ;225 ;- ;30 ;;
Götene ;;110 ;;;;;380 ;11 ;- ;1,500 ;;4,000 ;30 ;2,000 ;8,200 ;;520 ;8 ;150 ;- ;1.800 ;36 ;20 ;48 ;41 ;290 ;55 ;150 ;- ;;;
Holmestad ;50 ;90 ;20 ;;85 ;;1,920 ;63 ;;1,032 ;100 ;3,582 ;18 ;180 ;9,930 ;150 ;180 ;60 ;255 ;-- ;15,360 ;120 ;30 ;110 ;;260 ;220 ;600 ;- ;;;
Kestad ;;50 ;;;15 ;;315 ;10 ;- ;70 ;;900 ;;;2,700 ;;;-- ;;- ;1,575 ;28 ;;16 ;;68 ;20 ;80 ;;;;
