Table: Table_1

1. ;2. ;3. ;4. ;5. ;6, ;7. ;8. ;9. ;10. ;11. ;12. ;13 ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;I 24. ;25. ;26. ;27. ;28. ;29. ;30, ;31. ;32. ;33. ;
Svenneby ;8,88 ;9 ;11 ;2,780 ;20 ;1,100 ;600 ;1,060 ;- ;4 ;4 ;1 ;2 ;10 ;;- ;161 ;366 ;50 ;62 ;- ;- ;- ;300 ;- ;161 ;322 ;- ;322 ;- ;- ;2,196 ;
Säter ;22,81 ;46 ;80 ;4,312 ;30 ;1,178 ;1,170 ;2,034 ;4 ;20 ;6 ;;1 ;10 ;5 ;- ;290 ;372 ;28 ;73 ;;3 ;- ;130 ;- ;282 ;50 ;- ;1,600 ;- ;220 ;3,092 ;
Torsö ;31,44 ;97 ;175 ;8.539 ;47 ;1,520 ;559 ;6,413 ;43 ;43 ;3 ;2 ;4 ;2 ;;- ;314 ;627 ;28 ;135 ;17 ;9 ;- ;182 ;;208 ;184 ;- ;1,605 ;- ;68 ;4,335 ;
Tidavad* ;12.95 ;49 ;26 ;1.910 ;10 ;676 ;612 ;612 ;6 ;38 ;- ;;;;3 ;- ;103 ;200 ;6 ;30 ;16 ;- ;206 ;;12 ;103 ;157 ;;346 ;- ;;1.298 ;
Tived ;13,89 ;185 ;39 ;2,142 ;3 ;888 ;1,251 ;- ;- ;;;;;;;;116 ;200 ;12 ;100 ;15 ;25 ;- ;300 ;- ;110 ;30 ;36 ;600 ;30 ;36 ;1,500 ;
Trästena * ;15.88 ;25 ;36 ;;12 ;1,679 ;10 ;;1 ;17 ;2 ;2 ;1 ;19 ;6 ;2 ;220 ;586 ;10 ;50 ;;3 ;100 ;501 ;- ;209 ;374 ;--- ;760 ;- ;- ;5.274 ;
Timmersdala ;9,50 ;48 ;7 ;862 ;14 ;482 ;150 ;216 ;11 ;39 ;;;;4 ;;;80 ;110 ;11 ;40 ;6 ;5 ;100 ;200 ;- ;80 ;113 ;- ;390 ;- ;25 ;760 ;
Ullervad ;24,88 ;75 ;57 ;6,076 ;44 ;2.538 ;614 ;1,590 ;8 ;45 ;24 ;;6 ;50 ;22 ;;400 ;590 ;a5 ;70 ;5 ;2 ;273 ;824 ;- ;383 ;400 ;;1,450 ;- ;12 ;4,130 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
