Table: Table_1

1. ;34. ;35. ;36. ;37. ;38. ;39. ;40. ;41. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;66. ;67. ;68. ;69. ;70. ;71. ;72. ;73. ;74. ;75. ;
Svenneby ;- ;130 ;- ;- ;- ;1,550 ;- ;- ;1,288 ;- ;1,288 ;- ;- ;8,784 ;- ;730 ;- ;- ;- ;9,300 ;36 ;9 ;50 ;5 ;260 ;20 ;60 ;- ;20 ;;
Säter ;- ;134 ;- ;;- ;3,120 ;- ;- ;250 ;- ;6,400 ;- ;880 ;12,368 ;- ;536 ;- ;;- ;18,720 ;44 ;11 ;134 ;3 ;224 ;156 ;319 ;;77 ;;
Torsö ;- ;120 ;;46 ;-- ;6,350 ;- - ;- ;1,297 ;- ;14,360 ;- ;418 ;24,670 ;- ;715 ;;308 ;- ;65,170 ;47 ;2 ;226 ;6 ;316 ;108 ;475 ;- ;200 ;;
Tidavad* ;- ;151 ;38 ;76 ;- ;384 ;;- ;785 ;;1,384 ;;;5,192 ;;600 ;152 ;308 ;- ;2,104 ;50 ;8 ;98 ;2 ;190 ;46 ;175 ;- ;20 ;;
Tived ;18 ;50 ;10 ;;- ;4,500 ;90 ;- ;90 ;108 ;2,400 ;90 ;120 ;4,500 ;72 ;150 ;40 ;- ;- ;16,000 ;74 ;;106 ;7 ;220 ;150 ;750 ;- ;80 ;;
Trästena ;;40 ;- ;19 ;- ;1,500 ;- ;-- ;1,770 ;- ;3,040 ;- ;- ;21,096 ;;160 ;- ;76 ;- ;9,000 ;47 ;4 ;100 ;7 ;225 ;110 ;125 ;- ;23 ;;
Timmersdala ;118 ;50 ;- ;31 ;- ;504 ;31 ;;379 ;- ;1,560 ;- ;88 ;2,650 ;410 ;189 ;- ;126 ;- ;2,520 ;20 ;3 ;36 ;1 ;110 ;35 ;120 ;3 ;20 ;;
Ullervad ;- ;200 ;- ;50 ;- ;2,300 ;12 ;- ;1,500 ;- ;6,000 ;- ;40 ;12,390 ;- ;600 ;- ;100 ;- ;11,500 ;80 ;5 ;200 ;6 ;480 ;185 ;170 ;- ;80 ;;
Utby ;- ;225 ;3 ;30 ;- ;643 ;3 ;- ;885 ;16 ;2,420 ;- ;75 ;6,026 ;- ;462 ;7 ;133 ;- ;3,115 ;22 ;6 ;110 ;4 ;225 ;50 ;60 ;- ;25 ;;
Undenäs ;- ;90 ;80 ;231 ;- ;12,800 ;285 ;- ;950 ;80 ;23,600 ;700 ;500 ;33,895 ;- ;860 ;800 ;924 ;- ;51,200 ;144 ;4 ;625 ;20 ;1,322 ;665 ;2,000 ;18 ;408 ;;
Vad ;- ;120 ;- ;;- ;680 ;- ;- ;1,230 ;;1,230 ;- ;;6,230 ;- ;280 ;- ;;- ;2,120 ;24 ;;108 ;2 ;130 ;50 ;125 ;- ;18 ;;
Väring ;- ;160 ;- ;25 ;- ;1,000 ;- ;- ;2,250 ;40 ;5,650 ;- ;40 ;11,000 ;-- ;500 ;- ;100 ;- ;8,000 ;50 ;10 ;210 ;5 ;400 ;200 ;250 ;- ;100 ;- ;
Snmma Vadebo härad ;536 ;8,768 ;378 ;1,967 ;- ;127,709 ;1,630 ;1 ;67,249 ;1,449 ;294.442 ;1.848 ;13,407 ;891,623 ;2.327 ;38,033 ;2,096 ;6,451 ;- ;736.525 ;2,497 ;217 ;8,357 ;289 ;15,915 ;8.135 ;16,698 ;26 ;3,979 ;- ;
Summa för landsbygden ;48,014 ;36,151 ;749 ;27,375 ;5 ;664,279 ;4,916 ;1 ;252,382 ;4,993 ;1,545,352 ;14,426 ;263,805 ;4,900,251 ;186,343 ;119,083 ;3,439 ;105.404 ;10 ;3,804,827 ;20,816 ;3.869 ;25,319 ;1,604 ;73,260 ;33,411 ;76,100 ;58 ;23,169 ;- ;
Mariestad ;- ;15 ;- ;12 ;- ;350 ;- ;- ;1,200 ;- ;2,300 ;--- ;60 ;9,000 ;- ;105 ;- ;--- ;- ;2,450 ;40 ;2 ;36 ;3 ;126 ;20 ;32 ;- ;40 ;-- ;
Lidköping ;;;- ;;- ;660 ;;- ;;- ;5,325 ;120 ;450 ;8,475 ;;;- ;;- ;6,600 ;105 ;- ;2 ;4 ;325 ;10 ;;- ;50 ;- ;
Skara ;310 ;150 ;4 ;140 ;- ;3,450 ;5 ;- ;1,750 ;- ;5,550 ;- ;800 ;6,600 ;930 ;600 ;16 ;490 ;- ;31,050 ;85 ;5 ;30 ;6 ;225 ;25 ;50 ;- ;75 ;- ;
Sköfde ;- ;100 ;- ;- ;- ;2,150 ;- ;- ;440 ;- ;4,130 ;- ;;7,920 ;- ;400 ;- ;- ;- ;21,500 ;20 ;2 ;30 ;2 ;220 ;20 ;50 ;- ;60 ;- ;
Falköping* ;;30 ;- ;;- ;2,100 ;- ;- ;;;4,200 ;;9,000 ;31,030 ;;120 ;- ;;- ;21,000 ;70 ;10 ;26 ;4 ;235 ;53 ;100 ;- ;50 ;- ;
Hjo. ;20 ;20 ;- ;30 ;- ;3,500 ;- ;- ;60 ;40 ;3,500 ;200 ;- ;9,800 ;80 ;50 ;- ;100 ;- ;33,000 ;45 ;2 ;30 ;3 ;155 ;24 ;30 ;- ;150 ;- ;
Summa för städerna ;330 ;315 ;4 ;182 ;- ;12.210 ;5 ;- ;3,450 ;40 ;25,005 ;320 ;10,310 ;72.825 ;1.010 ;1,275 ;16 ;590 ;- ;115,600 ;365 ;21 ;154 ;22 ;1,286 ;152 ;262 ;- ;425 ;- ;
Summa för hela länet ;48,344 ;36,466 ;753 ;27,557 ;5 ;676,489 ;4,921 ;1 ;255,832 ;5,033 ;1,570,357 ;14,746 ;274,115 ;4,973,076 ;187,353 ;120,358 ;3.455 ;105,994 ;10 ;3.920,427 ;21,181 ;3,890 ;25,473 ;1,626 ;74,546 ;33,563 ;76,362 ;58 ;23,594 ;- ;





