Table: Table_1

1. ;31. ;35 ;36. ;;37. ;39. ;40. ;41. ;45. ;46. ;47. ;48 ;49. ;50. ;51. ;52. ;53. ;55 ;58. ;66. ;67. ;68. ;;69. ;70. ;71. ;72 ;73. ;74. ;
Harja ;200 ;;;;;5,290 ;- ;;;22,500 ;380 ;250 ;25,500 ;1,000 ;- ;- ;- ;31,740 ;;;;100 ;;;300 ;200 ;;3 ;170 ;
Ilömb ;;;;;45 ;911 ;;598 ;;2,526 ;38 ;;10,307 ;;;;;5,466 ;;;;;;;186 ;;;;;
Karleby ;490 ;;;;160 ;5,846 ;;24 ;40 ;6,900 ;80 ;5,880 ;31,480 ;1,960 ;630 ;;640 ;17,568 ;;;;160 ;;;;;;;120 ;
Kelfvene ;;;;;;1,197 ;;;;2,210 ;- ;500 ;8,500 ;957 ;;;;4,788 ;;;;;;;;;;;;
Kungslena ;;;;;;3,150 ;;;;8,800 ;;650 ;36,800 ;670 ;250 ;;;8,500 ;;;;;;;;;;;130 ;
Korsberga ;;;;;112 ;2,841 ;;1,219 ;;14,629 ;95 ;;43,527 ;;617 ;;;22,856 ;;;;;;;;;;;;
Kylingared, en del ;;;;;;1,100 ;;;;610 ;X 150 ;150 ;6,800 ;- ;;;;7,700 ;;;;;;;;;;;;
Kymbo ;;;;;10 ;2,205 ;;;;4,250 ;;175 ;20,315 ;;12 ;;;11,025 ;;;;;;;;;;;50 ;
Luttra ;;;;;6 ;2,600 ;;;;7,000 ;- ;6,000 ;28,000 ;280 ;192 ;;;10,400 ;;;;;;;;;;;120 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mularp ;;;;;70 ;1,845 ;- ;100 ;;2,940 ;;2,080 ;15,500 ;980 ;625 ;;490 ;11,088 ;;;;;;;;;;;50 ;
Nykyrka ;;;;;;5,000 ;;;;1,800 ;90 ;;3,300 ;1,340 ;;;;25,000 ;;;;;;;;;;;;
Nas ;;;;;15 ;2,570 ;;42 ;;4,844 ;;690 ;14,895 ;552 ;350 ;;60 ;10,280 ;;;;;;;;;;;;
Ottravad ;;12 ;;;;1,800 ;;;;2,400 ;120 ;108 ;15,480 ;350 ;72 ;;;7,200 ;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sandhem ;500 ;;;;;17,000 ;;;;15,000 ;350 ;250 ;20,000 ;1,500 ;;;;85,000 ;;;;;;;800 ;;1,000 ;;;
Skörstorp ;315 ;25 ;;;;6.300 ;;;;3,276 ;;2,362 ;22,050 ;1,575 ;150 ;;;3,500 ;;;;;;;150 ;;;;50 ;
Slôta med Faleqvarna ;500 ;150 ;;;200 ;9,000 ;- ;40 ;40 ;7,000 ;100 ;6,000 ;70,000 ;3,000 ;1,000 ;35 ;800 ;45,000 ;;210 ;;;;10 ;500 ;;;;200 ;
Suntak ........ ;;;;;;1,300 ;;50 ;;;50 ;;9,200 ;;;- ;;;;;;;;;;;;;;
Tiarp ;200 ;200 ;;;;1.400 ;;;;3138 ;;1.000 ;18,000 ;1,000 ;1,000 ;- ;150 ;83465 ;;;;;;;140 ;;;;;
