Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52 ;53. ;54. ;55. ;56, ;58. ;59. ;66. ;67. ;68. ;69 ;70. ;71. ;72. ;73. ;74. ;75. ;
Flo ;10 ;500 ;- ;3.500 ;- ;6,500 ;500 ;10.000 ;- ;2,000 ;45.000 ;1,300 ;4,500 ;50 ;2,000 ;- ;15,500 ;46,000 ;- ;60 ;250 ;75 ;20 ;10 ;500 ;200 ;350 ;- ;150 ;- ;
Friel ;;60 ;;1,035 ;6 ;1,200 ;- ;8.640 ;- ;900 ;20,160 ;1,740 ;450 ;;420 ;;5,175 ;3,000 ;;- ;120 ;15 ;20 ;5 ;170 ;80 ;150 ;- ;60 ;;
H&le ;15 ;290 ;;685 ;21 ;1,300 ;- ;4,000 ;- ;600 ;18,000 ;3,400 ;1,345 ;65 ;1.350 ;- - ;5,000 ;;70 ;;80 ;24 ;16 ;3 ;215 ;80 ;250 ;- ;65 ;120 ;
Karaby ;2 ;80 ;- ;700 ;10 ;240 ;- ;2,000 ;- ;360 ;7,000 ;- ;1,250 ;8 ;240 ;-- ;2,800 15,000 ;- ;30 40 ;3 ;68 192 ;13 20 ;22 26 ;2 20 ;100 530 ;72 230 ;144 450 ;- - ;50 200 ;460 ;
Näs Sal ;10 ;140 200 ;- - ;1.500 900 ;;1,680 350 ;- - ;12,600 6,300 ;- - ;2,161 640 ;25,000 16,920 ;- ;900 1,160 ;80 - ;700 800 ;- - ;7,200 ;- - ;;- - ;75 ;20 ;8 ;;180 ;70 ;140 ;- ;50 ;;
Särestad ;;205 ;-- ;1,850 ;40 ;1,250 ;- ;7,250 ;- ;590 ;13,300 ;500 ;1,200 ;- ;820 ;- ;6,000 ;- ;25 ;- ;132 ;30 ;28 ;9 ;295 ;200 ;300 ;;150 ;;
Tun ;;;;1,890 ;;900 ;- ;20,412 ;- ;1.890 ;16.470 ;;756 ;;;- ;12,600 ;- ;- ;- ;150 ;25 ;35 ;15 ;450 ;60 ;170 ;2 ;140 ;;
Täng ;5 ;95 ;;600 ;8 ;900 ;;5,940 ;- ;650 ;18,000 ;480 ;2,520 ;30 ;475 ;- ;4,800 ;- ;- ;- ;84 ;14 ;14 ;;153 ;100 ;200 ;;40 ;;
As ;3 ;210 ;- ;600 ;- ;1.000 ;40 ;6,600 ;- ;600 ;31,000 ;840 ;500 ;9 ;- ;- ;4,200 ;- ;- ;-- ;123 ;50 ;40 ;10 ;300 ;100 ;200 ;- ;60 ;;
Summa Ase härad ;45 ;1,780 ;- ;13,260 ;85 ;15,320 ;540 ;83,742 ;- ;10,391 ;210,850 ;8,260 ;14,581 ;242 ;6,805 ;- ;78,275 ;49,000 ;165 ;63 ;1,274 ;286 ;229 ;79 ;2,993 ;1,192 ;2,354 ;2 ;965 ;580 ;
Bjerby ;- ;100 ;- ;600 ;- ;1,200 ;- ;5,600 ;- ;600 ;18,000 ;900 ;960 ;- ;600 ;- ;4,200 ;- ;- ;- ;65 ;15 ;20 ;;180 ;80 ;200 ;- ;50 ;;
Bäreberg ;;30 ;- ;1,300 ;- ;800 ;- ;9,000 ;- ;45 ;34,000 ;;375 ;- ;90 ;- ;13,000 ;- ;- ;- ;150 ;25 ;10 ;5 ;370 ;100 ;400 ;- ;100 ;;
Fiakeberg ;10 ;270 ;- ;1,250 ;- ;3,456 ;- ;11,736 ;- ;1,650 ;53.200 ;1,400 ;7,320 ;X 90 ;1,870 ;- ;8,750 ;;;- ;124 ;33 ;30 ;5 ;303 ;128 ;367 ;- ;75 ;;
Främmestad ;;;- ;4,500 ;;1,500 ;- ;27,300 ;- ;3,640 ;71,680 ;;1,800 ;;;- ;45,000 ;33,000 ;80 ;- ;267 ;93 ;29 ;14 ;897 ;302 ;196 ;- ;85 ;;
Hyringa ;5 ;300 ;- ;1,410 ;10 ;1,750 ;- ;5,000 ;- ;1,000 ;25,000 ;1,000 ;350 ;X 30 ;1,000 ;- ;9,200 ;- ;60 ;- ;130 ;30 ;30 ;8 ;310 ;120 ;300 ;- ;80 ;;
Levene, del ;- ;300 ;- ;150 ;;1,440 ;- ;5,600 ;- ;600 ;35,000 ;1,200 ;900 ;- ;1,800 ;- ;1,350 ;- ;- ;- ;60 ;6 ;20 ;4 ;160 ;60 ;160 ;- ;70 ;;
Längnum ;- ;;- ;150 ;- ;732 ;- ;3.460 ;- ;468 ;4,000 ;600 ;480 ;- ;;- ;730 ;- ;- ;- ;60 ;;14 ;2 ;120 ;52 ;100 ;- ;60 ;;
Malma ;- ;70 ;- ;1,700 ;;1.350 ;- ;10,850 ;- ;630 ;38.000 ;120 ;750 ;;420 ;- ;8.500 ;- ;;;150 ;10 ;35 ;9 ;430 ;170 ;480 ;- ;78 ;;
Sparlösa ;5 ;375 ;- ;3,150 ;30 ;2.800 ;;8.232 ;- ;1,800 ;65,885 ;3,000 ;2,400 ;40 ;2,250 ;- ;18,900 ;- ;60 ;10 ;254 ;58 ;14 ;14 ;550 ;145 ;290 ;- ;230 ;;
Tengene ;- ;100 ;- ;1,500 ;100 ;2.400 ;100 ;12,480 ;- ;1,800 ;30,000 ;2,000 ;1,080 ;;400 ;- ;12,000 ;- ;350 ;;140 ;35 ;30 ;12 ;325 ;120 ;450 ;- ;100 ;;
Trökörna ;- ;85 ;- ;1,400 ;- ;3,600 ;- ;11,880 ;- ;300 ;38,115 ;150 ;540 ;- ;510 ;- ;12,600 ;- ;- ;60 ;144 ;35 ;39 ;10 ;360 ;140 ;278 ;- ;83 ;;
