Table: Table_1

1. ;2. ;3. ;4. ;;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17 ;18. ;19. ;20. ;21. ;22. ;23. ;24 ;25. ;26. ;27. ;28, ;29. ;30. ;31. ;32 ;33. ;34. ;35. ;
Borgunda ;33 ;77 ;;42 ;16 ;2,104 ;320 ;660 ;20 ;60 ;17 ;- ;42 ;60 ;17 ;- ;320 ;620 ;23 ;128 ;- ;1 ;10 ;600 ;;320 ;;- ;1,600 ;- ;403 ;4,428 ;512 ;92 ;
Broddetorp ;6,88 ;25 ;;16 ;15 ;424 ;121 ;655 ;;;;- ;;;;;52 ;162 ;3 ;14 ;;;;109 ;;52 ;31 ;;264 ;;98 ;1,184 ;;15 90 ;
Brunnhem ;12,75 ;;;;20 ;655 ;25 ;70 ;6 ;30 ;10 ;;;;;;116 ;250 ;27 ;55 ;2 ;;;88 ;;116 ;8 ;;650 ;;225 ;1,674 ;378 ;;
Dala ;28,69 ;;;33 ;50 ;2,150 ;100 ;700 ;;28 ;22 ;2 ;;;;;280 ;570 ;30 ;60 ;20 ;3 ;300 ;600 ;;280 ;30 ;;1,500 ;;400 ;5,400 3,150 ;;150 ;
Edâsa ;6,85 ;;;42 ;12 ;1,500 ;125 ;2,383 ;5 ;10 ;2 ;1 ;;;;;325 ;410 ;10 ;41 ;2 ;2 ;76 ;325 ;;299 ;63 ;;155 ;- ;;;;84 ;
Falköpings landsförsamling ;10 ;31 ;;4 ;10 ;500 ;170 ;20 ;3 ;25 ;;;;;;;95 ;200 ;5 ;45 ;;;50 ;200 ;;95 ;;- ;420 ;- ;200 ;2,000 ;;;
Friggeräker ;17,88 ;55 ;;8 ;11 ;1,025 ;869 ;10 ;;30 ;17 ;;;;;1 ;80 ;560 ;3 ;26 ;3 ;;1,000 ;160 ;2 ;80 ;10 ;- ;480 ;- ;450 ;2,000 ;25 ;15 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,600 ;;32 ;
Gudhem ;21 ;59 ;;34 ;27 ;2,200 ;280 ;1,000 ;47 ;2 ;;;;;;;270 ;640 ;9 ;100 ;92 ;4 ;467 ;400 ;;270 ;70 ;;1,110 ;;900 ;;;;
Hornborga H&kantorp ;15,68 6,81 ;43 17 ;;45 19 ;11 6 ;540 510 ;435 300 ;14 340 ;;36 17 ;;;;6 ;;1 ;90 90 ;175 160 ;10 6 ;140 133 ;5 5 ;5 5 ;13 10 ;22 20 ;5 ;75 85 ;50 15 ;10 ;500 440 ;20 - ;245 80 ;2,000 1,560 ;1,000 100 ;50 95 ;
Högstena ;14,75 ;75 ;;;3 ;5,475 ;182 ;;- ;27 ;47 ;;;;;;88 ;800 ;15 ;120 ;- ;2 ;37 ;34 ;- ;88 ;;;88 ;- ;45 ;590 ;62 ;15 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kyrketorp ;10,63 ;30 ;;10 ;5 ;650 ;194 ;;1 ;19 ;10 ;;3 ;16 ;;;82 ;370 ;8 ;35 ;2 ;4 ;96 ;170 ;;82 ;20 ;- ;477 ;- ;325 ;2,700 ;150 ;40 ;
