Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;56. ;58. ;59. ;66. ;67. ;68. ;69. ;70 ;71. ;72. ;73. ;74. ;75. ;
Svenneby ;6 ;38 ;- ;690 ;3 ;2,280 ;- ;1,375 ;- ;420 ;5,040 ;420 ;470 ;18 ;228 ;- ;4,830 ;- ;6 ;- ;34 ;16 ;80 ;6 ;280 ;40 ;60 ;- ;36 ;- ;
Säter ;;;;5,457 ;24 ;300 ;- ;9,960 ;- ;3,087 ;13,675 ;;900 ;- ;;- ;43,656 ;- ;120 ;-- ;46 ;15 ;142 ;5 ;358 ;160 ;360 ;- ;90 ;;
Torsö ;;30 ;;5,850 ;- ;1,360 ;-- ;13,120 ;- ;148 ;25,980 ;- ;735 ;- ;145 ;- ;52,000 ;- ;;- ;40 ;4 ;263 ;7 ;583 ;197 ;580 ;- ;187 ;;
Tidavad ;44 ;63 ;;409 ;;908 ;50 ;1,496 ;;75 ;6.172 ;;600 ;132 ;189 ;- ;1,228 ;- ;;- ;29 ;11 ;100 ;4 ;200 ;50 ;120 ;;25 ;;
Tived. ;20 ;;;3,000 ;61 ;240 ;150 ;4,100 ;80 ;150 ;10,050 ;150 ;160 ;110 ;;- ;12,000 ;- ;250 ;;60 ;;140 ;4 ;350 ;250 ;900 ;- ;110 ;;
Trästena ;;25 ;;1,500 ;9 ;2,400 ;- ;5,500 ;- ;;38,000 ;1,000 ;100 ;- ;100 ;- ;12,000 ;- ;1,000 ;12 ;50 ;8 ;90 ;8 ;230 ;120 ;120 ;- ;25 ;;
Timmersdala ;;13 ;;510 ;20 ;456 ;- ;1,520 ;- ;100 ;3,500 ;540 ;250 ;- ;52 ;- ;2,550 ;- ;80 ;- ;25 ;4 ;36 ;;112 ;40 ;150 ;- ;25 ;;
Ullervad ;;75 ;;3,000 ;10 ;6,400 ;- ;17,600 ;- ;1,080 ;33,600 ;- ;900 ;;750 ;- ;30,000 ;- ;10 ;- ;80 ;12 ;200 ;6 ;350 ;150 ;160 ;- ;200 ;;
Utby ;3 ;30 ;;643 ;3 ;1,400 ;60 ;4.350 ;;160 ;12,066 ;- ;1,575 ;12 ;210 ;- ;6.430 ;- ;9 ;;23 ;9 ;136 ;5 ;250 ;43 ;20 ;;50 ;;
Undenäs ;40 ;330 ;-- ;11,160 ;180 ;750 ;160 ;25,710 ;600 ;;54,000 ;- ;644 ;400 ;- ;- ;89,280 ;- ;- ;180 ;103 ;9 ;616 ;35 ;1,235 ;700 ;1,600 ;10 ;450 ;;
Vad. ;- ;;;900 ;;800 ;;1,000 ;- ;;5,000 ;- ;200 ;- ;;- ;2,700 ;- ;- ;- ;15 ;2 ;100 ;2 ;150 ;30 ;100 ;-- ;15 ;;
Väring ;- ;40 ;;1,750 ;- ;3,500 ;140 ;12,650 ;- ;120 ;16,450 ;- ;980 ;- ;320 ;- ;10,500 ;- ;- ;- ;40 ;13 ;250 ;5 ;360 ;80 ;200 ;- ;90 ;- ;
Summa Vadsbo härad ;333 ;2.501 ;- ;114,088 ;901 ;89,199 ;2,468 ;436,387 ;2.510 ;17,742 ;1,101,790 ;7,775 ;47,440 ;1.682 ;7,645 ;- ;882.051 ;32,350 ;2,561 ;423,70 ;2,435 ;441 ;9,290 ;324 ;17,999 ;8.110 ;15,243 ;10 ;4.712 ;- ;
Summa för landsbygden ;579 ;28,475 ;13 ;659,390 ;3,480 ;315,424 ;9,083 ;2,101,607 ;15,933 ;276,269 ;6,536,905 ;194,296 ;204,560 ;2,934 ;123,051 ;77 ;4,725,485 ;441,266 ;7,865 ;1,302,10 ;21,354 ;5,215 ;27,766 ;1,627 ;81.628 ;34,093 ;71,703 ;30 ;23.919 ;1.080 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mariestad ;12 ;- ;- ;350 ;- ;960 ;- ;3.600 ;- ;60 ;10,400 ;- ;120 ;- ;- ;- ;2,800 ;2,400 ;- ;- ;38 ;2 ;36 ;3 ;120 ;24 ;32 ;- ;40 ;- ;
Lidköping ;- ;- ;- ;800 ;- ;;- ;10,650 ;- ;480 ;10,500 ;;;- ;;- ;8,000 ;16,000 ;- ;- ;110 ;2 ;;4 ;335 ;20 ;5 ;- ;60 ;- ;
Skara ;2 ;155 ;- ;3,750 ;- ;1,820 ;- ;7,552 ;- ;975 ;15,047 ;1,525 ;1,240 ;10 ;465 ;- ;33,750 ;;- ;- ;80 ;5 ;34 ;3 ;225 ;32 ;33 ;- ;25 ;- ;
Sköfde ;- ;;- ;1.570 ;- ;300 ;- ;5,985 ;- ;;15,470 ;;240 ;- ;;- ;14,130 ;;- ;;55 ;5 ;40 ;5 ;255 ;35 ;20 ;- ;65 ;- ;
Falköping ;- ;30 ;- ;2.100 ;- ;;- ;3.600 ;- ;9,000 ;26,500 ;;180 ;- ;180 ;- ;10,500 ;800 ;- ;- ;60 ;6 ;20 ;4 ;200 ;50 ;50 ;- ;50 ;- ;
Hjo. ;- ;30 ;- ;5,300 ;- ;70 ;40 ;3.672 ;280 ;60 ;3.900 ;60 ;50 ;- ;120 ;- ;31.800 ;- ;- ;- ;45 ;- ;30 ;1 ;150 ;20 ;20 ;- ;140 ;- ;
Summa för städerna ;14 ;215 ;- ;13.870 ;- ;3.150 ;40 ;35.059 ;280 ;10,575 ;81.817 ;1,585 ;1,830 ;10 ;765 ;- ;100.980 ;19,200 ;- ;- ;388 ;20 ;164 ;20 ;1.285 ;181 ;160 ;- ;380 ;- ;
Summa för hela länet ;593 ;28.690 ;13 ;$73.260 ;3.480 ;318,574 ;9.123 ;2,136,666 ;16,213 ;286,844 ;6,618,722 ;195,881 ;206,390 ;2,944 ;123,816 ;77 ;4,826,465 ;460,466 ;7,865 ;1,302,1 ;21,742 ;5.235 ;27,930 ;1,647 ;82.913 ;34,274 ;71,863 ;30 ;24,299 ;1.080 ;





