Table: Table_1

1. ;36. ;37. ;38 ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;56. ;58. ;59. ;60. ;61 ;66. ;67. ;68 ;69 ;70. ;71. ;72. ;73. ;74. ;75. ;
Borgunda ;;;;3,200 ;15 ;;- ;6,400 ;- ;1,200 ;16,000 ;1,600 ;200 ;;- ;;12,800 ;- ;25 ;7 ;- ;2,800 ;60 ;45 ;198 ;7 ;360 ;130 ;300 ;;100 ;;
Broddetorp ;;;;496 ;;;;;;;;;;;;;;;;-- ;- ;;;;;;;;;;;;
Brunnhem ;;30 ;;2,040 ;6 ;;- ;2,275 ;- ;900 ;7.533 ;1814 ;180 ;- ;60 ;;10,200 ;200 ;24 ;;- ;;;;;;;;;;;;
Dala ;;;;2,500 ;15 ;120 ;;6,000 ;- ;1,600 ;21,600 ;;300 ;;;;11,000 ;;;;;;;;;;;;;;;;
Edâsa ;;;;1,512 ;13 ;315 ;;6,120 ;;;18,900 ;- ;336 ;;;;10.584 ;;78 ;;;;;;;;;;;;;;
Falköpings landsförsamling ;;;;900 ;;;;1,200 ;- - ;700 ;6,000 ;;;;60 ;;4,500 ;3,000 ;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Friggeraker ;;;;950 ;;;;1,575 ;;2.500 ;6,600 ;240 ;60 ;;;;3.800 ;2.500 ;20 ;3 ;7,500 ;10.500 ;;;;;;;;;;;
Gudhem ;;160 ;;1,820 ;;140 ;;5,550 ;- ;6,300 ;36,800 ;;160 ;;;;12,740 ;645,000 ;;;2,000 ;10,000 ;100 ;;;;;;;;;;
Hornborga ;2 ;;;10.000 ;3 ;100 ;18 ;2,500 ;30 ;400 ;8,000 ;2,000 ;100 ;3 ;;;50,000 ;500 ;5 ;5 ;;1,000 ;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;3 ;;;;;;;;;;;;;;
Hâkantorp ;;;;1,000 ;3 ;50 ;;2,500 ;- ;250 ;4,800 ;600 ;250 ;;;;4,500 ;120 ;;;;;;;;;;;;;;;
Högstena ;;;;400 ;;;;340 ;- ;150 ;2,000 ;175 ;45 ;;;;1,000 ;;4 ;;;;;;;;;;;;;;
Kyrketorp ;;15 ;;1,260 ;3 ;100 ;;2,900 ;- ;1,000 ;11,900 ;500 ;;;X 50 ;;8,000 ;- ;- ;3 ;;;;;;;;;;;;;
Ljunghem ;;;;901 ;;288 ;- ;3,815 ;- ;;10,925 ;;;;;;7,208 ;- ;;;;;;;;;;106 ;;;;;
Rádene ;;;;1,250 ;10 ;48 ;- ;2,840 ;- ;550 ;12,825 ;;60 ;;;;6,250 ;;5 ;;;;;;;;;;;;;;
Segerstad ;;;;1,895 ;;;;3,515 ;- ;1,170 ;6,612 ;532 ;90 ;;;;9,475 ;100 ;;31 ;;2,000 ;;;;;;150 ;;;;;
Stenstorp ;;;;1,500 ;20 ;150 ;;6,500 ;- ;840 ;17,200 ;240 ;100 ;;;;14,000 ;600 ;;12 ;;8,500 ;;;;;;;;;;;
Sjögerstad ;;60 ;;3,600 ;15 ;2,250 ;;7,350 ;- ;6,140 ;26,600 ;;750 ;;180 ;;18,000 ;;38 ;;;;;;;;;;;;;;
Sätuna ;;;;2,000 ;;;;1.800 ;;450 ;3,900 ;;100 ;;;;6,000 ;300 ;;;;200 ;;;;;;;;;;;
Torbjörntorp ;;10 ;;225 ;;20 ;;1,100 ;;400 ;2,321 ;;;;80 ;;1,140 ;5,000 ;;10 ;;100 ;;;;;;;;;;;
Tunhem ;;;;1,700 ;6 ;80 ;50 ;4,500 ;;2,000 ;12,500 ;;;;;;14,000 ;;4 ;;;200 ;;;;;;;;;;;
Ugglum ;;;;1,600 ;;50 ;;1,200 ;- ;1,500 ;7,200 ;;60 ;;20 ;;9,600 ;- ;- ;;50 ;800 ;;;;;;;;;;;
Valtorp ;;60 ;;950 ;- ;125 ;- ;2,000 ;- - ;800 ;9,000 ;40 ;150 ;- ;160 ;- ;3.000 ;- ;;;;;30 ;6 ;;;150 ;30 ;100 ;;;;
Summa Gudhems härad ;X 2 ;873 ;- ;66,484 ;135 ;3,918 ;68 ;88,730 ;1,005 ;29,700 ;291,216 ;7,741 ;4,184 ;3 ;791 ;- ;387,797 ;657,320 ;208 ;71 ;9,558 ;36,100 ;1,069 ;377 ;1,812 ;89 ;4,343 ;1,936 ;3,269 ;4 ;1,514 ;- ;
Bolum ;- ;100 ;;2,350 ;- ;150 ;45 ;5,550 ;- ;2,000 ;20,000 ;4,800 ;600 ;- ;300 ;- ;11,750 ;- ;-- ;- ;- ;- ;75 ;25 ;120 ;2 ;160 ;230 ;250 ;;;;
Eggby ;;;;4,000 ;;150 ;;7,800 ;- ;1,500 ;15,000 ;720 ;400 ;- ;;- ;24,000 ;- ;- ;- ;- ;- ;63 ;;100 ;6 ;300 ;80 ;250 ;;;;
Häggum ;- ;;- ;2,850 ;6 ;120 ;80 ;3,080 ;;560 280 ;33,500 14,500 ;725 ;125 280 ;- ;10 ;- ;17,100 20,000 ;3,110 ;40 ;70 ;800 ;2,560 ;;;40 102 ;4 ;318 220 ;240 ;250 ;;;;
Istrum Lundby ;- ;30 ;;2,500 100 ;8 - ;180 ;50 100 ;4,450 2,800 ;100 - ;;1,350 ;- ;;;150 ;- - ;700 ;- ;;- ;- ;- ;;10 ;12 ;3 ;100 ;70 150 ;210 300 ;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;6 ;;;;;;;
Skarke ;;150 ;;4.000 ;- ;240 ;40 ;8,750 ;- ;2,500 ;12,500 ;500 ;1.250 ;;600 ;- ;24,000 ;;;- ;;;;14 ;80 ;;325 ;125 ;285 ;;;;
Skärf ;;;;1.850 ;- ;225 ;;2,848 ;;720 ;9,000 ;;180 ;;- ;;14,800 ;6,000 ;- ;;;;40 ;;80 ;4 ;210 ;;150 ;;;;
Stenum ;;;;2,872 ;;270 ;..... ;2,320 ;- ;360 ;11,340 ;- ;80 ;;;;22,976 ;5,000 ;- ;- ;500 ;;;;120 ;4 2 ;260 ;140 ;270 ;;;;
