Table: Table_1

1. ;36. ;37. ;38. ;39. ;40. ;;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52 ;53. ;54. ;55. ;56. ;58. ;59. ;60. ;61. ;66. ;67. ;68. ;69, ;70. ;71. ;72. ;73 ;74. ;75. ;
Borgunda ;;;- ;3,200 ;15 ;;- ;- ;6,300 ;;1,200 ;15,500 ;200 ;190 ;;- ;- ;12,700 ;- ;25 ;7 ;;2,800 ;60 ;50 ;198 ;7 ;370 ;125 ;300 ;;100 ;;
Broddetorp ;;;;;;;161 ;;;;;;;;;;;;;;;;;;;33 ;;86 ;zu ;18 ;;;;
Brunnhem ;;;;2.000 ;6 ;;;;3,224 ;;1,000 ;;1,600 ;150 ;;;;1.000 ;200 ;27 ;;;;;10 ;;;130 ;;100 ;;;;
Dala ;;;;2,500 ;;;150 ;;9,000 ;;200 ;21,600 ;;300 ;;;;12,500 ;;;;;;57 ;16 ;148 ;;260 ;145 ;190 ;;;;
Edâsa ;;80 ;;1,512 ;13 ;;400 ;;9,569 ;;;22,500 ;;208 ;;480 ;;10,584 ;;78 ;;;;40 ;4 ;120 ;7 ;330 ;120 ;140 ;;;;
Falköpings landsförsamling ;;;;;;;;;1,200 ;;700 ;6,000 ;;;;;;3.500 ;;;;;;39 ;10 ;to ;2 ;200 ;;100 ;;;;
Friggeräker ;;;;1,600 ;5 ;;72 ;- ;1,950 ;;3.000 ;7,000 ;X 250 ;125 ;;210 ;;;4,000 ;15 ;;11,000 ;10,000 ;;20 ;;;;;;;;;
Gudhem ;;160 ;;1,820 ;6 ;;560 ;;9,990 ;;7,200 ;32,200 ;;160 ;;;;9,100 ;76,860 ;;;2,000 ;16,000 ;115 ;50 ;60 ;8 ;400 ;120 ;200 ;;;;
Hornborga ;;;;10,000 ;3 ;;100 ;18 ;2,500 ;;;8,000 ;2,000 ;199 ;3 ;;;50,000 ;;;;;1,000 ;;;;;;;;;;;
Hâkantorp ;;;;;;;50 ;;3,000 ;;250 ;5,500 ;6oo ;700 ;;200 ;;;120 ;;;;;;;;;185 ;;;;;;
Högstena ;;;;2.400 ;;;24 ;- ;2,200 ;;1,620 ;24,948 ;1,860 ;240 ;;180 ;;19,200 ;;4 ;;;2,176 ;40 ;15 ;;;120 ;50 ;145 ;;;;
