Table: Table_1

;1, ;2. ;;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10 ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25 ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;;
;Flo ;33:78 ;;62 ;58 ;12.034 ;60 ;5,515 ;129 ;6,330 ;;15 ;27 ;;4 ;12 ;9 ;3 ;720 ;1,615 ;150 ;185 ;10 ;5 ;800 ;1.300 ;10 ;720 ;1,200 ;- ;2,400 ;- ;775 ;12,852 ;100 ;438 ;;
;Friel ;11:06 ;;;29 ;3,703 ;;1.180 ;;205 ;;;;1 ;;;1 ;;200 ;430 ;30 ;20 ;;;;334 ;- ;160 ;100 ;;1,000 ;- ;150 ;2.900 ;260 ;80 ;;
;H&le ;12:50 ;;;;2.314 ;18 ;2,134 ;21 ;10 ;;;;;;;;;153 ;600 ;;;3 ;;100 ;150 ;-- ;150 ;250 ;;675 ;- ;100 ;4,975 ;600 ;175 ;;
;Karaby ;;;;;1,389 ;9 ;1,380 ;;;;;;;;;3 ;;110 ;690 ;;;;;200 ;210 ;- ;100 ;140 ;;410 ;;200 ;4,550 ;;240 ;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nas Sal. ;24:13 ;;;131 ;9,489 ;60 ;2,800 ;400 ;5,250 ;5 ;;;;;;;;340 ;1,000 ;;;25 ;;300 ;600 ;;410 ;120 ;;1,600 ;;400 ;7.000 ;;140 ;;
;;10:18 ;;;;1,851 ;33 ;1,700 ;;;;;;;;;;;212 ;500 ;;;;;216 ;432 ;- ;216 ;;;1,050 ;;160 ;4.230 ;;290 ;;
;Särestad ;18:50 ;;128 ;19 ;4,629 ;35 ;3,000 ;25 ;71 ;3 ;;;;12 ;;;1 ;375 ;750 ;;76 ;10 ;10 ;375 ;750 ;32 ;375 ;340 ;50 ;1.800 ;;125 ;9,072 ;;400 ;;
;Tun ;22:88 ;;;;4,860 ;54 8 ;3,146 ;212 ;1.142 ;;;;2 ;;16 ;;;340 ;980 ;200 ;;30 ;;480 ;683 ;;380 ;80 ;;1,800 ;;300 ;6,100 ;600 ;350 ;;
10 ;Täng As ;9:75 17:88 ;;66 ;12 ;2,777 3,934 ;15 ;1,755 2,460 ;6 25 ;200 - ;;;29 ;3 ;;- ;- ;;200 250 ;673 570 ;60 50 ;40 ;6 ;;300 580 ;504 750 ;- - ;210 250 ;180 250 ;10 ;990 1,300 ;- ;130 200 ;4,500 7,450 ;120 200 ;360 150 ;10 ;
;Âse härad ;169:11 ;;678 ;319 ;46,980 ;300 ;25,070 ;823 ;13,208 ;29 ;330 ;188 ;10 ;64 ;72 ;24 ;5 ;2,900 ;7,808 ;800 ;566 ;95 ;44 ;3,351 ;5,713 ;42 ;2,971 ;2,730 ;62 ;13,025 ;- ;2,540 ;63,629 ;1,880 ;2,623 ;;
11 ;Bjerby ;8:95 ;;40 ;;2,314 ;16 ;1,490 ;;524 ;;;12 ;;;;- ;;185 ;525 ;75 ;;5 ;3 ;195 ;290 ;- ;185 ;190 ;- ;810 ;- ;100 ;4,000 ;;150 ;11 ;
12 ;Bäreberg ;12:95 ;;103 ;;5,092 ;19 ;1,615 ;;985 ;10 ;;;;;;;;205 ;805 ;17 ;;;;;311 ;- ;205 ;85 ;;925 ;;12 ;7,745 ;;73 ;;
18 ;Flakeberg ;15:95 ;;89 ;10 ;3,240 ;25 ;2,190 ;;710 ;4 ;;;;;3 ;1 ;;273 ;628 ;150 ;40 ;5 ;2 ;273 ;546 ;- ;273 ;375 ;35 ;1,230 ;;295 ;5,205 ;150 ;173 ;13 ;
14 ;'rämmestad ;19:69 ;;134 ;;11,109 ;;3,800 ;75 ;;;;;;;;;;475 ;1,220 ;50 ;130 ;15 ;10 ;475 ;950 ;- ;475 ;120 ;;2,255 ;- ;240 ;10,620 ;;180 ;14 ;
15 ;Hyringa ;16:44 ;;56 ;51 ;4,397 ;10 ;2,555 ;10 ;806 ;;;;;;2 ;1 ;;321 ;859 ;19 ;45 ;3 ;3 ;361 ;613 ;- ;326 ;201 ;;1.249 ;- ;299 ;7.001 ;58 ;102 ;15 ;
16 ;Levene, (del) ;7*88 ;;;;2,314 ;18 ;1,400 ;10 ;300 ;;;;;;;i ;;;;2° ;$5 ;5 ;10 ;;358 ;- ;;160 ;;8oo ;- ;100 ;8oo ;200 ;;16 ;
17 ;Längnum ;13:39 ;;;;1,620 ;;1,374 ;;;;;;;;;;;;;;;;;217 ;;- ;;200 ;;300 ;- ;200 ;3,000 ;200 ;;17 ;
;Malma. ;14:75 ;;95 ;44 ;5,554 ;8 ;3,682 ;10 ;1.300 ;;;;;;;;;272 ;1.416 ;39 ;44 ;;;200 ;437 ;- ;272 ;158 ;;1,560 ;- ;;8,825 ;;121 ;18 ;
;Sparlösa ;22:13 ;;100 ;;6,480 ;55 ;3,735 ;48 ;890 ;;;;;;;;;375 ;1,465 ;150 ;100 ;20 ;;230 ;900 ;- ;490 ;468 ;;1.404 ;- ;290 ;13,775 ;580 ;255 ;19 ;
;Tengene ;15:88 ;;87 ;;5,554 ;;3,075 ;40 ;;;;;;;;16 ;;410 ;1,100 ;20 ;;;15 ;360 ;700 ;;410 ;400 ;;1,570 ;;400 ;7.700 ;400 ;200 ;20 ;
21 ;Trökörna ;18:56 ;;107 ;86 ;8,100 ;20 ;1,925 ;40 ;3,495 ;;;;1 ;;;;;260 ;710 ;40 ;40 ;;5 ;160 ;450 ;- ;260 ;260 ;;1.100 ;- ;40 ;7,000 ;;40 ;21 ;
;Viste härad ;164:47 ;;886 ;464 ;55,774 ;178 ;26,841 ;401 ;9,015 ;56 ;485 ;130 ;10 ;37 ;142 ;23 ;I ;3,051 ;9,718 ;665 ;619 ;53 ;69 ;2,571 ;5,747 ;- ;3,171 ;2,617 ;35 ;13.203 ;- ;2,072 ;75,671 ;1,500 ;1,694 ;;
;Gösslunda ;22:63 ;;48 ;62 ;3,703 ;X 40 ;2,315 ;5 ;560 ;;;;;;;;;300 ;1,005 ;172 ;;;;;440 ;- ;260 ;440 ;;960 ;- ;310 ;8.520 ;60 ;430 ;22 ;
;Hjerpas, Höra och Vedum ;28:05 ;;175 ;100 ;8,794 ;88 ;4,822 ;298 ;2.090 ;;;;;;;;;680 ;1,760 ;273 ;;;;191 ;1,198 ;;590 ;540 ;;2,860 ;- ;200 ;14,700 ;1,560 ;300 ;25 ;
;Häggesled ;10:38 ;;54 ;34 ;2,314 ;30 ;1,450 ;20 ;;;;;;;;;;150 ;320 ;;;10 ;;418 ;270 ;;160 ;174 ;;725 ;;140 ;3,858 ;270 ;200 ;24 ;
;Kedum. Lavad ;11 9:50 ;;26 37 ;30 ;2.083 3,703 ;11 27 ;1,070 1,371 ;58 168 ;;;;;;;;;;150 161 ;443 600 ;35 ;;3 ;;98 200 ;243 460 ;- - ;130 160 ;156 240 ;;480 550 ;- ;228 170 ;2,028 4,425 ;130 ;180 192 ;25 26 ;
27 ;Levene, (del) 1) Mellby ;.9'25 16:38 ;;;32 ;3,471 5,091 ;35 ;2,468 2,650 ;3° ;2.501 ;;;;;;;;;;;;;;;320 ;600 ;- - ;;;;1.750 ;50 ;350 ;5,058 7,800 ;400 50 ;200 ;27 28 ;
29 ;Otterstad med Senäte ;30-88 ;;82 ;139 ;15,506 ;78 ;2,885 ;480 ;6,960 ;;;;;;;;;690 ;;195 ;;;;;590 ;- ;460 ;1,090 ;;1.630 ;- ;750 ;6.270 ;;670 ;29 ;
;Rackeby ;22 ;;47 ;;4,397 ;38 ;2,231 ;16 ;400 ;;;;;;;;;;;;;;;;636 ;;318 ;;;1.392 ;;600 ;5,150 ;;240 ;so ;
;Râda ;20'13 ;;46 ;;5,554 ;38 ;2,746 ;30 ;2,740 ;;;;;;;;;;;100 ;;;;;;;;;;1.568 ;- ;786 ;8,398 ;;529 ;31 ;
;Skalunda ;10:68 ;;35 ;;1,620 ;18 ;1,564 ;;;;;;;;;;;;590 ;;;;;;317 ;;;600 ;;800 ;- ;425 ;5.000 ;50 ;380 ;32 ;
;Slädene ;16:50 ;;87 ;;2,083 ;10 ;2) 2,500 ;65 ;1,805 ;;;;;;;;;;700 ;100 ;150 ;;;;350 ;;;560 ;;1.780 ;;200 ;6,400 ;200 ;500 ;33 ;
;Strö ;12:50 ;;15 ;;4,629 ;50 ;1,000 ;225 ;1,495 ;;;;;;;;;;;;;;;;;;;340 ;;340 ;- ;540 ;1,638 ;;300 ;34 ;
;Sunnersberg Söne. ;27:88 15 ;;90 ;;6,711 4,397 ;21 9 ;4,280 1,453 ;25 180 ;2,385 200 ;;;;;;;;;;1,700 ;150 ;;;;;;;;190 ;;3,200 720 ;10 ;2,450 600 ;11,500 3.430 ;200 100 ;800 300 ;35 36 ;
;Tranum ;15:13 ;;64 ;;3.472 ;;2,195 ;;1.207 ;;;;;;;;;;;180 ;;;;180 ;;;;400 ;;950 ;;580 ;5,700 ;250 ;300 ;37 ;
;Tâdene ;9:25 ;;;;2.546 ;20 ;950 ;;832 ;;;;;;;;;;;;;;;;;;;260 ;;550 ;- ;220 ;2,400 ;50 ;100 ;38 ;
;Ufvered ;16:25 ;;50 ;;3) 3.240 ;20 ;2,950 ;260 ;;;;;;;;;;;;100 ;;;;;;;;200 ;;1,750 ;- ;260 ;7,710 ;260 ;300 ;39 ;
;Väla och Gillstad ;16:75 ;;;;6.249 ;;2,100 ;;3.580 ;;;;;;;;;;;;;;;;;;;210 ;;1,620 ;;200 ;6,600 ;;100 ;40 ;
;Asaka ;;;;;1.620 ;;1.235 ;;;;;;;;;;;;;;;;;;;;;200 ;;1,000 ;;200 ;5,000 ;;150 ;;
42 ;Orslösa ;19:75 ;;71 ;;5,786 ;20 ;3,600 ;;2.136 ;;;;;;;;;;;;;;;;;;;800 ;;1.800 ;- ;600 ;10,000 ;600 ;1,000 ;41 49 ;
;K&llands härad ;356,34 ;;1,261 ;1,097 ;³) 96,969 ;622 ;47,735 ;2,003 ;31,666 ;116 ;;296 ;;;354 ;;;6,716 ;16,843 ;2,096 ;1,215 ;380 ;79 ;3,948 ;10,361 ;81 ;5,992 ;9,410 ;88 ;28,009 ;60 ;10,101 ;131,585 ;4,180 ;7,391 ;;
;Eling ;10 ;;59 ;;4,397 ;;940 ;350 ;;;;;;;;;;;500 ;;;;;;;- ;100 ;20 ;;620 ;24 ;66 ;5.200 ;60 ;;;
;Essunga ;22:69 ;;215 ;185 ;10,414 ;15 ;2,625 ;;;;;;;;;;;;1.000 ;10 ;170 ;25 ;;;250 ;- ;300 ;;;1,500 ;50 ;100 ;10,000 ;200 ;;43 " ;
45 ;Foglum ;11 ;;;;4.629 ;18 ;1,280 ;600 ;168 ;;;;;;;;;;;;65 ;;;;;- ;145 ;65 ;4 ;700 ;2 ;185 ;8,200 ;40 ;;45 ;
46 ;Hällum ;7:50 ;;37 ;;, 2,315 ;;1,753 ;10 ;;;;;;;;;;218 ;562 ;54 ;20 ;15 ;;218 ;436 ;- ;218 ;;;163 ;;20 ;786 ;150 ;20 ;46 ;
;Kedum ;13:56 ;;142 ;;5,323 ;40 ;2,832 ;135 ;2,339 ;;;;;;;;;330 ;1,125 ;50 ;50 ;;;250 ;690 ;- ;327 ;160 ;;1,330 ;10 ;;;;;;
;;;;;;3,934 ;15 ;;;450 ;;;;;;;;;;;27 ;;8 ;9 ;;;;;;;;;85 ;11,000 ;50 ;60 ;47 ;
49 ;Lekasa Levene, (del) 1) ;11:50 ;;48 ;;926 ;;1,636 ;94 20 ;;;;;;;;;;180 ;785 ;;50 28 ;;;67 189 ;318 ;;183 ;65 ;;878 ;20 ;130 ;6,200 ;70 ;;48 ;
