Table: Table_1

;1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17 ;18. ;19. ;20. ;21. ;22. ;23 ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;
;Svenneby ;8+18 ;8 ;11 ;2,546 ;10 ;1,150 ;480 ;760 ;- ;2 ;4 ;1 ;11 ;;5 ;1 ;120 ;240 ;40 ;20 ;20 ;5 ;105 ;480 ;5 ;120 ;380 ;- ;250 ;- ;60 ;1,500 ;60 ;100 ;
;Säter ;22-81 ;46 ;80 ;5,786 ;30 ;1,245 ;1,035 ;2,002 ;4 ;20 ;6 ;;2 ;;;;312 ;410 ;30 ;119 ;10 ;4 ;;160 ;- ;200 ;50 ;- ;1,660 ;- ;510 ;2,735 ;- ;150 ;
;Torsõ ;31:44 ;;175 ;18,514 ;56 ;2,039 ;730 ;7,000 ;57 ;25 ;3 ;;;;;;304 ;690 ;40 ;132 ;20 ;5 ;;537 ;;291 ;207 ;- ;1,600 ;- ;40 ;4,560 ;- ;130 ;
;Tidavad ;12-25 ;47 ;13 ;2,777 ;10 ;676 ;612 ;612 ;;;;;;;;;112 ;200 ;33 ;12 ;;;- ;204 ;;112 ;190 ;30 ;410 ;- ;39 ;1,638 ;- ;126 ;
;;;;;;;;;;;;;;;;;;;270 ;12 ;75 ;15 ;25 ;;227 ;;160 ;60 ;60 ;900 ;25 ;25 ;2,100 ;30 ;40 ;
;Tived Trästena ;13:89 15:88 ;182 84 ;34 36 ;1) ;? ;1,100 ;;;10 1 ;171 ;;;;;;3 ;160 245 ;265 ;28 ;50 ;15 ;3 ;95 ;510 ;;220 ;355 ;;810 ;- ;;5,030 ;100 ;55 ;
;;;;;5,323 ;13 ;1,730 ;102 ;? ;;16 ;;;;;;;;;;;;;;;;;;-- ;;;;;;;
;Timmersdala ;9-50 ;46 ;12 ;²) ;;658 ;;;? ;? ;;;;;;P ;80 ;120 ;10 ;40 ;6 ;4 ;100 ;218 ;;80 ;114 ;- ;380 ;- ;25 ;720 ;108 ;50 ;
;Ullervad ;24:88 ;91 ;70 ;6,480 ;50 ;3,250 ;50 ;1,760 ;15 ;52 ;27 ;;10 ;;;1 ;580 ;725 516 ;35 60 ;90 ;12 ;5 1 ;250 166 ;1,148 565 ;;400 288 ;800 350 ;10 ;2,400 725 ;- ;150 20 ;5,800 2,011 ;- ;150 225 ;
;Utby ;17:27 ;38 ;;3,934 ;11 ;1,917 ;? ;900 ;4 ;19 ;14 ;;;;;;288 ;;;31 ;2 ;;;;;;;;;;;;- ;;
;Undenäs ;43 ;320 ;261 ;88,174 ;47 ;5,670 ;;;20 ;196 ;57 ;;;;;1 ;950 ;1,640 ;40 ;350 ;35 ;40 ;150 ;1,575 ;;990 ;150 ;30 ;4,445 ;48 ;48 ;14,193 ;- ;160 ;
;Vad ;12:50 ;26 ;6 ;2,083 ;15 ;1,565 ;250 ;80 ;;;8 ;1 ;;;;;250 ;500 ;30 ;25 ;10 ;;200 ;300 ;;250 ;600 ;;650 ;;;3,000 ;- ;100 ;
