Table: Table_1

;1. ;36. ;37. ;38. ;39. ;40. ;;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;56. ;58. ;59. ;60. ;61. ;66. ;67. ;68. ;69. ;70. ;71. ;72. ;73. ;74. ;
1 ;Svenneby ;6 ;40 ;- ;690 ;3 ;;2,280 ;- ;1,870 ;- ;420 ;5,000 ;400 ;320 ;15 ;150 ;- ;2,800 ;9 ;5 ;P ;- ;P ;40 ;20 ;80 ;6 ;290 ;50 ;60 ;- ;40 ;
;Säter ;;;;5,457 ;24 ;;300 ;;9,960 ;- ;3,570 ;10,940 ;;1,050 ;- ;;- ;16,370 ;10,500 ;96 ;;- ;8,000 ;42 ;19 ;150 ;4 ;376 ;136 ;400 ;- ;92 ;
;Torsö ;;;;5,900 ;? ;;1,360 ;;13,100 ;- ;130 ;26,000 ;- ;300 ;- ;90 ;- ;15,000 ;7,000 ;120 ;P ;- ;5,000 ;50 ;5 ;270 ;10 ;600 ;200 ;600 ;- ;180 ;
;Tidavad ;13 ;;;378 ;;;760 ;120 ;2,050 ;;156 ;8,190 ;;252 ;52 ;310 ;- ;1,512 ;;;- ;;P ;34 ;12 ;120 ;4 ;250 ;45 ;125 ;- ;30 ;
;Tived ;X 20 ;;;3,500 ;60 ;;120 ;100 ;2,700 ;80 ;70 ;10,000 ;100 ;100 ;X 30 ;;- ;9,000 ;;150 ;? ;;P ;30 ;;140 ;5 ;350 ;220 ;850 ;- ;100 ;
;Trästena ;;;;1,510 ;8 ;;2,020 ;;4,535 ;- ;;34,100 ;800 ;215 ;- ;154 ;- ;6,040 ;600 ;? ;9 ;;P ;30 ;4 ;94 ;7 ;260 ;120 ;120 ;- ;50 ;
;Timmersdala ;;;;510 ;16 ;;230 ;;1,100 ;- ;75 ;2,160 ;324 ;100 ;- ;42 ;- ;1,530 ;;48 ;;;;20 ;5 ;36 ;1 ;100 ;20 ;90 ;;18 ;
;Ullervad ;;;;3,000 ;10 ;;4,000 ;;14,400 ;- ;900 ;34,800 ;- ;900 ;- ;400 ;- ;18,000 ;P ;P ;P ;;P ;80 ;12 ;200 ;6 ;360 ;140 ;160 ;;200 ;
;Utby ;3 ;30 ;;643 ;3 ;;1,750 ;40 ;3,625 ;- ;100 ;10,055 ;- ;675 ;18 ;150 ;- ;1,229 ;;9 ;P ;- ;? ;33 ;11 ;132 ;4 ;275 ;116 ;57 ;;50 ;
;Undenäs ;;405 ;;12,600 ;120 ;;750 ;120 ;22,225 ;197 ;240 ;56,772 ;- ;960 ;- ;P ;- ;63,000 ;P ;P ;125 ;- ;;102 ;10 ;562 ;23 ;1,310 ;325 ;1,420 ;6 ;450 ;
;Vad ;;;;900 ;- ;;1,500 ;;1,300 ;- ;;9,000 ;- ;400 ;- ;;- ;1,500 ;P ;- ;;- ;;16 ;4 ;100 ;3 ;180 ;60 ;100 ;- ;20 ;
;Väring ;;60 ;- ;1,800 ;- ;;2,880 ;100 ;5,850 ;- ;100 ;14,400 ;- ;540 ;- ;360 ;- ;9,000 ;- ;- ;- ;- ;60,000 ;50 ;20 ;260 ;5 ;420 ;120 ;120 ;- ;80 ;
;Vadsbo härad ;203 ;2,634 ;- ;115.150 ;1,230 ;;79.312 ;2,112 ;388,307 ;1,737 ;20,011 ;1,193,267 ;6,424 ;32,911 ;726 ;7,242 ;- ;446,213 ;67,696 ;1,695 ;395 ;8,800 ;384,300 ;2,503 ;612 ;9,501 ;309 ;19,022 ;7,912 ;13,506 ;12 ;4,850 ;
;Summa för landsbygden ;X 496 ;28,040 ;14 ;687,586 ;3,646 ;;207,287 ;9,352 ;1,833,088 ;12,678 ;274,980 ;6,978,969 ;160,473 ;127,905 ;2,410 ;112,788 ;52 ;2,641,342 ;382,393 ;7,401 ;1,638 ;111,43° ;1,902,818 ;22,084 ;6,068 ;27,556 ;1,747 ;85,846 ;34,308 ;67,451 ;17 ;25,454 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Mariestad ;- ;60 ;- ;400 ;- ;;1,600 ;- ;2,800 ;- ;96 ;7,750 ;1,080 ;180 ;- ;P ;- ;1,400 ;9 ;- ;- ;- ;15,000 ;62 ;9 ;34 ;4 ;130 ;30 ;20 ;- ;50 ;
;Lidköping ;- ;;;800 ;;;;- ;5,000 ;- ;600 ;12,000 ;;;- ;;- ;2,400 ;10,000 ;;;1,000 ;10,000 ;110 ;5 ;4 ;4 ;300 ;20 ;10 ;- ;60 ;
;Skara ;2 ;160 ;- ;3,825 ;1 ;;730 ;- ;4,390 ;- ;780 ;14.250 ;1,570 ;300 ;8 ;250 ;- ;12,000 ;;2 ;P ;800 ;7,000 ;70 ;10 ;30 ;3 ;210 ;30 ;30 ;- ;20 ;
;Sköfde ;- ;;- ;2,200 ;- ;;250 ;- ;6.200 ;- ;;13,000 ;;120 ;- ;- ;- ;8.500 ;? ;- ;- ;;;50 ;5 ;50 ;3 ;230 ;30 ;20 ;- ;60 ;
;Falköping ;- ;;- ;1,800 ;- ;;;;4,000 ;;4,000 ;30,000 ;;60 ;- ;;- ;4,000 ;5,000 ;- ;- ;;14,000 ;70 ;10 ;30 ;5 ;250 ;40 ;50 ;- ;60 ;
;Hjo ;- ;30 ;- ;5,500 ;- ;;60 ;40 ;3,600 ;200 ;;8,000 ;70 ;40 ;- ;90 ;- ;15,000 ;10,000 ;- ;- ;1,300 ;4,000 ;30 ;- ;25 ;2 ;145 ;20 ;10 ;- ;150 ;
;Summa för städerna ;2 ;250 ;- ;14,525 ;I ;;2,640 ;40 ;25,990 ;200 ;5,476 ;85,000 ;2,720 ;700 ;8 ;34° ;- ;43.300 ;25,000 ;2 ;P ;3,100 ;50,000 ;392 ;39 ;173 ;21 ;1,265 ;170 ;140 ;- ;400 ;
;Summa för hela länet ;498 ;28,290 ;14 ;702,111 ;3,647 ;;269,927 ;9,392 ;1,859,078 ;12,878 ;280,456 ;7,063,969 ;163,193 ;128,605 ;2,418 ;113,128 ;52 ;2,684,642 ;407,393 ;7,403 ;1,638 ;114,53° ;1,952,818 ;22.476 ;6,107 ;27,729 ;1,768 ;87,111 ;34,478 ;67,591 ;17 ;25,854 ;





