Table: Table_1

;1. ;2. ;3. ;4. ;5. ;;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. 21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32 ;33. ;34. ;;;
;Flo Friel ;33:78 ;62 ;59 ;12,034 ;;65 ;5,515 ;124 ;6,330 ;;;;;;12 ;;2 ;720 ;1,640 ;156 190 ;5 ;;;1,300 ;;;;;3,250 ;- ;765 ;13,084 ;;35. ;;
;Hâle ;11:06 12:50 ;102 ;;3,703 ;;;1.180 ;;205 ;;;;;;;;;180 ;430 ;30 20 ;;;;;;;;;980 ;- ;70 ;3.200 ;125 140 ;480 120 ;;
;Karaby ;9:00 ;;;2,314 1,389 ;;;2.118 ;21 ;;;;;;;;;;;700 ;100 ;3 ;;;;;;;;1,272 ;- ;500 ;5,500 ;500 ;500 ;;
;Nüs ;;;;;;;1.380 ;;;;;;;;;;;110 ;690 ;48 ;;;;;;;;;;;;;;;;
;;24:13 ;;125 ;9,489 ;;;;;;;;;;;;;;;;;;;;;;;;;410 ;- ;200 ;5,000 ;;240 ;;
;Sal. ;10:13 ;;;1,851 ;1,733 ;;2,800 1,700 ;500 ;5,250 ;;;;;;;;;;1,000 ;;;;;;;;;;1,570 ;;400 ;7,000 ;;140 ;;
;Särestad ;18:50 ;109 ;19 ;;;;;;;;;;;;;;;;500 ;;;;;;;;;;1,200 ;;160 ;4.230 ;;290 ;;
;Tun ;22-38 ;;;4,629 ;;;3,005 ;24 ;;;;;;;;;;;800 ;;;;;;;;;;1,850 ;;130 ;9,000 ;;;;
;;;;;4,860 ;;54 ;3,146 ;212 ;1.142 ;;;;;;;;;;;;;;;;;;;;;;;;;400 ;;
;Täng ;9:75 ;;;2,777 ;2,000 ;10 ;1.760 ;;150 ;;;;;;;;;;1.120 ;;;;;;;;;;1,685 ;;150 ;6,880 ;100 ;203 ;;
10 ;As ;17:88 ;66 ;;3,934 ;2,500 ;15 ;2,460 ;25 ;;;;;3 ;;;;;240 ;638 570 ;;;;;;;;;10 ;900 1,250 ;- - ;120 150 ;5,000 6,000 ;150 150 ;300 150 ;;
11 ;Summa für Ase härad Bjerby ;169-11 ;655 ;290 ;46,980 ;;307 ;25,064 ;916 ;13,167 ;32 ;303 ;200 ;10 ;67 ;73 ;29 ;4 ;3,032 ;8,088 ;684 600 ;99 ;49 ;3,544 ;5,781 ;35 ;3,055 ;3,211 ;60 ;14,367 ;- ;2,645 ;64,894 ;1,165 ;2,823 ;;
;;8:25 ;32 ;;2,314 ;;16 ;1,630 ;98 ;570 ;;;;;;2 ;;- ;188 ;534 ;120 ;;;;;;;;;;;;;;;;
12 ;Bareberg ;12-25 ;119 ;;5,092 ;;19 ;1.881 ;;980 ;;;;;;;;;205 ;812 ;;;;;;;188 ;;- ;535 ;- ;100 ;4,000 ;190 ;300 ;11 ;
14 ;Flakeberg Främmestad ;15:25 19:69 ;134 ;10 ;3,240 11.109 ;;25 ;2,480 3,800 ;;710 ;;;;;;;;;310 ;690 ;193 ;;;;;;;;116 ;930 1,339 ;- ;10 332 ;7,750 5,270 ;169 ;73 494 ;13 ;
15 ;Hyringa ;16:44 ;56 ;51 ;4.397 ;;10 ;2.558 ;;;;;;;;;;;490 ;1,200 ;30 ;;;;;;;;;2,200 ;- ;200 ;10,300 ;;180 ;;
16 ;Levene (del) ;7.88 ;;;;;;;;803 ;;;;;;;;;330 ;850 ;;;;;;;;;;1,260 ;- ;295 ;7,000 ;55 ;;;
17 ;Längnum ;13:39 ;39 25 ;;2,314 ;;22 ;1.369 ;22 ;490 ;;;;;;;;;159 ;516 ;;;;;;;;;;832 ;;131 ;4,086 ;;60 15 120 ;;
;;;;17 ;1,620 ;;10 ;1.374 ;10 ;;;;;;;;;;;450 ;;;;;;;;;;;;;;;;16 ;
;Malma ;14:75 ;94 ;;5,554 ;;;3,988 ;;1,550 ;;;;;;;;;360 ;1.500 ;;;;455 ;;;;;;400 ;- ;200 ;2,950 ;150 ;250 ;;
20 ;Sparlösa Tengene 2) ;22:13 15:88 ;136 ;;6,480 ;;55 ;3.745 ;46 ;888 ;;;;;;;;;400 ;1.530 ;140 110 ;;;210 ;;;;;;1,600 1,550 ;- ;315 ;11,128 12,715 ;650 ;80 1 18 440 ;;
