Table: Table_1

;1. ;2. ;3. ;4. ;;5, ;;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14, ;;15, ;16. ;17 ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35 ;
;Borgunda ;33:00 ;81 ;46 ;6.480 ;;;20 ;2,923 ;430 ;1,637 ;21 ;60 ;22 ;;38 ;;63 ;26 ;- ;480 ;995 ;35 ;175 ;12 ;1 ;16 ;745 ;;464 ;15 ;15 ;2,400 ;- ;330 ;6.536 ;660 ;150 ;
;Broddetorp *********** ;6:88 ;;18 ;2,314 ;;1,215 ;;424 ;129 ;655 ;;;;;;;;;;;140 ;;;;;;;10 ;42 ;40 ;;265 ;- ;88 ;1.764 ;;44 ;
;Brunnhem ;12:75 ;;;2.083 ;;;;655 ;25 ;1.383 ;;;;;;;;;;120 ;;;;;;;;;120 ;;;806 ;- ;200 ;1.670 ;400 ;95 ;
;Dala ;28:69 ;;;5,092 ;;;;2,755 ;1.380 ;900 ;;;;;;;;;;300 ;;;;;;;;;300 ;30 ;;1,500 ;- ;400 ;5.400 ;;100 ;
;Ed&sa (del) Falköpings landsförs. (del). ;6:85 10:64 ;;;4,020 1.157 ;;4,600 ;18 10 ;1,630 700 ;100 432 ;2,272 15 ;;;;;;;;;;;;;;;;;;;290 80 ;40 ;;1.410 400 ;- ;200 ;3,712 2,600 ;;42 ;
;Friggeräker ;17:88 ;;;4,629 ;;1,915 ;;1,036 ;860 ;;;;;;;;;;;;;;;;;;;;;18 ;;355 ;;490 ;4.010 ;;;
;Gudhem ;20:50 ;;;3.703 ;;4,100 ;;2,500 ;180 ;1,392 ;;;;;;;;;;;;;;;;;;;280 ;70 ;;1,320 ;;1,000 ;4.900 ;;;
;Hornborga ;15:68 ;;;;694 ;1,500 ;;694 ;375 ;412 ;;;;;;;;;;;;;;;;;;;104 ;;5 ;480 ;;150 ;1,800 ;;;
10 ;Hakantorp ;6:31 ;;;1,389 ;;;;514 ;400 ;469 ;;;;;;;;;;;;;;;;;;;;15 ;;440 ;;;1,560 ;100 ;;
11 ;Högstena ;14:75 ;;;2,777 ;;;3 ;1,000 ;150 ;448 ;;;;;;;;;;;;12 ;;;;;;;;;_== ;534 ;- ;228 ;6,000 ;144 ;;
12 13 ;Kyrketorp Ljunghem ;10:63 9:18 ;;;694 3,617 ;;2,625 ;4 12 ;550 900 ;140 200 ;2,505 ;;;;;;;;;;;;8 ;;;;;;;70 170 ;20 40 ;- - ;366 785 ;- -- ;110 ;1,800 2,400 ;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14 ;Râdene ;17:38 ;;;2,314 ;;2,837 ;27 ;770 ;754 ;1.286 505 ;10 ;;;;;;;;;;;5 ;;;;;;;140 ;19 ;- ;675 819 ;- ;130 ;2,800 2,110 ;473 ;;
15 16 ;Segerstad Sjogerstad ;19:00 19:19 ;47 ;44 ;5,786 3,703 ;;1,450 ;5 76 ;730 1,590 ;210 1,040 ;997 ;11 ;;;;;;;;;;;;100 ;;;;;;;110 ;- ;1,390 ;;;3.820 ;;210 ;
17 ;Stenstorp ;15:50 ;67 ;;2,777 ;;1,860 ;8 ;1,927 ;15 ;692 ;;;;;;;;;;;;;50 ;;;;540 ;;;57 ;- ;1.050 ;;;4.600 ;150 ;;
18 ;Sätuna ;10:88 ;30 ;10 ;1.620 ;;1,945 ;10 ;600 ;400 ;90 ;2 ;;;;;;;;;;;15 ;;;;;;;100 ;10 ;- ;580 ;;;1.950 ;;;
19 ;Torbjörntorp ;11:88 ;;9 ;1,851 ;;;8 ;1,310 ;100 ;65 ;;;;;;;;;;;;;60 ;;;195 ;365 ;;;;- ;780 ;;;3.400 ;;;
