Table: Table_1

;1. ;2. ;3. ;4. ;5. ;;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;
;Säter ;22:31 ;46 ;80 ;5,786 ;;30 ;1,245 ;1,035 ;3,476 ;;20 ;6 ;2 ;2 ;8 ;4 ;- ;
;Tidavad ;12:95 ;47 ;15 ;2,777 ;;20 ;1,080 ;900 ;777 ;;40 ;- ;- ;- ;;9 ;- ;
;Timmersdala ;9:50 ;47 ;11 ;3) ;862 ;14 ;658 ;140 ;216 ;17 ;39 ;- ;- ;- ;1 ;;- ;
;Tived ;13:89 ;189 ;34 ;4) - ;;5 ;1,168 ;969 ;;10 ;178 ;;- ;- ;;- ;;
;Torsö? ;31:44 ;98 ;175 ;18.514 ;;56 ;2,039 ;730 ;7,000 ;57 ;25 ;3 ;2 ;5 ;2 ;;;
;Trüstena ;15:88 ;24 ;37 ;5,323 ;;14 ;1,740 ;90 ;;;16 ;2 ;2 ;;40 ;5 ;1 ;
;Ullervad ;27.88 ;91 ;72 ;6,480 ;;50 ;3,197 ;50 ;2,683 ;17 ;52 ;27 ;1 ;10 ;36 ;36 ;;
;Undenäs ;43:00 ;336 ;254 ;4) 88,174 ;;47 ;5,690 ;? ;;20 ;196 ;57 ;4 ;;92 ;;;
;Utby ;17:27 ;38 ;26 ;3,934 ;;11 ;1,917 ;;900 ;4 ;19 ;14 ;;4 ;19 ;14 ;1 ;
;Vad ;12:25 ;26 ;6 ;2,083 ;1,990 ;15 ;1.740 ;250 ;80 ;;9 ;;1 ;;4 ;2 ;;
;Väring ;24:00 ;100 ;64 ;5,323 ;4,200 ;10 ;1,890 ;40 ;2.260 ;10 ;38 ;20 ;;3 ;4 ;1 ;1 ;
;Summa för Vadabo härad ;1,007-00 ;4,826 ;3,334 ;492,017 ;;1,247 ;114,685 ;25,783 ;165,085 ;1,162 ;3,093 ;659 ;45 ;441 ;943 ;250 ;16 ;
;Summa för landsbygden ;4,715:45 ;18,905 ;13,062 ;1,640,135 ;;6,184 ;560,489 ;125,224 ;474,586 ;2,976 ;11,265 ;3,202 ;254 ;2,171 ;4,650 ;1,174 ;112 ;
;Mariestad ;4:00 ;30 ;P ;2,546 ;;26 ;790 ;8 ;400 ;20 ;25 ;2 ;- ;10 ;6 ;1 ;- ;
;Lidköping ;16:00 ;110 ;5 ;3,008 ;2,962 ;35 ;938 ;- ;1,994 ;55 ;25 ;;- ;20 ;10 ;- ;- ;
;Skarn ;20:50 ;223 ;17 ;3,009 ;;68 ;1,965 ;35 ;543 ;115 ;90' ;16 ;2 ;3 ;6 ;2 ;1 ;
;Sköfde ;4:00 ;57 ;19 ;1.620 ;1,422 ;23 ;1,286 ;66 ;97 ;15 ;31 ;9 ;;- ;1 ;3 ;- ;
;Falköping ;20:67 ;28 ;7 ;1.851 ;1,954 ;20 ;1,750 ;184 ;;2 ;12 ;6 ;1 ;4 ;5 ;- ;1 ;
;Hjo ;3:25 ;- ;7 ;1,620 ;;4 ;765 ;35 ;160 ;8 ;21 ;8 ;;5 ;9 ;- ;- ;
;Summa för städerna ;68:48 ;448 ;55 ;13,654 ;;176 ;7.494 ;328 ;3,194 ;215 ;204 ;46 ;3 ;42 ;37 ;6 ;2 ;
;Summa för heln länet &r 1880 ;4,783-87 ;19,413 ;13,117 ;1,653,789 ;;6,360 ;567,983 ;125,552 ;477,780 ;3,191 ;11,469 ;3,248 ;257 ;2,213 ;4,687 ;1,180 ;114 ;
;;1879(4,782-1z ;19,875 ;12,856 ;1,653,780 ;;5,999 ;542,574 ;104,865 ;365,876 ;2,786 ;10,328 ;3,104 ;260 ;2,400 ;4,869 ;1,344 ;117 ;





Table: Table_2

;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;
;249 ;331 ;30 ;104 ;10 ;2 ;39 ;210 ;- ;249 ;105 ;105 ;1,245 ;- ;500 ;1,848 ;;100 ;
;176 ;310 ;42 ;24 ;;;- ;352 ;- ;176 ;330 ;37 ;615 ;;30 ;2,646 ;;182 ;
;80 ;120 ;10 ;40 ;6 ;4 ;100 ;218 ;- ;80 ;114 ;- ;380 ;- ;25 ;720 ;108 ;50 ;
;200 ;285 ;12 ;100 ;10 ;25 ;- ;346 ;- ;185 ;80 ;50 ;1,020 ;25 ;35 ;2,580 ;30 ;45 ;
;304 ;690 ;40 ;132 ;20 ;5 ;;537 ;- ;291 ;220 ;- ;1,000 ;- ;50 ;4,880 ;;150 ;
;239 ;453 ;;50 ;15 ;2 ;239 ;478 ;;239 ;400 ;-- ;825 ;- ;25 ;5,050 ;100 ;55 ;
;;;25 ;;;;;;- ;;;;;;;;;;
