Table: Table_1

1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. I ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. ;32. ;33. ;34. ;35. ;
Säter ;22:81 ;46 ;80 ;5,786 ;30 ;1,245 ;1,025 ;8,476 ;4 ;20 ;6 ;2 ;2 ;8 ;4 ;- ;249 ;331 ;30 ;104 ;10 ;2 ;39 ;210 ;- ;249 ;105 ;105 ;1,245 ;- ;500 ;1,848 ;;100 ;
Tidavad ;12:25 ;47 ;14 ;2,777 ;20 ;1,080 ;900 ;777 ;7 ;40 ;;- ;- ;- ;9 ;- ;176 ;310 ;42 ;24 ;- ;;;352 ;- ;176 ;330 ;37 ;615 ;- ;30 ;2,646 ;;182 ;
Timmersdala ;9:50 ;45 ;11 ;;14 ;652 ;140 ;216 ;17 ;39 ;;;;1 ;1 ;- ;80 ;120 ;10 ;40 ;- ;4 ;100 ;218 ;- ;80 ;114 ;- ;380 ;;25 ;730 ;108 ;50 ;
Tived ;13:89 ;186 ;34 ;2) ;5 ;1,188 ;949 ;;10 ;175 ;;;20 ;;;;205 ;300 ;12 ;100 ;10 ;25 ;- ;350 ;- ;186 ;80 ;50 ;1,050 ;25 ;40 ;2,600 ;35 ;45 ;
Torsö 1) ;31:44 ;98 ;175 ;18,514 ;56 ;2,039 ;730 ;7,000 ;57 ;25 ;3 ;2 ;;2 ;;;304 ;690 ;40 ;132 ;20 ;5 ;;537 ;- ;291 ;220 ;- ;1,000 ;- ;50 ;4,880 ;- ;150 ;
Trästena ;15:88 ;24 ;36 ;5,323 ;14 ;1,760 ;80 ;;1 ;16I ;;2 ;;20 ;;2 ;245 ;450 ;26 ;50 ;15 ;2 ;227 ;500 ;- ;245 ;400 ;- ;850 ;- ;;5,060 ;- ;60 ;
Ullervad ;27:88 ;91 ;72 ;6,480 ;50 ;3,197 ;50 ;2,683 ;17 ;52 ;27 ;1 ;10 ;36 ;36 ;;530 ;725 ;35 ;90 ;12 ;5 ;250 ;1,150 ;- ;400 ;800 ;- ;2,400 ;;150 ;5,800 ;- - ;150 ;
Undenäs ;43:00 ;338 ;262 ;88,174 ;47 ;5.705 ;? ;;41 ;196 ;57 ;4 ;;90 ;2 ;;1,005 ;1,540 ;40 ;350 ;35 ;40 ;150 ;1,575 ;- ;970 ;150 ;30 ;4,875 ;60 ;36 ;13,593 ;- ;160 ;
Utby ;17:27 ;37 ;26 ;³ 3,934 ;11 ;1,917 ;;900 ;4 ;19 ;14 ;1 ;4 ;19 ;14 ;1 ;269 ;472 ;66 ;31 ;2 ;1 ;202 ;605 ;- ;269 ;312 ;12 ;1.182 ;- ;32 ;3,344 ;- ;330 ;
Vad. ;12:25 ;23 ;6 ;2,083 ;15 ;1,740 ;248 ;80 ;;9 ;8 ;1 ;;4 ;3 ;;350 ;650 ;30 ;25 ;10 ;- ;125 ;200 ;- ;350 ;875 ;- ;875 ;- ;- ;5,800 ;- ;120 ;
Väring ;24:00 ;92 ;63 ;5) 5,323 ;10 ;1,900 ;40 ;2,250 ;10 ;50 ;28 ;- ;3 ;3 ;1 ;1 ;425 ;495 ;25 ;30 ;5 ;- ;- ;550 ;- ;370 ;700 ;20 ;1,300 ;- ;20 ;2,570 ;- ;120 ;
Summa för Vadabo härad ;1,007-00 ;4,817 ;3.207 ;492,017 ;1,244 ;115,184 ;25,774 ;166,762 ;1,201 ;3,127 ;632 ;46 ;493 ;899 ;257 ;17 ;17,879 ;32,255 ;2,362 ;4,221 ;480 ;366 ;7,662 ;32,175 ;197 ;17,350 ;17,543 ;F 657 ;71,979 ;585 ;3,121 ;243,306 ;1,728 ;8,692 ;
Summa för landsbygden ;4,715-45 ;18,942 ;13,007 ;1,640,135 ;6,337 ;562,452 ;131,888 ;480,872 ;3,029 ;11,460 ;3,251 ;265 ;2,243 ;4,504 ;1,115 ;119 ;76,701 ;196,776 ;10,247 ;25,395 ;3,517 ;1,156 ;44,652 ;128,179 ;361 ;75,495 ;52,899 ;2,280 ;340,308 ;2,985 ;54,169 ;1,555,888 ;32,418 ;34,516 ;
Mariestad ;4:00 ;30 ;- ;2,546 ;20 ;800 ;6 ;400 ;20 ;25 ;2 ;- ;30 ;30 ;3 ;- ;120 ;240 ;10 ;16 ;6 ;- ;4 ;310 ;- ;94 ;120 ;- ;480 ;- ;10 ;1,700 ;180 ;30 ;
Lidköping ;16:00 ;110 ;5 ;3,008 ;35 ;938 ;;1,994 ;55 ;25 ;5 ;;- ;20 ;10 ;- ;175 ;288 ;;20 ;16 ;- ;;438 ;- ;;;- ;800 ;- ;60 ;2,000 ;;;
Skara ;20:50 ;223 ;17 ;3,009 ;68 ;1,967 ;34 ;542 ;45 ;90 ;16 ;2 ;3 ;6 ;2 ;1 ;275 ;540 ;28 ;112 ;5 ;1 ;241 ;482 ;- ;283 ;205 ;- ;1,026 ;- ;165 ;3,800 ;- ;145 ;
Sköfde ;4:00 ;60 ;22 ;1,620 ;25 ;1,239 ;61 ;97 ;16 ;31 ;9 ;;- ;1 ;3 ;;199 ;240 ;5 ;62 ;5 ;- ;188 ;360 ;- ;180 ;52 ;- ;914 ;- ;;1,872 ;- - ;30 ;
Falköping ;20:67 ;28 ;7 ;1,851 ;20 ;1,750 ;184 ;;3 ;12 ;G ;1 ;5 ;5 ;- ;1 ;100 ;750 ;5 ;50 ;65 ;- ;230 ;450 ;- ;100 ;- ;- ;700 ;;710 ;5,500 ;;30 ;
Hjo ;3:25 ;P ;7 ;1,620 ;4 ;765 ;35 ;160 ;8 ;21 ;8 ;;5 ;9 ;;- ;110 ;200 ;5 ;130 ;80 ;- ;80 ;135 ;- ;125 ;6 ;10 ;G10 ;60 ;- ;1,650 ;30 ;30 ;
Summa för städerna ;68:42 ;451 ;58 ;13.654 ;172 ;7,459 ;320 ;3,193 ;147 ;204 ;46 ;3 ;43 ;71 ;18 ;2 ;979 ;2.258 ;53 ;390 ;127 ;I ;693 ;2.175 ;- ;782 ;383 ;10 ;4,530 ;60 ;945 ;16,022 ;210 ;265 ;
Summa för hela länet &r 1881 ;4.783-87 ;19,393 ;13,065 ;1,653,789 ;6,509 ;569,911 ;132,208 ;484,065 ;3,176 ;11,664 ;3,297 ;268 ;2,286 ;4,575 ;1,133 ;121 ;77.680 ;199,034 ;10,300 ;25,785 ;3,644 ;1,157 ;45.345 ;130,354 ;361 ;76,277 ;53,282 ;2,296 ;344,838 ;3,045 ;55.114 ;1,571,910 ;32,628 ;34,781 ;
1880 ;4.783.87 ;19,413 ;13,117 ;1,653,789 ;6,360 ;567,983 ;125,552 ;477,780 ;3,191 ;11,469 ;3,248 ;257 ;2,213 ;4,687 ;1,180 ;114 ;77,100 ;196,532 ;10,422 ;24,640 ;3,548 ;1,209 ;47,406 ;120,285 ;454 ;75,884 ;54,114 ;2,407 ;345,002 ;3,180 ;55,234 ;1,557,974 ;34,000 ;35.387 ;





