Table: Table_1

;1. ;36. ;1 37. ;38. ;39. ;40. ;44. ;45. ;46. ;47. ;48. ;49. ;50. ;51. ;52. ;53. ;54. ;55. ;57. ;58. ;59. ;60. ;61. ;66. ;67. ;68. I ;69. ;70. ;71. ;72. ;73 ;74. ;
1 ;Säter ;;60 ;- ;4,680 ;12 ;525 ;630 ;7,410 ;- ;2,500 ;11,088 ;- ;100 ;- ;60 ;- ;23,400 ;2,000 ;24 ;4 ;1,800 ;8,000 ;42 ;19 ;150 ;4 ;376 ;136 ;400 ;- ;75 ;
;Tidavad, ;X 20 ;59 ;- ;624 ;- ;990 ;100 ;2,460 ;- ;120 ;14,553 ;;364 ;20 ;59 ;- ;2,496 ;;;- ;- ;;36 ;9 ;133 ;4 ;212 ;57 ;135 ;- ;30 ;
;Timmersdala ;;25 ;- ;600 ;;300 ;;1.100 ;;90 ;3,000 ;450 ;100 ;;50 45 ;;2,400 ;;;- ;- ;? ;24 ;5 ;36 ;1 7 ;100 ;25 ;100 ;- ;16 ;
;Tived ;15 ;15 ;- ;4,700 ;50 ;250 ;150 ;3,150 ;75 ;120 ;15,000 ;140 ;90 ;45 ;180 ;;28,200 ;600 ;150 ;50 ;- - ;? ;46 ;;220 ;;450 ;250 ;500 ;;125 ;
;Torsö. ;;90 ;- ;5,000 ;10 ;1,100 ;;5,000 ;- ;200 ;24,400 ;- ;300 ;- ;;;30,000 ;5,000 ;15 ;- ;;5,000 ;50 ;5 ;270 ;10 ;600 ;200 ;600 ;- ;180 ;
;Trästena ;1 ;45 ;- ;1,500 ;3 ;1,600 ;- ;3,400 ;- ;;30,360 ;--- ;200 ;4 ;150 ;;7,000 ;160 ;6 ;- ;- ;;35 ;8 ;92 ;10 ;260 ;115 ;128 ;- ;50 ;
;Ullervad ;- ;75 ;- ;3,000 ;10 ;3,200 ;- ;11,400 ;- ;700 ;27,000 ;- ;700 ;- ;400 ;- ;17,000 ;2,800 ;;150 ;- ;14,000 ;80 ;15 ;200 ;5 ;410 ;120 ;130 ;- ;120 ;
;Undenäs ;- ;200 ;- ;15,000 ;120 ;600 ;120 ;19.500 ;240 ;180 ;61.168 ;- ;320 ;- ;grönfoder ;- ;75,000 ;;130 ;- ;- ;;95 ;12 ;570 ;20 ;1,200 ;225 ;1,200 ;5 ;400 ;
;Utby ;- ;;;744 ;5 ;1,248 ;48 ;7,092 ;- ;256 ;20,064 ;- ;1,320 ;- ;- ;- ;5,952 ;;30 ;3 ;-- -- ;9,090 ;28 ;10 ;128 ;4 ;248 ;65 ;45 ;- ;55 ;
;Vad. ;- ;;- ;800 ;- ;2,625 ;;3,500 ;- ;;23,200 ;- ;360 ;- ;;- ;4,000 ;1,000 ;- ;- ;- ;4,800 ;18 ;10 ;80 ;4 ;200 ;50 ;75 ;- ;25 ;
;Väring ;- ;70 ;- ;1,100 ;- ;2,100 ;60 ;5,200 ;- ;60 ;10,280 ;- ;360 ;- ;140 ;;6,600 ;500 ;- ;- ;- ;10,100 ;55 ;60 ;260 ;7 ;440 ;110 ;200 ;- ;40 ;
;Summa för Vadsbo härad ;170 ;3,216 ;- ;140,263 ;1,022 ;67,180 ;3,088 ;376,499 ;1,795 ;15,893 ;1,301,763 ;6,910 ;29,424 ;541 ;;- ;836,894 ;73,280 ;2,921 ;386 ;24,400 ;480,125 ;2,331 ;564 ;9,497 ;303 ;18,821 ;7,135 ;12,587 ;9 ;4,909 ;
;Summa för landsbygden ;436 ;27,675 ;X 15 ;825,774 ;3,675 ;224,616 ;10,455 ;1,723,357 ;11,087 ;274,969 ;7,574,053 ;145,981 ;96,894 ;1,520 ;87,018 ;54 ;4,948,649 ;700,721 ;8,444 ;1,458 ;141,148 ;2,059,055 ;22,855 ;6,115 ;27,131 ;1,757 ;88,127 ;32,988 ;64,970 ;9 ;27,087 ;
;Mariestad ;- ;70 ;- ;680 ;- ;360 ;- ;2,400 ;- ;60 ;13,600 ;900 ;150 ;- ;grönfoder ;- ;5,000 ;3,000 ;- ;- ;700 ;7,200 ;62 ;8 ;36 ;3 ;170 ;30 ;20 ;-- ;60 ;
;Lidköping ;- ;;- ;800 ;- ;;- ;7,000 ;- ;450 ;15,000 ;- ;;- ;;;5,000 ;10,000 ;- ;- ;1,000 ;6,700 ;110 ;2 ;2 ;4 ;350 ;12 ;6 ;- ;60 ;
;Skara. ;- ;160 ;- ;3,630 ;15 ;1,640 ;- ;10,260 ;- ;825 ;33,000 ;- ;X 145 ;- ;160 ;- - ;36,300 ;- ;15 ;- ;1,400 ;13,000 ;70 ;6 ;36 ;4 ;235 ;15 ;30 ;- ;25 ;
;Sköfde ;- ;- ;- ;1,870 ;- ;208 ;- ;4,570 ;- ;;6,552 ;- ;90 ;- ;- ;- ;13,090 ;;- ;- ;2,400 ;15,000 ;40 ;6 ;20 ;2 ;183 ;16 ;6 ;- ;45 ;
;Falköping ;- ;;- ;1.800 ;- ;;;2,800 ;- ;3,550 ;38,500 ;- ;60 ;- ;;- ;16,300 ;39,000 ;- ;- ;;8,000 ;80 ;17 ;24 ;8 ;250 ;35 ;50 ;- ;80 ;
;Hjo ;- ;38 ;- ;5,000 ;- ;36 ;X 40 ;3,000 ;90 ;- ;8,000 ;X 60 ;70 ;- - ;130 ;- ;25,000 ;10,000 ;- - ;- - ;600 ;2,600 ;25 ;- ;24 ;2 ;130 ;10 ;10 ;- ;60 ;
;Summa för städerna ;- ;268 ;- ;13,780 ;15 ;2,244 ;40 ;30,030 ;X 90 ;4,885 ;114,652 ;960 ;515 ;- ;290 ;- ;100,590 ;62.000 ;15 ;- ;6,100 ;52,500 ;387 ;39 ;142 ;23 ;1,318 ;118 ;122 ;- ;330 ;
;Summa för hela länet &r 1881 ;436 ;27,943 ;15 ;839,554 ;3,6go ;226,860 ;10,495 ;1,753,387 ;11,189 ;279,854 ;7,688,705 ;146,941 ;97,409 ;1,520 ;87,308 ;54 ;5,049,239 ;762,721 ;8,459 ;1,458 ;147,248 ;2,111,555 ;23,242 ;6,154 ;27,273 ;1,780 ;89,445 ;33,106 ;65,092 ;9 ;27,417 ;
;1880 ;569 ;27,195 ;14 ;801,189 ;3,975 ;343,354 ;11,962 ;2,264,654 ;12,669 ;310.034 ;8,033,422 ;170,283 ;208.86S ;3,130 ;125,576 ;57 ;6,011,021 ;1,149,145 ;10,578 ;1,775 ;177,335 ;2,769,567 ;23,245 ;6,150 ;28,230 ;1,831 ;89,921 ;34,668 ;67,669 ;16 ;24,124 ;





