Table: Table_1

;1. ;36. ;37. ;38. ;39. ;4'0. ;44. ;45. ;46. ;47. ;48. ;49. ;50 ;51 ;52. ;53. ;54. ;55. ;57. ;58. ;59. ;60. ;61. ;66. ;67. ;68. ;69. ;70. ;71. ;72 ;73. ;74. ;;
;Flo ;10 ;550 ;- ;6,175 ;50 ;6,737 ;150 ;14,625 ;- ;7,600 ;78,840 ;750 ;880 ;30 ;2,475 ;- ;43,225 ;900 ;100 ;3 ;1,000 ;40,000 ;240 ;GO ;46 ;16 ;580 ;180 ;450 ;- ;275 ;;
;Friel ;;40 ;- ;1,000 ;;600 ;;6,880 ;- ;360 ;23,000 ;780 ;440 ;;220 ;- ;6,000 ;;;- ;;;155 ;25 ;15 ;3 ;200 ;75 ;100 ;- ;70 ;;
;Hâle ;10 ;200 ;- ;960 ;10 ;872 ;40 ;5,088 ;- ;1,500 ;16,500 ;1,500 ;500 ;20 ;600 ;- ;4,800 ;? ;30 ;- ;400 ;8,000 ;82 ;22 ;24 ;2 ;235 ;45 ;240 ;- ;80 ;;
;Karaby ;5 ;100 ;- ;280 ;10 ;480 ;- ;2,000 ;- ;800 ;20,000 ;- ;750 ;10 ;450 ;- ;1,680 ;;12 ;2 ;- ;3,000 ;65 ;16 ;16 ;2 ;125 ;50 ;140 ;;50 ;;
;Näs ;;150 ;;2.500 ;10 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;15 ;;- ;;;1,300 ;- ;6,000 ;- ;2,000 ;35,000 ;- ;280 ;60 ;grönfode: ;- ;15,000 ;P ;20 ;- ;- ;;175 ;15 ;25 ;25 ;500 ;200 ;400 ;;200 ;;
;Sal ;;200 ;- ;1,000 ;14 ;150 ;;3,000 ;- ;1,200 ;28,800 ;- ;400 ;;1,000 ;;7,000 ;? ;;- ;- ;: ;82 ;18 ;8 ;8 ;200 ;120 ;130 ;;80 ;;
;Säresta ;- ;240 ;- ;2,100 ;60 ;1,200 ;160 ;6,920 ;- ;1,080 ;40,000 ;- ;800 ;- ;1,000 ;- ;10,500 ;;30 ;- ;;10,000 ;180 ;40 ;20 ;10 ;390 ;150 ;330 ;;130 ;;
;Tun ;;150 ;- ;1,575 ;? ;2,000 ;- ;10,000 ;- ;1,000 ;42,000 ;;2,000 ;;1,600 ;- ;9,450 ;6,000 ;- ;;- ;12,000 ;125 ;60 ;45 ;18 ;470 ;160 ;380 ;;150 ;;
