Table: Table_1

;1. ;2. ;3. ;4. ;5. ;6. ;7. ;8. ;9. ;10. ;11. ;12. ;13. ;14. ;15. ;16. ;17. ;18. ;19. ;20. ;21. ;22. ;23. ;24. ;25. ;26. ;27. ;28. ;29. ;30. ;31. I ;32. ;33. ;34. ;35. ;;
1 ;Härene med Skofteby 1) ;30:75 ;71 ;60 ;5,786 ;51 ;4,360 ;140 ;843 ;2 ;27 ;18 ;4 ;;6 ;18 ;1 ;558 ;1,590 ;35 ;30 ;15 ;2 ;530 ;1,050 ;- ;550 ;450 ;25 ;2,400 ;- ;650 ;10.250 ;230 ;120 ;;
2 ;Källby ;14:13 ;42 ;26 ;2)2,777 ;5 ;1.250 ;100 ;565 ;3 ;30 ;6 ;;;2 ;;;150 ;430 ;22 ;40 ;4 ;4 ;50 ;400 ;;150 ;126 ;8 ;580 ;;190 ;3,200 ;60 ;110 ;;
3 ;Lindärfva ;6:50 ;13 ;34 ;3.009 ;12 ;1.283 ;3 ;200 ;9 ;;;2 ;;;2 ;;179 ;477 ;60 ;20 ;8 ;2 ;108 ;250 ;;179 ;270 ;;801 ;- ;180 ;4,223 ;- ;180 ;;
4 ;Skeby ;7:63 ;30 ;25 ;2,083 ;7 ;1.000 ;60 ;703 ;10 ;2 ;8 ;;;2 ;1 ;;160 ;400 ;10 ;30 ;8 ;2 ;25 ;205 ;;160 ;50 ;10 ;640 ;;60 ;3.200 ;;45 ;;
5 ;Skelfvum ;11:25 ;24 ;17 ;3 0,009 ;10 ;1,650 ;5 ;335 ;4 ;13 ;10 ;;10 ;14 ;10 ;;253 ;450 ;10 ;30 ;5 ;2 ;190 ;500 ;- ;210 ;60 ;10 ;860 ;- ;50 ;3,000 ;20 ;40 ;;
6 ;Säfvare ;18:25 ;69 ;67 ;16,017 ;40 ;2,470 ;50 ;2.387 ;13 ;35 ;12 ;2 ;;3 ;3 ;;380 ;725 ;80 ;133 ;10 ;10 ;100 ;685 ;;347 ;490 ;- ;960 ;;120 ;6,550 ;300 ;500 ;;
7 ;Ofva ;8:25 ;38 ;34 ;2,546 ;12 ;1,125 ;- ;1,409 ;2 ;4 ;2 ;1 ;7 ;2 ;1 ;1 ;230 ;400 ;50 ;40 ;30 ;1 ;50 ;190 ;- ;134 ;500 ;- ;650 ;- ;150 ;3,100 ;- ;60 ;;
;S:a för Kinnefjerdings härad ;169.39 ;561 ;475 ;43,509 ;228 ;24,668 ;748 ;10,186 ;92 ;254 ;134 ;13 ;43 ;73 ;53 ;8 ;3,303 ;8,525 ;516 ;678 ;268 ;35 ;2,292 ;5,812 ;- ;3,139 ;3,112 ;138 ;12,484 ;20 ;2,775 ;65,791 ;805 ;1,687 ;;
8 ;Bredsäter ;9:88 ;26 ;26 ;o) 6,711 ;10 ;1,544 ;;1,501 ;4 ;18 ;3 ;1 ;;2 ;;;210 ;450 ;13 ;14 ;14 ;3 ;210 ;420 ;- ;210 ;GO ;30 ;1.000 ;;60 ;3,552 ;;40 ;;
9 ;Forshem ;25.63 ;65 ;151 ;12,960 ;50 ;4.305 ;300 ;8.305 ;16 ;35 ;25 ;3 ;19 ;119 ;;- ;650 ;1,030 ;50 ;80 ;70 ;;400 ;1,410 ;- ;615 ;675 ;;2,750 ;;75 ;6,875 ;200 ;80 ;;
10 ;Fullösa ;16:88 ;29 ;72 ;3,934 ;22 ;2,189 ;25 ;1,673 ;15 ;15 ;13 ;2 ;39 ;21 ;;- ;313 ;540 ;18 ;35 ;31 ;2 ;313 ;624 ;- ;313 ;208 ;6 ;1,355 ;;315 ;2,740 ;289 ;70 ;10 ;
11 ;Götene ;7.00 ;21 ;29 ;2,314 ;24 ;1,730 ;20 ;540 ;8 ;13 ;14 ;- ;4 ;15 ;6 ;;246 ;450 ;35 ;40 ;5 ;3 ;221 ;490 ;- ;240 ;295 ;15 ;1.052 ;3 ;40 ;2,890 ;10 ;140 ;11 ;
12 ;Holmestad ;14:81 ;103 ;83 ;8,332 ;14 ;2,900 ;100 ;5,000 ;20 ;85 ;26 ;;;34 ;2 ;;420 ;800 ;20 ;170 ;10 ;10 ;400 ;700 ;- ;370 ;300 ;20 ;1,800 ;- ;50 ;7,000 ;- ;100 ;;
13 ;Kestad ;8:50 ;18 ;8 ;1,620 ;;800 ;11 ;;2 ;12 ;;- ;;1 ;5 ;- ;100 ;264 ;10 ;20 ;5 ;1 ;50 ;250 ;- ;100 ;30 ;;500 ;- ;150 ;2.200 ;- ;30 ;;
14 15 ;Klefva 1) Ledsjö 1) ;12:25 16:87 ;23 58 ;69 ;1,851 5,554 ;10 20 ;1,800 ;50 150 ;40 1,400 ;6 ;8 37 ;15 ;;;;1 ;- ;180 ;500 ;20 ;40 ;20 ;;100 ;260 500 ;- ;180 ;100 150 ;- ;800 1,260 ;- ;250 450 ;3,000 5,220 ;- ;GO 160 ;14 ;
;;;;;;;2,150 ;;;9 ;;7 ;1 ;;;;- ;300 ;675 ;25 ;200 ;10 ;5 ;- 145 ;;- ;290 ;;;;- ;;;;;;
16 ;Lugnas, ;13:06 ;110 ;125 ;;8 ;912 ;245 ;915 ;67 ;131 ;;;14 ;10 ;;;152 ;270 ;9 ;53 ;5 ;1 ;10 ;262 ;- ;150 ;GO ;20 ;'750 ;- ;20 ;4,000 ;20 ;45 ;;
17 ;Medelplana ;17:38 ;19 ;61 ;4,629 ;80 ;1,600 ;400 ;2,400 ;4 ;9 ;2 ;3 ;50 ;19 ;2 ;1 ;200 ;550 ;30 ;, 128 ;70 ;2 ;50 ;370 ;- ;200 ;200 ;30 ;750 ;;900 ;130 ;2,700 ;150 ;17 ;
18 ;Sil ;9:00 ;26 ;15 ;1,389 ;10 ;1,179 ;;200 ;5 ;10 ;;;;;;;197 ;298 ;15 ;25 ;10 ;9 ;150 ;285 ;- ;197 ;245 ;20 ;592 ;15 ;365 ;2,000 ;20 ;45 ;18 ;
19 ;Vedum ;13:31 ;42 ;75 ;3) 4,397 ;27 ;3,060 ;- ;987 ;25 ;10 ;38 ;;;;;;435 ;825 ;20 ;26 ;10 ;4 ;435 ;870 ;;435 ;300 ;;2,300 ;;;7,000 ;;100 ;19 ;
20 ;Vesterplana 1) ;11:50 ;28 ;19 ;1,389 ;3 ;1.058 ;;342 ;;11 ;;;20 ;12 ;;;157 ;325 ;13 ;39 ;;;24 ;344 ;- ;156 ;38 ;2 ;733 ;- - ;746 ;146 ;1,300 ;90 ;20 ;
