Table: Table_1

1. ;36. ;37. ;38. ;39. ;;40. ;44. ;45 ;46. ;47. ;48 ;49. ;50. ;51. ;52 ;53. ;54. ;55 ;57 ;58. ;59. ;60. ;61 ;66. ;67. ;68. ;69. ;70. ;71. ;72. ;73 ;74 ;
Härja ;- ;25 ;- ;3,800 ;;6 ;- ;60 ;3,900 ;;200 ;31.960 ;- ;- ;- ;grönfoder ;- ;22.800 ;, ;14 ;;- ;? ;37 ;13 ;180 ;8 ;320 ;150 ;340 ;- ;70 ;
Hömb ;- ;150 ;- ;1,200 ;;12 ;300 ;- ;5,840 ;;85 ;13.600 ;- ;;;d:o ;;7,500 ;2,000 ;;21 ;;8,200 ;55 ;30 ;72 ;4 ;200 ;90 ;150 ;- ;60 ;
Karleby ;- ;50 ;- ;6,200 ;;30 ;40 ;- ;6.200 ;;3,000 ;54,000 ;;420 ;;100 ;;37,000 ;500 ;60 ;5 ;50 ;6.000 ;80 ;60 ;150 ;4 ;280 ;140 ;150 ;;200 ;
Kelfvene ;;22 ;;1,800 ;;13 ;;;2,520 ;;642 ;30,500 ;1,050 ;;;? ;;10.800 ;300 ;;;1.000 ;2,000 ;28 ;15 ;54 ;8 ;150 ;85 ;160 ;;65 ;
Korsberga ;;;- ;3.635 ;;25 ;1.026 ;301 ;14,402 ;;17 ;37,290 ;391 ;79 ;- ;;;19,757 ;888 ;97 ;X 20 ;800 ;22.000 ;51 ;11 ;246 ;10 ;547 ;174 ;446 ;- ;78 ;
Kungslena ;;94 ;- ;3,500 ;;? ;240 ;;5,700 ;;1,134 ;31,500 ;1,290 ;188 ;- ;376 ;;21,000 ;9,450 ;35 ;;;17,920 ;70 ;30 ;150 ;7 ;290 ;88 ;180 ;;130 ;
ylingared ;- ;6 ;;1,950 ;;2 ;;30 ;600 ;100 ;125 ;4,500 ;- ;;;grönfoder ;;11,700 ;300 ;6 ;2 ;15 ;400 ;10 ;5 ;20 ;2 ;60 ;35 ;80 ;;30 ;
Kymbo. ;;15 ;- ;2,610 ;;7 ;- ;- ;1,675 ;;100 ;15.340 ;;8 ;;d:o ;;15,660 ;1,800 ;20 ;8 ;X 1,500 ;3,000 ;28 ;12 ;70 ;3 ;87 ;40 ;75 ;;43 ;
Luttra ;;;- ;2,000 ;;;;;5,400 ;;3,600 ;26,000 ;1,000 ;27 ;;27 ;;12.000 ;;? ;? ;;;60 ;50 ;100 ;4 ;220 ;80 ;200 ;;200 ;
;- ;150 ;- ;1,850 ;;5 ;100 ;;2,860 ;;;15,500 ;950 ;1,900 ;;1,010 ;- ;11.000 ;314 ;5 ;;300 ;1,200 ;50 ;10 ;66 ;4 ;170 ;30 ;150 ;;;
Mularp Nykyrka ;;;;6,140 ;;;;- ;2,000 ;60 ;2,050 ;13.500 ;2,160 ;;;;;35,700 ;- ;;;- ;1,800 ;20 ;;136 ;6 ;240 ;70 ;220 ;- ;60 65 ;
Näs ;;10 ;- ;1.380 ;;6 ;18 ;;2,800 ;;300 ;9,000 ;99 ;80 ;;grönfoder ;- ;5,520 ;? ;6 ;- ;;;20 ;8 ;40 ;2 ;100 ;50 ;110 ;;20 ;
Ottravad ;;10 ;;1,850 ;;;80 ;40 ;3,880 ;48 ;120 ;17,750 ;60 ;40 ;;60 ;;12,900 ;, ;;- ;- ;;18 ;8 ;40 ;2 ;70 ;50 ;150 ;;50 ;
Sandhem ;- ;48 ;;25,000 ;;;;;8,000 ;375 ;500 ;40.000 ;1,600 ;;- ;grönfoder ;- ;200,000 ;, ;;- ;- ;;75 ;25 ;400 ;15 ;720 ;275 ;900 ;;300 ;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skörstorp ;- ;210 ;- ;3.150 ;;;40 ;;4,160 ;;750 ;17,500 ;600 ;320 ;- ;d:o ;;15,750 ;10,000 ;? ;;;2,780 ;46 ;18 ;80 ;8 ;200 ;125 ;200 ;;150 ;
Slöta med Faleqvarna ;- ;450 ;;10.800 ;;10 ;60 ;60 ;17,760 ;50 ;8,760 ;121,000 ;950 ;460 ;- ;1,350 ;;54,000 ;5,000 ;50 ;- ;5,500 ;5,000 ;320 ;85 ;390 ;15 ;725 ;420 ;900 ;;420 ;
Suntak ;- ;40 ;;1,800 ;;;36 ;;3,600 ;45 ;420 ;15,750 ;100 ;12 ;- ;240 ;;10,400 ;2,400 ;? ;- ;500 ;5,000 ;20 ;5 ;64 ;4 ;125 ;42 ;150 ;;40 ;
Tiarp ;- ;20 ;;1,900 ;;16 ;150 ;- ;2,600 ;;830 ;11,300 ;450 ;200 ;- ;115 ;;11,400 ;70 ;27 ;14 ;- ;3,500 ;45 ;24 ;30 ;2 ;140 ;25 ;190 ;;40 ;
Utvängstorp ;- ;;;2,700 ;;2 ;;;1,136 ;142 ;10 ;8.120 ;150 ;;- ;-- ;;11,500 ;350 ;8 ;;;23,100 ;12 ;3 ;132 ;6 ;155 ;40 ;150 ;;50 ;
Velinge ;- ;- ;- ;10.122 ;;15 ;72 ;24 ;6,300 ;540 ;;20.160 ;;20 ;- ;;- ;50,610 ;;45 ;40 ;X 150 ;8,000 ;60 ;25 ;250 ;10 ;425 ;210 ;540 ;;90 ;
Visttorp ;;6 ;;1,200 ;;;;;1,200 ;50 ;140 ;15,200 ;300 ;10 ;;grönfoder ;;6,000 ;400 ;;;;1,600 ;25 ;10 ;100 ;5 ;180 ;150 ;150 ;;50 ;
Vättak ;1 ;3 ;- ;3.000 ;;10 ;20 ;5 ;3,750 ;40 ;65 ;18,000 ;60 ;30 ;10 ;18 ;- ;26,000 ;100 ;20 ;10 ;50 ;3,000 ;20 ;3 ;76 ;2 ;140 ;45 ;160 ;;90 ;
Yllestad ;;;;3,650 ;;;75 ;;3,080 ;;625 ;18,500 ;;;- ;;- ;21,900 ;;;;;5,000 ;75 ;40 ;130 ;13 ;270 ;135 ;280 ;- ;160 ;
Angarp ;- ;120 ;- - - ;3.010 2,500 ;;39 ;450 ;48 ;11,600 3,600 ;- ;240 ;30,600 ;- ;90 ;- ;480 ;- - ;18,000 15,000 ;6,000 ;- ;21 ;- - ;15,000 ;128 60 ;30 ;232 ;8 8 ;570 350 ;240 ;308 ;- - ;80 130 ;
Asaka ;- ;;- ;;;;;;;- ;1,800 ;21,000 ;;90 ;- ;;;;;;;;;;25 ;140 ;;;150 ;230 ;- ;;
Asle ;- ;30 ;- ;8,200 ;;6 ;15 ;- ;3.430 ;- ;3,675 ;22,800 ;350 ;18 ;- ;grönfoder ;- ;65,600 ;6.000 ;24 ;8 ;200 ;6,000 ;168 ;80 ;110 ;20 ;410 ;150 ;200 ;- ;200 ;
Summa för Vartofta härad ;12 ;2,012 ;- ;208,250 ;;334 ;4,775 ;1,235 ;228,280 ;4,293 ;39,166 ;1,026,711 ;17,208 ;4,974 ;57 ;4,545 ;- ;1,299,932 ;69,722 ;672 ;259 ;12,378 ;179,510 ;2,273 ;824 ;5,822 ;294 ;12,403 ;5,120 ;11,900 ;- ;4,797 ;
Brismene ;- ;;- ;4,800 ;;10 ;;- ;720 ;- ;1,600 ;17,760 ;;120 ;- ;;- ;24,000 ;- ;10 ;- ;- ;: ;90 ;10 ;100 ;5 ;300 ;150 ;150 ;- ;150 ;
Börstig ;;31 ;- ;5,600 ;;2 ;50 ;30 ;1,950 ;125 ;500 ;22,500 ;800 ;60 ;;grönfoder ;;33,600 ;;8 ;;- ;;58 ;30 ;135 ;8 ;400 ;130 ;200 ;- ;200 ;
Grolanda ;5 ;10 ;- ;3,500 ;;10 ;;25 ;3,800 ;200 ;4,000 ;85,000 ;2,000 ;X 50 ;30 ;40 ;;21,000 ;P ;20 ;;;3,000 ;70 ;30 ;150 ;5 ;325 ;150 ;200 ;- ;100 ;
Kinneved ;- ;13 ;- ;2,800 ;;30 ;- ;- ;3,500 ;- ;1.248 ;28,500 ;;30 ;- ;65 ;- ;11,200 ;750 ;90 ;25 ;X 1,500 ;1.100 ;115 ;45 ;180 ;15 ;425 ;245 ;425 ;- ;175 ;
Smula ;- ;24 ;- ;;768 ;- ;;- ;720 ;- ;315 ;5,020 8.996 ;240 ;24 54 ;18 ;96 54 ;;4.608 11,340 ;50 ;27 ;- ;;170 ;21 ;10 ;40 ;2 ;65 ;25 ;40 ;- ;20 ;
Vârkumla ;6 ;18 ;- ;2,268 ;;9 ;;- ;2,205 ;- ;680 ;;;;;;- ;;;;- ;- ;500 ;47 ;14 ;76 ;6 ;162 ;40 ;136 ;- ;52 ;
Ásarp ;1 ;6 ;- ;;420 ;? ;- ;- ;560 ;- ;120 ;1.800 ;24 ;12 ;5 ;18 ;- ;2,100 ;- ;;- ;- ;15 ;15 ;9 ;36 ;2 ;65 ;35 ;40 ;- ;21 ;
Summa för Frökinds härad ;X 12 ;102 ;- ;20,156 ;;61 ;50 ;55 ;13,455 ;325 ;8,463 ;169,576 ;3,064 ;350 ;X 53 ;273 ;- ;107,848 ;800 ;155 ;X 25 ;1,500 ;4,785 ;416 ;148 ;717 ;43 ;1,742 ;775 ;1,191 ;- ;718 ;
Amnehärad ;- ;20 ;- ;4,500 ;;8 ;250 ;- ;12,000 ;- ;150 ;31,000 ;- ;100 ;- ;40 ;- ;27,000 ;, ;- ;6 ;200 ;18,000 ;65 ;5 ;180 ;6 ;500 ;200 ;150 ;- ;300 ;
Beateberg ;- ;130 ;- ;4,000 ;;48 ;900 ;- ;4,500 ;- ;- ;21.480 ;-- ;450 ;- ;grönfoder ;;32,000 ;3,000 ;;48 ;- ;7,000 ;60 ;6 ;150 ;10 ;300 ;200 ;300 ;- ;150 ;
Bellefors. ;- ;50 ;- ;1.500 ;;? ;460 ;X 30 ;1,950 ;- ;;9,200 ;- ;240 ;- ;100 ;;7,500 ;? ;P ;P ;- ;5,280 ;40 ;7 ;128 ;6 ;280 ;30 ;100 ;- ;36 ;
Berg ;- ;;- ;5,000 ;;;1,670 ;- ;15,500 ;- ;3,600 ;19,300 ;500 ;1,200 ;- ;;- ;39,500 ;- ;;;- ;10,000 ;50 ;18 ;150 ;7 ;325 ;100 ;100 ;;130 ;
Binneberg ;;25 ;- ;;900 ;? ;225 ;;1,500 ;- ;;3,000 ;- ;200 ;;50 ;- ;5,400 ;;;- ;;;9 ;;41 ;1 ;65 ;40 ;60 ;;35 ;
Björkäng ;3 ;200 ;;1.515 ;;5 ;2,500 ;525 ;10,500 ;- ;300 ;34,000 ;- ;3.500 ;20 ;1,000 ;- ;10,500 ;2.500 ;30 ;5 ;600 ;40,000 ;50 ;10 ;340 ;8 ;350 ;140 ;275 ;- ;225 ;
Biörsäter ;10 ;100 ;- ;3,000 ;;40 ;1,880 ;240 ;6.850 ;- ;1,400 ;34,950 ;- ;200 ;20 ;200 ;- ;24,000 ;10.500 ;120 ;- ;6,000 ;4,500 ;110 ;15 ;250 ;6 ;500 ;240 ;200 ;;200 ;
Bäck ;;50 ;- ;500 ;;;900 ;;4,520 ;- ;;17,500 ;- ;320 ;;grönfoder ;- ;4,000 ;100 ;;- ;;;20 ;7 ;85 ;6 ;200 ;60 ;110 ;;50 ;
Böja ;- ;- ;- ;2,400 ;;25 ;550 ;- ;2,475 ;;125 ;8,250 ;- ;150 ;- ;- ;;12.000 ;P ;125 ;- ;- ;? ;20 ;5 ;40 ;1 ;110 ;100 ;130 ;;40 ;
Karlsborg ;;;;;60 ;;;;36 ;- ;;150 ;- ;;- ;;- ;300 ;;;;- ;;75 ;;;;;;;;16 ;
Ek ;;180 ;;1,680 ;;20 ;600 ;40 ;5,500 ;;480 ;21,500 ;____ ;120 ;;390 ;- ;8,400 ;12,000 ;80 ;10 ;;10,000 ;50 ;8 ;150 ;4 ;300 ;100 ;100 ;;100 ;
Ekby ;6 ;16 ;;1.169 1,428 ;;10 ;2,200 300 ;- ;6,786 4.395 ;;72 - ;23,750 26,370 ;- ;4,050 220 ;18 - ;32 ;- - ;4,655 7.140 ;? - ;45 ;- ;- - ;8,500 ;49 32 ;13 ;170 120 ;4 6 ;300 224 ;75 102 ;80 180 ;;40 40 ;
Ekeskog ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Elgaras ;;100 ;;5,200 ;;60 ;360 ;20 ;16,000 ;30 ;;40.000 ;;200 ;;200 ;- ;31,200 ;- ;25 ;- ;;;18 ;10 ;350 ;6 ;480 ;200 ;420 ;;110 ;
Finnerödja ;30 ;50 ;;5,550 ;;150 ;300 ;80 ;10,150 ;120 ;300 ;25,650 ;GO ;800 ;120 ;200 ;;22,200 ;720 ;450 ;;200 ;12.480 ;78 ;10 ;350 ;10 ;1,000 ;350 ;400 ;;200 ;
Flistad ;X 10 ;50 ;;;450 ;1 ;1.200 ;- ;2.220 ;;140 ;9,000 ;3,000 ;1,500 ;X 30 ;150 ;- ;1,200 ;100 ;;2 ;100 ;15,000 ;30 ;20 ;140 ;2 ;120 ;70 ;150 ;;30 ;
Fredsberg ;;120 ;;3.750 ;;6 ;2,000 ;- ;18,000 ;- ;200 ;56,700 ;- ;900 ;- ;90 100 ;- ;33,700 ;;14 ;;10.000 ;35,000 ;55 ;10 ;350 ;9 ;650 ;500 ;400 ;;140 ;
Frösve ;;100 ;;2,000 ;;12 ;1,575 ;;11.400 ;- ;160 ;42,000 ;- ;160 ;- ;;;10.000 ;600 ;24 ;3 ;2,000 ;84,000 ;43 ;13 ;156 ;;247 ;85 ;183 ;;60 ;
;10 ;250 ;;4,000 ;;10 ;11,500 ;160 ;22,200 ;;- ;70,000 ;- ;1.800 ;40 ;750 ;;20,000 ;;20 ;- ;;? ;160 ;50 ;600 ;20 ;1.100 ;700 ;700 ;;300 ;
Fägre Götlunda ;X ;70 ;;4,000 ;;;2,400 ;;14,000 ;;;78.000 ;- ;1,500 ;20 ;280 ;;32.000 ;- ;;- ;;;34 ;8 ;300 ;5 ;600 ;150 ;200 ;;85 ;
Halna ;;18 ;;2,150 ;;10 ;480 ;- ;6,750 ;- ;20 ;16,600 ;;400 ;32 ;50 ;;10.750 ;;30 ;- ;- ;5,000 ;12 ;5 ;130 ;3 ;240 ;278 ;280 ;;65 ;
Färed ;10 ;310 ;;5,100 ;;6 ;4.020 ;;27,480 ;- ;1.120 ;112,400 ;1.260 ;750 ;40 ;1.240 ;;45,900 ;15.000 ;18 ;- ;- ;52,000 ;80 ;40 ;480 ;10 ;800 ;280 ;300 ;;180 ;
Hassle, Berga och ;X ;;- ;;450 ;;2,500 ;90 ;7.250 ;;90 ;22,100 ;;700 ;- ;350 ;;3,130 ;;;;- ;;28 ;10 ;120 ;5 ;200 ;70 ;100 ;;50 ;
Hjälstad ;;50 ;;;;;;;;500 ;500 ;79,200 ;660 ;300 ;;400 ;;32,000 ;;60 ;- ;- ;;150 ;50 ;550 ;;;;;;;
Hofva och Fagerlid ;;100 ;;4,000 ;;20 ;1.400 ;250 ;23,500 ;;;;;300 ;;200 ;;25,200 ;200 ;;;;;;;;25 ;1,200 ;100 ;1,000 ;;140 ;
Horn ;10 ;40 ;- ;3,600 ;;30 ;900 ;- ;5,400 ;;600 ;21,000 ;- ;;30 ;;;;;120 ;;- ;7.500 ;30 ;10 ;100 ;2 ;200 ;50 ;100 ;;40 ;
Leksberg ;;100 ;;1,440 ;;;2.208 ;;5,535 ;;200 ;20.500 ;;700 ;- ;500 ;;11,520 ;2.800 ;;;- ;16.000 ;48 ;6 ;140 ;5 ;355 ;136 ;80 ;;40 ;
Lerdala ;;110 ;;2,800 ;;4 ;1,400 ;80 ;3.280 ;80 ;1,200 ;13.750 ;250 ;300 ;- ;grönfoder ;;14,000 ;1,200 ;4 ;;;18.000 ;50 ;6 ;108 ;5 ;325 ;120 ;120 ;;60 ;
